prename,week_end,sex,age,numtotal_atleast1dose
British Columbia,2020-12-19,All sexes,0–15,2
British Columbia,2020-12-19,All sexes,16–69,3575
British Columbia,2020-12-19,All sexes,70–79,56
British Columbia,2020-12-19,All sexes,80+,1
British Columbia,2020-12-26,All sexes,0–15,5
British Columbia,2020-12-26,All sexes,16–69,11691
British Columbia,2020-12-26,All sexes,70–79,262
British Columbia,2020-12-26,All sexes,80+,489
British Columbia,2021-01-02,All sexes,0–15,15
British Columbia,2021-01-02,All sexes,16–69,19801
British Columbia,2021-01-02,All sexes,70–79,1246
British Columbia,2021-01-02,All sexes,80+,3608
British Columbia,2021-01-09,All sexes,0–17,49
British Columbia,2021-01-09,All sexes,18–69,46107
British Columbia,2021-01-09,All sexes,70–79,3492
British Columbia,2021-01-09,All sexes,80+,10567
British Columbia,2021-01-16,All sexes,0–17,98
British Columbia,2021-01-16,All sexes,18–69,65885
British Columbia,2021-01-16,All sexes,70–79,6050
British Columbia,2021-01-16,All sexes,80+,17682
British Columbia,2021-01-23,All sexes,0–17,113
British Columbia,2021-01-23,All sexes,18–69,82339
British Columbia,2021-01-23,All sexes,70–79,9147
British Columbia,2021-01-23,All sexes,80+,26553
British Columbia,2021-01-30,All sexes,0–17,124
British Columbia,2021-01-30,All sexes,18–69,96835
British Columbia,2021-01-30,All sexes,70–79,10208
British Columbia,2021-01-30,All sexes,80+,28336
British Columbia,2021-02-06,All sexes,0–17,129
British Columbia,2021-02-06,All sexes,18–69,103710
British Columbia,2021-02-06,All sexes,70–79,10529
British Columbia,2021-02-06,All sexes,80+,28634
British Columbia,2021-02-13,All sexes,0–17,134
British Columbia,2021-02-13,All sexes,18–69,109138
British Columbia,2021-02-13,All sexes,70–79,10906
British Columbia,2021-02-13,All sexes,80+,29012
British Columbia,2021-02-20,All sexes,0–17,177
British Columbia,2021-02-20,All sexes,18–69,123015
British Columbia,2021-02-20,All sexes,70–79,11483
British Columbia,2021-02-20,All sexes,80+,29574
British Columbia,2021-02-27,All sexes,0–17,248
British Columbia,2021-02-27,All sexes,18–69,149403
British Columbia,2021-02-27,All sexes,70–79,12623
British Columbia,2021-02-27,All sexes,80+,30489
British Columbia,2021-03-06,All sexes,0–17,339
British Columbia,2021-03-06,All sexes,18–69,185798
British Columbia,2021-03-06,All sexes,70–79,17497
British Columbia,2021-03-06,All sexes,80+,43922
British Columbia,2021-03-13,All sexes,0–17,479
British Columbia,2021-03-13,All sexes,18–69,241439
British Columbia,2021-03-13,All sexes,70–79,23349
British Columbia,2021-03-13,All sexes,80+,57922
