date,region,daily_death
2020/2/25,Lombardia,3
2020/2/26,Lombardia,0
2020/2/27,Lombardia,5
2020/2/28,Lombardia,3
2020/2/29,Lombardia,6
2020/3/1,Lombardia,1
2020/3/2,Lombardia,14
2020/3/3,Lombardia,17
2020/3/4,Lombardia,18
2020/3/5,Lombardia,25
2020/3/6,Lombardia,37
2020/3/7,Lombardia,19
2020/3/8,Lombardia,113
2020/3/9,Lombardia,66
2020/3/10,Lombardia,135
2020/3/11,Lombardia,149
2020/3/12,Lombardia,127
2020/3/13,Lombardia,146
2020/3/14,Lombardia,76
2020/3/15,Lombardia,252
2020/3/16,Lombardia,202
2020/3/17,Lombardia,220
2020/3/18,Lombardia,319
2020/3/19,Lombardia,209
2020/3/20,Lombardia,381
2020/3/21,Lombardia,546
2020/3/22,Lombardia,361
2020/3/23,Lombardia,320
2020/3/24,Lombardia,402
2020/3/25,Lombardia,296
2020/3/26,Lombardia,387
2020/3/27,Lombardia,541
2020/3/28,Lombardia,542
2020/3/29,Lombardia,416
2020/3/30,Lombardia,458
2020/3/31,Lombardia,381
2020/4/1,Lombardia,394
2020/4/2,Lombardia,367
2020/4/3,Lombardia,351
2020/4/4,Lombardia,345
2020/4/5,Lombardia,249
2020/4/6,Lombardia,297
2020/4/7,Lombardia,282
2020/4/8,Lombardia,238
2020/4/9,Lombardia,300
2020/4/10,Lombardia,216
2020/4/11,Lombardia,273
2020/4/12,Lombardia,110
2020/4/13,Lombardia,280
2020/4/14,Lombardia,241
2020/4/15,Lombardia,235
2020/4/16,Lombardia,231
2020/4/17,Lombardia,243
2020/4/18,Lombardia,199
2020/4/19,Lombardia,163
2020/4/20,Lombardia,163
2020/4/21,Lombardia,203
2020/4/22,Lombardia,161
2020/4/23,Lombardia,200
2020/4/24,Lombardia,166
2020/4/25,Lombardia,163
2020/4/26,Lombardia,56
2020/4/27,Lombardia,124
2020/4/28,Lombardia,126
2020/4/29,Lombardia,104
2020/4/30,Lombardia,93
2020/5/1,Lombardia,88
2020/5/2,Lombardia,329
2020/5/3,Lombardia,42
2020/5/4,Lombardia,63
2020/5/5,Lombardia,95
2020/5/6,Lombardia,222
2020/5/7,Lombardia,134
2020/5/8,Lombardia,94
2020/5/9,Lombardia,85
2020/5/10,Lombardia,62
2020/5/11,Lombardia,68
2020/5/12,Lombardia,62
2020/5/13,Lombardia,69
2020/5/14,Lombardia,111
2020/5/15,Lombardia,115
2020/5/16,Lombardia,39
2020/5/17,Lombardia,69
2020/5/18,Lombardia,24
2020/5/19,Lombardia,54
2020/5/20,Lombardia,65
2020/5/21,Lombardia,65
2020/5/22,Lombardia,57
2020/5/23,Lombardia,56
2020/5/24,Lombardia,0
2020/5/25,Lombardia,34
2020/5/26,Lombardia,22
2020/5/27,Lombardia,58
2020/5/28,Lombardia,20
2020/5/29,Lombardia,38
2020/5/30,Lombardia,67
2020/5/31,Lombardia,33
2020/6/1,Lombardia,19
2020/6/2,Lombardia,12
2020/6/3,Lombardia,29
2020/6/4,Lombardia,29
2020/6/5,Lombardia,21
2020/6/6,Lombardia,27
2020/6/7,Lombardia,21
2020/6/8,Lombardia,32
2020/6/9,Lombardia,15
2020/6/10,Lombardia,32
2020/6/11,Lombardia,25
2020/6/12,Lombardia,31
2020/6/13,Lombardia,23
2020/6/14,Lombardia,21
2020/6/15,Lombardia,8
2020/6/16,Lombardia,9
2020/6/17,Lombardia,14
2020/6/18,Lombardia,36
2020/6/19,Lombardia,18
2020/6/20,Lombardia,23
2020/6/21,Lombardia,13
2020/6/22,Lombardia,3
2020/6/23,Lombardia,6
2020/6/24,Lombardia,7
2020/6/25,Lombardia,22
2020/6/26,Lombardia,16
2020/6/27,Lombardia,2
2020/6/28,Lombardia,13
2020/6/29,Lombardia,1
2020/6/30,Lombardia,4
2020/7/1,Lombardia,6
2020/7/2,Lombardia,21
2020/7/3,Lombardia,4
2020/7/4,Lombardia,16
2020/7/5,Lombardia,6
2020/7/6,Lombardia,3
2020/7/7,Lombardia,13
2020/7/8,Lombardia,12
2020/7/9,Lombardia,5
2020/7/10,Lombardia,6
2020/7/11,Lombardia,4
2020/7/12,Lombardia,8
