areaType,areaName,areaCode,date,newCases,cumCases,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
region,London,E12000007,2020/2/3,1,1,1,1,,
region,London,E12000007,2020/2/4,0,1,0,1,,
region,London,E12000007,2020/2/5,0,1,0,1,,
region,London,E12000007,2020/2/6,0,1,0,1,,
region,London,E12000007,2020/2/7,0,1,0,1,,
region,London,E12000007,2020/2/8,0,1,0,1,,
region,London,E12000007,2020/2/9,0,1,0,1,,
region,London,E12000007,2020/2/10,1,2,1,2,,
region,London,E12000007,2020/2/11,4,6,4,6,,
region,London,E12000007,2020/2/12,0,6,0,6,,
region,London,E12000007,2020/2/13,1,7,1,7,,
region,London,E12000007,2020/2/14,0,7,0,7,,
region,London,E12000007,2020/2/15,0,7,0,7,,
region,London,E12000007,2020/2/16,0,7,0,7,,
region,London,E12000007,2020/2/17,1,8,1,8,,
region,London,E12000007,2020/2/18,0,8,0,8,,
region,London,E12000007,2020/2/19,0,8,0,8,,
region,London,E12000007,2020/2/20,0,8,0,8,,
region,London,E12000007,2020/2/21,1,9,1,9,,
region,London,E12000007,2020/2/22,0,9,0,9,,
region,London,E12000007,2020/2/23,3,12,3,12,,
region,London,E12000007,2020/2/24,1,13,1,13,,
region,London,E12000007,2020/2/25,1,14,1,14,,
region,London,E12000007,2020/2/26,0,14,0,14,,
region,London,E12000007,2020/2/27,1,15,1,15,,
region,London,E12000007,2020/2/28,0,15,0,15,,
region,London,E12000007,2020/2/29,1,16,1,16,,
region,London,E12000007,2020/3/1,3,19,3,19,,
region,London,E12000007,2020/3/2,12,31,12,31,,
region,London,E12000007,2020/3/3,6,37,6,37,,
region,London,E12000007,2020/3/4,15,52,15,52,,
region,London,E12000007,2020/3/5,13,65,13,65,,
region,London,E12000007,2020/3/6,23,88,23,88,,
region,London,E12000007,2020/3/7,14,102,14,102,,
region,London,E12000007,2020/3/8,22,124,22,124,,
region,London,E12000007,2020/3/9,54,178,54,178,,
region,London,E12000007,2020/3/10,95,273,95,273,,
region,London,E12000007,2020/3/11,183,456,183,456,,
region,London,E12000007,2020/3/12,167,623,167,623,,
region,London,E12000007,2020/3/13,138,761,138,761,,
region,London,E12000007,2020/3/14,149,910,149,910,,
region,London,E12000007,2020/3/15,165,1075,165,1075,,
region,London,E12000007,2020/3/16,237,1312,237,1312,,
region,London,E12000007,2020/3/17,310,1622,310,1622,,
region,London,E12000007,2020/3/18,357,1979,357,1979,,
region,London,E12000007,2020/3/19,332,2311,332,2311,,
region,London,E12000007,2020/3/20,424,2735,424,2735,,
region,London,E12000007,2020/3/21,348,3083,348,3083,,
region,London,E12000007,2020/3/22,439,3522,439,3522,,
region,London,E12000007,2020/3/23,685,4207,685,4207,,
region,London,E12000007,2020/3/24,636,4843,636,4843,,
region,London,E12000007,2020/3/25,752,5595,752,5595,,
region,London,E12000007,2020/3/26,740,6335,740,6335,,
region,London,E12000007,2020/3/27,818,7153,818,7153,,
region,London,E12000007,2020/3/28,577,7730,577,7730,,
region,London,E12000007,2020/3/29,596,8326,596,8326,,
region,London,E12000007,2020/3/30,848,9174,848,9174,,
region,London,E12000007,2020/3/31,935,10109,935,10109,,
region,London,E12000007,2020/4/1,977,11086,977,11086,,
region,London,E12000007,2020/4/2,1063,12149,1063,12149,,
region,London,E12000007,2020/4/3,985,13134,985,13134,,
region,London,E12000007,2020/4/4,765,13899,765,13899,,
region,London,E12000007,2020/4/5,636,14535,636,14535,,
region,London,E12000007,2020/4/6,858,15393,858,15393,,
region,London,E12000007,2020/4/7,946,16339,946,16339,,
region,London,E12000007,2020/4/8,867,17206,867,17206,,
region,London,E12000007,2020/4/9,791,17997,791,17997,,
region,London,E12000007,2020/4/10,622,18619,622,18619,,
region,London,E12000007,2020/4/11,518,19137,518,19137,,
region,London,E12000007,2020/4/12,502,19639,502,19639,,
region,London,E12000007,2020/4/13,601,20240,601,20240,,
region,London,E12000007,2020/4/14,600,20840,600,20840,,
region,London,E12000007,2020/4/15,657,21497,657,21497,,
region,London,E12000007,2020/4/16,574,22071,574,22071,,
region,London,E12000007,2020/4/17,577,22648,577,22648,,
region,London,E12000007,2020/4/18,401,23049,401,23049,,
region,London,E12000007,2020/4/19,398,23447,398,23447,,
region,London,E12000007,2020/4/20,425,23872,425,23872,,
region,London,E12000007,2020/4/21,463,24335,463,24335,,
region,London,E12000007,2020/4/22,399,24734,399,24734,,
region,London,E12000007,2020/4/23,520,25254,520,25254,,
region,London,E12000007,2020/4/24,375,25629,375,25629,,
region,London,E12000007,2020/4/25,332,25961,332,25961,,
region,London,E12000007,2020/4/26,310,26271,310,26271,,
region,London,E12000007,2020/4/27,418,26689,418,26689,,
region,London,E12000007,2020/4/28,311,27000,311,27000,,
region,London,E12000007,2020/4/29,432,27432,432,27432,,
region,London,E12000007,2020/4/30,426,27858,426,27858,,
region,London,E12000007,2020/5/1,355,28213,355,28213,,
region,London,E12000007,2020/5/2,248,28461,248,28461,,
region,London,E12000007,2020/5/3,170,28631,170,28631,,
region,London,E12000007,2020/5/4,245,28876,245,28876,,
region,London,E12000007,2020/5/5,216,29092,216,29092,,
region,London,E12000007,2020/5/6,267,29359,267,29359,,
region,London,E12000007,2020/5/7,273,29632,273,29632,,
region,London,E12000007,2020/5/8,208,29840,208,29840,,
region,London,E12000007,2020/5/9,128,29968,128,29968,,
region,London,E12000007,2020/5/10,123,30091,123,30091,,
region,London,E12000007,2020/5/11,160,30251,160,30251,,
region,London,E12000007,2020/5/12,191,30442,191,30442,,
region,London,E12000007,2020/5/13,203,30645,203,30645,,
region,London,E12000007,2020/5/14,159,30804,159,30804,,
region,London,E12000007,2020/5/15,132,30936,132,30936,,
region,London,E12000007,2020/5/16,74,31010,74,31010,,
region,London,E12000007,2020/5/17,79,31089,79,31089,,
region,London,E12000007,2020/5/18,113,31202,113,31202,,
region,London,E12000007,2020/5/19,128,31330,128,31330,,
region,London,E12000007,2020/5/20,141,31471,141,31471,,
region,London,E12000007,2020/5/21,157,31628,157,31628,,
region,London,E12000007,2020/5/22,86,31714,86,31714,,
region,London,E12000007,2020/5/23,64,31778,64,31778,,
region,London,E12000007,2020/5/24,51,31829,51,31829,,
region,London,E12000007,2020/5/25,58,31887,58,31887,,
region,London,E12000007,2020/5/26,64,31951,64,31951,,
region,London,E12000007,2020/5/27,83,32034,83,32034,,
region,London,E12000007,2020/5/28,74,32108,74,32108,,
region,London,E12000007,2020/5/29,57,32165,57,32165,,
region,London,E12000007,2020/5/30,38,32203,38,32203,,
region,London,E12000007,2020/5/31,37,32240,37,32240,,
region,London,E12000007,2020/6/1,50,32290,50,32290,,
region,London,E12000007,2020/6/2,50,32340,50,32340,,
region,London,E12000007,2020/6/3,78,32418,78,32418,,
region,London,E12000007,2020/6/4,57,32475,57,32475,,
region,London,E12000007,2020/6/5,46,32521,46,32521,,
region,London,E12000007,2020/6/6,46,32567,46,32567,,
region,London,E12000007,2020/6/7,45,32612,45,32612,,
region,London,E12000007,2020/6/8,55,32667,55,32667,,
region,London,E12000007,2020/6/9,71,32738,71,32738,,
region,London,E12000007,2020/6/10,52,32790,52,32790,,
region,London,E12000007,2020/6/11,46,32836,46,32836,,
region,London,E12000007,2020/6/12,53,32889,53,32889,,
region,London,E12000007,2020/6/13,39,32928,39,32928,,
region,London,E12000007,2020/6/14,30,32958,30,32958,,
region,London,E12000007,2020/6/15,40,32998,40,32998,,
region,London,E12000007,2020/6/16,47,33045,47,33045,,
region,London,E12000007,2020/6/17,42,33087,42,33087,,
region,London,E12000007,2020/6/18,47,33134,47,33134,,
region,London,E12000007,2020/6/19,38,33172,38,33172,,
region,London,E12000007,2020/6/20,29,33201,29,33201,,
region,London,E12000007,2020/6/21,26,33227,26,33227,,
region,London,E12000007,2020/6/22,53,33280,53,33280,,
