,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
7290,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-01,-58.0,-44.0,1.0,-74.0,-80.0,27.0
7291,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-02,-38.0,-13.0,-41.0,-60.0,-27.0,14.0
7292,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-03,-29.0,-7.0,28.0,-49.0,-21.0,9.0
7293,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-04,-30.0,-5.0,-12.0,-54.0,-33.0,14.0
7294,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-05,-29.0,-5.0,-10.0,-56.0,-31.0,15.0
7295,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-06,-27.0,-1.0,31.0,-50.0,-31.0,13.0
7296,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-07,-28.0,-2.0,22.0,-54.0,-31.0,14.0
7297,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-08,-30.0,-6.0,4.0,-54.0,-28.0,13.0
7298,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-09,-28.0,-4.0,19.0,-51.0,-15.0,9.0
7299,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-10,-30.0,-8.0,2.0,-54.0,-20.0,9.0
7300,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-11,-32.0,-8.0,-8.0,-57.0,-31.0,13.0
7301,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-12,-31.0,-8.0,2.0,-57.0,-30.0,14.0
7302,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-13,-28.0,-5.0,42.0,-55.0,-32.0,12.0
7303,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-14,-31.0,-7.0,22.0,-59.0,-31.0,13.0
7304,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-15,-29.0,-7.0,30.0,-58.0,-29.0,11.0
7305,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-16,-30.0,-7.0,4.0,-58.0,-17.0,9.0
7306,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-17,-29.0,-9.0,31.0,-58.0,-22.0,7.0
7307,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-18,-30.0,-7.0,31.0,-59.0,-32.0,12.0
7308,CA,Canada,British Columbia,,,CA-BC,,ChIJr2prqsdmelMR-fHnN-lBG4g,2021-01-19,-29.0,-6.0,35.0,-59.0,-30.0,13.0
