,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
41557,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-01,-85.0,-61.0,-31.0,-84.0,-84.0,36.0
41558,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-02,-74.0,-31.0,-26.0,-72.0,-42.0,18.0
41559,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-03,-72.0,-33.0,-20.0,-68.0,-34.0,13.0
41560,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-04,-66.0,-25.0,-32.0,-69.0,-61.0,25.0
41561,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-05,-70.0,-29.0,-41.0,-71.0,-63.0,27.0
41562,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-06,-70.0,-27.0,-20.0,-71.0,-62.0,27.0
41563,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-07,-70.0,-27.0,-19.0,-71.0,-62.0,28.0
41564,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-08,-72.0,-28.0,-34.0,-71.0,-61.0,28.0
41565,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-09,-73.0,-27.0,-24.0,-70.0,-37.0,17.0
41566,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-10,-74.0,-34.0,-29.0,-71.0,-37.0,14.0
41567,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-11,-67.0,-28.0,-19.0,-70.0,-62.0,26.0
41568,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-12,-70.0,-30.0,-28.0,-71.0,-63.0,27.0
41569,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-13,-72.0,-32.0,-42.0,-72.0,-63.0,27.0
41570,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-14,-74.0,-33.0,-47.0,-73.0,-64.0,28.0
41571,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-15,-72.0,-26.0,-26.0,-71.0,-62.0,27.0
41572,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-16,-76.0,-31.0,-46.0,-72.0,-40.0,18.0
41573,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-17,-71.0,-30.0,6.0,-68.0,-37.0,13.0
41574,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-18,-68.0,-29.0,-15.0,-70.0,-63.0,25.0
41575,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-19,-70.0,-30.0,-27.0,-71.0,-64.0,26.0
41576,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-20,-73.0,-33.0,-41.0,-72.0,-63.0,27.0
41577,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-21,-70.0,-26.0,-13.0,-71.0,-63.0,27.0
41578,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-22,-70.0,-24.0,-8.0,-69.0,-60.0,26.0
41579,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-23,-72.0,-25.0,-21.0,-69.0,-37.0,16.0
41580,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-24,-76.0,-37.0,-8.0,-72.0,-40.0,14.0
41581,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-25,-67.0,-26.0,-6.0,-69.0,-62.0,25.0
41582,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-26,-70.0,-30.0,-33.0,-71.0,-63.0,26.0
41583,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-27,-70.0,-27.0,-23.0,-71.0,-62.0,26.0
41584,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-28,-69.0,-24.0,-14.0,-70.0,-62.0,26.0
41585,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-29,-70.0,-21.0,-22.0,-68.0,-60.0,26.0
41586,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-30,-75.0,-29.0,-59.0,-71.0,-39.0,17.0
41587,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-01-31,-70.0,-27.0,-13.0,-68.0,-37.0,13.0
41588,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-02-01,-66.0,-25.0,-15.0,-68.0,-62.0,24.0
41589,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-02-02,-67.0,-24.0,-10.0,-68.0,-62.0,25.0
41590,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-02-03,-69.0,-26.0,-23.0,-70.0,-61.0,26.0
41591,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-02-04,-69.0,-26.0,-27.0,-71.0,-61.0,26.0
41592,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-02-05,-67.0,-16.0,2.0,-68.0,-59.0,25.0
41593,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-02-06,-70.0,-22.0,-28.0,-68.0,-36.0,15.0
41594,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-02-07,-75.0,-35.0,-48.0,-72.0,-40.0,14.0
41595,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-02-08,-69.0,-29.0,-18.0,-70.0,-63.0,25.0
41596,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-02-09,-70.0,-28.0,-27.0,-71.0,-63.0,26.0
41597,GB,United Kingdom,Greater London,,,,,ChIJb-IaoQug2EcRi-m4hONz8S8,2021-02-10,-67.0,-21.0,-19.0,-70.0,-61.0,26.0
