,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
630431,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2021/1/1,-77.0,-65.0,3.0,-70.0,-75.0,18.0
630432,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2021/1/2,-58.0,-7.0,-20.0,-45.0,-36.0,13.0
630433,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2021/1/3,-47.0,-4.0,-12.0,-25.0,-4.0,7.0
630434,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2021/1/4,-27.0,13.0,-19.0,-26.0,-16.0,10.0
630435,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2021/1/5,-27.0,14.0,-18.0,-24.0,-17.0,10.0
630436,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2021/1/6,-27.0,9.0,-17.0,-24.0,-15.0,10.0
630437,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2021/1/7,-23.0,21.0,-2.0,-21.0,-14.0,9.0
630438,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2021/1/8,-22.0,19.0,-9.0,-21.0,-11.0,9.0
630439,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2021/1/9,-23.0,17.0,-13.0,-15.0,4.0,6.0
630440,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2021/1/10,-28.0,8.0,-12.0,-19.0,6.0,6.0
630441,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2021/1/11,-25.0,13.0,-24.0,-22.0,-10.0,9.0
630442,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2021/1/12,-28.0,7.0,-28.0,-25.0,-14.0,9.0
630443,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2021/1/13,-29.0,2.0,-27.0,-26.0,-15.0,8.0
630444,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2021/1/14,-30.0,4.0,-18.0,-28.0,-17.0,7.0
630445,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2021/1/15,-33.0,-1.0,-30.0,-30.0,-16.0,7.0
630446,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2021/1/16,-29.0,4.0,-19.0,-22.0,-3.0,5.0
630447,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2021/1/17,-32.0,-1.0,-11.0,-23.0,-2.0,4.0
