,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
17655,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-02-15,2.0,-1.0,50.0,8.0,-2.0,-1.0
17656,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-02-16,-1.0,2.0,13.0,2.0,0.0,-1.0
17657,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-02-17,-3.0,-2.0,-14.0,1.0,0.0,0.0
17658,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-02-18,2.0,1.0,32.0,4.0,1.0,0.0
17659,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-02-19,2.0,1.0,19.0,4.0,1.0,-1.0
17660,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-02-20,2.0,0.0,19.0,4.0,0.0,-1.0
17661,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-02-21,1.0,1.0,20.0,3.0,0.0,0.0
17662,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-02-22,-6.0,6.0,37.0,1.0,-1.0,0.0
17663,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-02-23,-19.0,30.0,12.0,-13.0,-2.0,2.0
17664,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-02-24,-18.0,27.0,28.0,-32.0,-22.0,9.0
17665,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-02-25,-22.0,3.0,8.0,-37.0,-23.0,11.0
17666,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-02-26,-23.0,-7.0,-5.0,-40.0,-23.0,11.0
17667,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-02-27,-19.0,-7.0,7.0,-39.0,-23.0,10.0
17668,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-02-28,-16.0,-6.0,32.0,-37.0,-24.0,10.0
17669,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-02-29,-24.0,-5.0,-12.0,-34.0,-20.0,8.0
17670,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-03-01,-33.0,-9.0,-38.0,-40.0,-14.0,7.0
17671,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-03-02,-26.0,-18.0,-53.0,-44.0,-20.0,11.0
17672,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-03-03,-13.0,-1.0,16.0,-35.0,-19.0,9.0
17673,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-03-04,-14.0,-1.0,46.0,-34.0,-19.0,8.0
17674,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-03-05,-22.0,-6.0,-31.0,-42.0,-21.0,11.0
17675,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-03-06,-20.0,-2.0,1.0,-40.0,-22.0,11.0
17676,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-03-07,-25.0,-1.0,54.0,-31.0,-19.0,7.0
17677,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-03-08,-48.0,-1.0,16.0,-42.0,-19.0,8.0
17678,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-03-09,-42.0,-9.0,-35.0,-57.0,-31.0,16.0
17679,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-03-10,-50.0,-8.0,-25.0,-61.0,-38.0,20.0
17680,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-03-11,-57.0,-13.0,-23.0,-65.0,-43.0,22.0
17681,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-03-12,-74.0,-26.0,-62.0,-74.0,-52.0,28.0
17682,IT,Italy,Lombardy,,,IT-25,,ChIJf4M-GsNEgUcR1JMVKCIm8qY,2020-03-13,-78.0,-27.0,-57.0,-76.0,-58.0,31.0
