,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
468957,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2020/2/15,6.0,5.0,6.0,11.0,8.0,-1.0
468958,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2020/2/16,7.0,4.0,9.0,10.0,1.0,0.0
468959,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2020/2/17,-4.0,-1.0,-13.0,8.0,18.0,-1.0
468960,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2020/2/18,-5.0,-3.0,-13.0,9.0,14.0,-2.0
468961,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2020/2/19,-3.0,-4.0,-11.0,8.0,14.0,-2.0
468962,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2020/2/20,3.0,10.0,4.0,13.0,15.0,-3.0
468963,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2020/2/21,2.0,9.0,-6.0,10.0,16.0,-2.0
468964,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2020/2/22,-3.0,6.0,2.0,2.0,0.0,1.0
468965,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2020/2/23,7.0,6.0,43.0,-1.0,1.0,0.0
468966,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2020/2/24,-9.0,-2.0,43.0,-30.0,-43.0,10.0
468967,BR,Brazil,State of Sao Paulo,,,BR-SP,,ChIJrVgvRn1ZzpQRF3x74eJBUh4,2020/2/25,-32.0,-23.0,22.0,-41.0,-61.0,13.0
