Unnamed: 0,prename,week_end,sex,age,rV
0,British Columbia,2020-12-19,All sexes,0–15,2.723044581685892e-06
1,British Columbia,2020-12-19,All sexes,16–69,0.0009420627458586
2,British Columbia,2020-12-19,All sexes,70–79,0.0001155769923358
3,British Columbia,2020-12-19,All sexes,80+,4.699170831306816e-06
4,British Columbia,2020-12-20,All sexes,0–15,5.835095532184054e-07
5,British Columbia,2020-12-20,All sexes,16–69,0.0003055257240914
6,British Columbia,2020-12-20,All sexes,70–79,6.073688882951429e-05
7,British Columbia,2020-12-20,All sexes,80+,0.0003275993379539
4,British Columbia,2020-12-21,All sexes,0–15,5.835095532184054e-07
5,British Columbia,2020-12-21,All sexes,16–69,0.0003055257240914
6,British Columbia,2020-12-21,All sexes,70–79,6.073688882951429e-05
7,British Columbia,2020-12-21,All sexes,80+,0.0003275993379539
4,British Columbia,2020-12-22,All sexes,0–15,5.835095532184054e-07
5,British Columbia,2020-12-22,All sexes,16–69,0.0003055257240914
6,British Columbia,2020-12-22,All sexes,70–79,6.073688882951429e-05
7,British Columbia,2020-12-22,All sexes,80+,0.0003275993379539
4,British Columbia,2020-12-23,All sexes,0–15,5.835095532184054e-07
5,British Columbia,2020-12-23,All sexes,16–69,0.0003055257240914
6,British Columbia,2020-12-23,All sexes,70–79,6.073688882951429e-05
7,British Columbia,2020-12-23,All sexes,80+,0.0003275993379539
4,British Columbia,2020-12-24,All sexes,0–15,5.835095532184054e-07
5,British Columbia,2020-12-24,All sexes,16–69,0.0003055257240914
6,British Columbia,2020-12-24,All sexes,70–79,6.073688882951429e-05
7,British Columbia,2020-12-24,All sexes,80+,0.0003275993379539
4,British Columbia,2020-12-25,All sexes,0–15,5.835095532184054e-07
5,British Columbia,2020-12-25,All sexes,16–69,0.0003055257240914
6,British Columbia,2020-12-25,All sexes,70–79,6.073688882951429e-05
7,British Columbia,2020-12-25,All sexes,80+,0.0003275993379539
4,British Columbia,2020-12-26,All sexes,0–15,5.835095532184054e-07
5,British Columbia,2020-12-26,All sexes,16–69,0.0003055257240914
6,British Columbia,2020-12-26,All sexes,70–79,6.073688882951429e-05
7,British Columbia,2020-12-26,All sexes,80+,0.0003275993379539
8,British Columbia,2020-12-27,All sexes,0–15,1.945031844061351e-06
9,British Columbia,2020-12-27,All sexes,16–69,0.0003052998549016
