,prename,week_end,sex,age,rV
0,British Columbia,2020-12-19,All sexes,0–15,2.7230445816858916e-06
1,British Columbia,2020-12-19,All sexes,16–69,0.0009420627458586131
2,British Columbia,2020-12-19,All sexes,70–79,0.0001155769923358007
3,British Columbia,2020-12-19,All sexes,80+,4.699170831306816e-06
4,British Columbia,2020-12-26,All sexes,0–15,4.084566872528837e-06
5,British Columbia,2020-12-26,All sexes,16–69,0.002138680068640141
6,British Columbia,2020-12-26,All sexes,70–79,0.00042515822180669543
7,British Columbia,2020-12-26,All sexes,80+,0.002293195365677726
8,British Columbia,2021-01-02,All sexes,0–15,1.3615222908429456e-05
9,British Columbia,2021-01-02,All sexes,16–69,0.002137098984311427
10,British Columbia,2021-01-02,All sexes,70–79,0.0020308528653290693
11,British Columbia,2021-01-02,All sexes,80+,0.014656713822845958
12,British Columbia,2021-01-09,All sexes,0–17,3.404466660258259e-05
13,British Columbia,2021-01-09,All sexes,18–69,0.007450756914877949
14,British Columbia,2021-01-09,All sexes,70–79,0.004635462942610863
15,British Columbia,2021-01-09,All sexes,80+,0.032701529815064134
16,British Columbia,2021-01-16,All sexes,0–17,4.9064372456663144e-05
17,British Columbia,2021-01-16,All sexes,18–69,0.005601804541262681
18,British Columbia,2021-01-16,All sexes,70–79,0.005279391899910325
19,British Columbia,2021-01-16,All sexes,80+,0.03343460046474799
20,British Columbia,2021-01-23,All sexes,0–17,1.5019705854080554e-05
21,British Columbia,2021-01-23,All sexes,18–69,0.004660334306903435
22,British Columbia,2021-01-23,All sexes,70–79,0.006391820451142407
23,British Columbia,2021-01-23,All sexes,80+,0.041686344444522766
24,British Columbia,2021-01-30,All sexes,0–17,1.1014450959659072e-05
25,British Columbia,2021-01-30,All sexes,18–69,0.004105761888469199
26,British Columbia,2021-01-30,All sexes,70–79,0.0021897712297907954
27,British Columbia,2021-01-30,All sexes,80+,0.008378621592220054
28,British Columbia,2021-02-06,All sexes,0–17,5.006568618026851e-06
29,British Columbia,2021-02-06,All sexes,18–69,0.0019472346152887515
30,British Columbia,2021-02-06,All sexes,70–79,0.0006625038310677147
31,British Columbia,2021-02-06,All sexes,80+,0.0014003529077294312
32,British Columbia,2021-02-13,All sexes,0–17,5.006568618026851e-06
33,British Columbia,2021-02-13,All sexes,18–69,0.001537394835169068
34,British Columbia,2021-02-13,All sexes,70–79,0.0007780808234035154
35,British Columbia,2021-02-13,All sexes,80+,0.0017762865742339763
