date,region,daily_positive
2020/2/24,Lombardia,166
2020/2/25,Lombardia,231
2020/2/26,Lombardia,249
2020/2/27,Lombardia,349
2020/2/28,Lombardia,474
2020/2/29,Lombardia,552
2020/3/1,Lombardia,887
2020/3/2,Lombardia,1077
2020/3/3,Lombardia,1326
2020/3/4,Lombardia,1497
2020/3/5,Lombardia,1777
2020/3/6,Lombardia,2008
2020/3/7,Lombardia,2742
2020/3/8,Lombardia,3372
2020/3/9,Lombardia,4490
2020/3/10,Lombardia,4427
2020/3/11,Lombardia,5763
2020/3/12,Lombardia,6896
2020/3/13,Lombardia,7732
2020/3/14,Lombardia,9059
2020/3/15,Lombardia,10043
2020/3/16,Lombardia,10861
2020/3/17,Lombardia,12095
2020/3/18,Lombardia,12266
2020/3/19,Lombardia,13938
2020/3/20,Lombardia,15420
2020/3/21,Lombardia,17370
2020/3/22,Lombardia,17885
2020/3/23,Lombardia,18910
2020/3/24,Lombardia,19868
2020/3/25,Lombardia,20591
2020/3/26,Lombardia,22189
2020/3/27,Lombardia,23895
2020/3/28,Lombardia,24509
2020/3/29,Lombardia,25392
2020/3/30,Lombardia,25006
2020/3/31,Lombardia,25124
2020/4/1,Lombardia,25765
2020/4/2,Lombardia,25876
2020/4/3,Lombardia,26189
2020/4/4,Lombardia,27220
2020/4/5,Lombardia,28124
2020/4/6,Lombardia,28469
2020/4/7,Lombardia,28343
2020/4/8,Lombardia,28545
2020/4/9,Lombardia,29074
2020/4/10,Lombardia,29530
2020/4/11,Lombardia,30258
2020/4/12,Lombardia,31265
2020/4/13,Lombardia,31935
2020/4/14,Lombardia,32363
2020/4/15,Lombardia,32921
2020/4/16,Lombardia,33090
2020/4/17,Lombardia,33434
2020/4/18,Lombardia,34195
2020/4/19,Lombardia,34497
2020/4/20,Lombardia,34587
2020/4/21,Lombardia,33978
2020/4/22,Lombardia,34242
2020/4/23,Lombardia,33873
2020/4/24,Lombardia,34368
2020/4/25,Lombardia,34473
2020/4/26,Lombardia,35166
2020/4/27,Lombardia,35441
2020/4/28,Lombardia,35744
2020/4/29,Lombardia,36122
2020/4/30,Lombardia,36211
2020/5/1,Lombardia,36473
2020/5/2,Lombardia,36667
2020/5/3,Lombardia,36926
2020/5/4,Lombardia,37307
2020/5/5,Lombardia,37092
2020/5/6,Lombardia,31753
2020/5/7,Lombardia,32015
2020/5/8,Lombardia,31983
2020/5/9,Lombardia,30262
2020/5/10,Lombardia,30190
2020/5/11,Lombardia,30411
2020/5/12,Lombardia,30675
2020/5/13,Lombardia,30032
2020/5/14,Lombardia,29956
2020/5/15,Lombardia,27746
2020/5/16,Lombardia,27679
2020/5/17,Lombardia,27430
2020/5/18,Lombardia,27073
2020/5/19,Lombardia,27291
2020/5/20,Lombardia,26671
2020/5/21,Lombardia,26715
2020/5/22,Lombardia,25933
2020/5/23,Lombardia,25630
2020/5/24,Lombardia,25614
