date,age,total_number,rV
2020-12-27,20-29,42.0,4.221631640526056e-05
2020-12-27,30-39,64.0,5.5750197303432645e-05
2020-12-27,40-49,142.0,9.429602044231474e-05
2020-12-27,50-59,234.0,0.00014554727954096627
2020-12-27,60-69,201.0,0.0001681154426161774
2020-12-27,70-79,23.0,2.3273698696672874e-05
2020-12-27,80-89,10.0,1.6287679510587807e-05
2020-12-27,90+,2.0,2.07939115427003e-05
2020-12-28,20-29,7.0,7.036052734210092e-06
2020-12-28,30-39,20.0,1.7421936657322702e-05
2020-12-28,40-49,29.0,1.9257637977655827e-05
2020-12-28,50-59,38.0,2.3635883002379138e-05
2020-12-28,60-69,14.0,1.1709533316549669e-05
2020-12-29,20-29,11.0,1.105665429661586e-05
2020-12-29,30-39,31.0,2.7004001818850186e-05
2020-12-29,40-49,28.0,1.8593581495667695e-05
2020-12-29,50-59,25.0,1.5549923027881012e-05
2020-12-29,60-69,12.0,1.0036742842756859e-05
2020-12-30,20-29,12.0,1.2061804687217301e-05
2020-12-30,30-39,36.0,3.1359485983180865e-05
2020-12-30,40-49,26.0,1.7265468531691433e-05
2020-12-30,50-59,34.0,2.1147895317918175e-05
2020-12-30,60-69,6.0,5.018371421378429e-06
2020-12-30,70-79,1.0,1.0118999433336032e-06
2020-12-31,20-29,59.0,5.9303873045485065e-05
2020-12-31,30-39,160.0,0.00013937549325858162
2020-12-31,40-49,158.0,0.00010492092415412485
2020-12-31,50-59,249.0,0.0001548772333576949
2020-12-31,60-69,88.0,7.360278084688363e-05
2020-12-31,70-79,1.0,1.0118999433336032e-06
2021-01-01,20-29,1.0,1.0051503906014418e-06
2021-01-01,30-39,6.0,5.22658099719681e-06
2021-01-01,40-49,6.0,3.984338891928792e-06
2021-01-01,50-59,8.0,4.975975368921924e-06
2021-01-01,60-69,3.0,2.5091857106892147e-06
2021-01-01,70-79,1.0,1.0118999433336032e-06
2021-01-02,12-19,1.0,1.2984281229143999e-06
2021-01-02,20-29,28.0,2.814421093684037e-05
2021-01-02,30-39,42.0,3.658606698037767e-05
2021-01-02,40-49,55.0,3.6523106509347256e-05
2021-01-02,50-59,52.0,3.23438398979925e-05
2021-01-02,60-69,23.0,1.9237090448617314e-05
2021-01-02,70-79,1.0,1.0118999433336032e-06
2021-01-03,20-29,89.0,8.945838476352831e-05
2021-01-03,30-39,159.0,0.00013850439642571548
2021-01-03,40-49,180.0,0.00011953016675786376
2021-01-03,50-59,280.0,0.00017415913791226734
2021-01-03,60-69,133.0,0.00011124056650722186
2021-01-03,70-79,10.0,1.0118999433336031e-05
2021-01-03,80-89,2.0,3.257535902117561e-06
2021-01-03,90+,4.0,4.15878230854006e-05
2021-01-04,20-29,499.0,0.0005015700449101195
2021-01-04,30-39,1172.0,0.0010209254881191102
2021-01-04,40-49,1450.0,0.0009628818988827914
2021-01-04,50-59,1976.0,0.0012290659161237152
2021-01-04,60-69,824.0,0.0006891896752026376
2021-01-04,70-79,62.0,6.27377964866834e-05
2021-01-04,80-89,79.0,0.00012867266813364366
2021-01-04,90+,71.0,0.0007381838597658605
2021-01-05,12-19,1.0,1.2984281229143999e-06
2021-01-05,20-29,687.0,0.0006905383183431905
2021-01-05,30-39,1549.0,0.0013493289941096432
2021-01-05,40-49,1864.0,0.001237801282425878
2021-01-05,50-59,2552.0,0.0015873361426860938
2021-01-05,60-69,1013.0,0.0008472683749760582
2021-01-05,70-79,52.0,5.2618797053347365e-05
2021-01-05,80-89,81.0,0.00013193020403576123
2021-01-05,90+,76.0,0.0007901686386226113
2021-01-06,12-19,1.0,1.2984281229143999e-06
2021-01-06,20-29,814.0,0.0008181924179495736
2021-01-06,30-39,1536.0,0.0013380047352823834
2021-01-06,40-49,1550.0,0.0010292875470816047
2021-01-06,50-59,2158.0,0.001342269355766689
2021-01-06,60-69,1011.0,0.0008455955845022654
2021-01-06,70-79,73.0,7.386869586335303e-05
2021-01-06,80-89,15.0,2.4431519265881708e-05
2021-01-06,90+,8.0,8.31756461708012e-05
2021-01-07,12-19,3.0,3.895284368743199e-06
2021-01-07,20-29,1022.0,0.0010272636991946736
2021-01-07,30-39,2095.0,0.001824947864854553
2021-01-07,40-49,2616.0,0.0017371717568809533
2021-01-07,50-59,3655.0,0.0022733987466762038
2021-01-07,60-69,1508.0,0.0012612840172397787
2021-01-07,70-79,203.0,0.00020541568849672144
2021-01-07,80-89,324.0,0.0005277208161430449
2021-01-07,90+,344.0,0.003576552785344451
2021-01-08,12-19,2.0,2.5968562458287998e-06
2021-01-08,20-29,1217.0,0.0012232680253619547
2021-01-08,30-39,2269.0,0.0019765187137732606
2021-01-08,40-49,2865.0,0.0019025218208959982
2021-01-08,50-59,4175.0,0.002596837145656129
2021-01-08,60-69,1735.0,0.0014511457360152624
2021-01-08,70-79,193.0,0.00019529668906338542
2021-01-08,80-89,156.0,0.00025408780036516976
2021-01-08,90+,125.0,0.0012996194714187685
2021-01-09,12-19,7.0,9.088996860400799e-06
2021-01-09,20-29,1418.0,0.0014253032538728443
2021-01-09,30-39,2171.0,0.0018911512241523792
2021-01-09,40-49,2586.0,0.0017172500624213093
2021-01-09,50-59,3729.0,0.002319426518838732
2021-01-09,60-69,2155.0,0.0018024317355117526
2021-01-09,70-79,263.0,0.0002661296850967376
2021-01-09,80-89,109.0,0.00017753570666540709
2021-01-09,90+,70.0,0.0007277869039945104
2021-01-10,12-19,25.0,3.246070307285999e-05
2021-01-10,20-29,1384.0,0.0013911281405923955
2021-01-10,30-39,1746.0,0.0015209350701842718
2021-01-10,40-49,2136.0,0.0014184246455266499
2021-01-10,50-59,2963.0,0.0018429768772644576
2021-01-10,60-69,1906.0,0.0015941693215245478
2021-01-10,70-79,295.0,0.00029851048328341295
2021-01-10,80-89,50.0,8.143839755293903e-05
2021-01-10,90+,39.0,0.0004054812750826558
2021-01-11,12-19,12.0,1.5581137474972797e-05
2021-01-11,20-29,1800.0,0.0018092707030825952
2021-01-11,30-39,2658.0,0.002315375381758187
2021-01-11,40-49,3519.0,0.0023368147601162364
2021-01-11,50-59,5099.0,0.003171562300766611
2021-01-11,60-69,2065.0,0.0017271561641910762
2021-01-11,70-79,397.0,0.0004017242775034405
2021-01-11,80-89,393.0,0.0006401058047661007
2021-01-11,90+,351.0,0.003649331475743902
2021-01-12,12-19,16.0,2.0774849966630398e-05
2021-01-12,20-29,2039.0,0.00204950164643634
2021-01-12,30-39,3154.0,0.00274743941085979
2021-01-12,40-49,4238.0,0.002814271370665703
2021-01-12,50-59,5958.0,0.003705857656004603
2021-01-12,60-69,2633.0,0.002202228658748234
2021-01-12,70-79,660.0,0.0006678539626001781
2021-01-12,80-89,847.0,0.0013795664545467872
2021-01-12,90+,759.0,0.007891289430454763
2021-01-13,12-19,26.0,3.37591311957744e-05
2021-01-13,20-29,2754.0,0.0027681841757163706
2021-01-13,30-39,3571.0,0.0031106867901649683
2021-01-13,40-49,5100.0,0.003386688058139473
2021-01-13,50-59,7110.0,0.00442239810912936
2021-01-13,60-69,3097.0,0.002590316048668166
2021-01-13,70-79,1033.0,0.001045292641463612
2021-01-13,80-89,1929.0,0.0031418933775923877
2021-01-13,90+,1819.0,0.01891206254808592
2021-01-14,12-19,31.0,4.02512718103464e-05
2021-01-14,20-29,2592.0,0.002605349812438937
2021-01-14,30-39,3523.0,0.003068874142187394
2021-01-14,40-49,5039.0,0.0033461806127381972
2021-01-14,50-59,6798.0,0.004228335069741405
2021-01-14,60-69,2975.0,0.0024882758297668046
2021-01-14,70-79,1184.0,0.0011980895329069862
2021-01-14,80-89,2491.0,0.004057260966087423
2021-01-14,90+,2278.0,0.023684265247135638
2021-01-15,12-19,24.0,3.1162274949945594e-05
2021-01-15,20-29,2647.0,0.0026606330839220164
2021-01-15,30-39,3329.0,0.0028998813566113637
2021-01-15,40-49,4809.0,0.003193447621880927
2021-01-15,50-59,6386.0,0.003972072338241926
2021-01-15,60-69,2778.0,0.0023235059680982127
2021-01-15,70-79,1152.0,0.001165708734720311
2021-01-15,80-89,2170.0,0.003534426453797554
2021-01-15,90+,1946.0,0.020232475931047388
2021-01-16,12-19,66.0,8.569625611235039e-05
2021-01-16,20-29,2334.0,0.0023460210116637652
2021-01-16,30-39,2123.0,0.0018493385761748048
2021-01-16,40-49,2750.0,0.001826155325467363
2021-01-16,50-59,3595.0,0.0022360789314092894
2021-01-16,60-69,2452.0,0.002050841120869985
2021-01-16,70-79,860.0,0.0008702339512668987
2021-01-16,80-89,741.0,0.0012069170517345564
2021-01-16,90+,719.0,0.007475411199600757
2021-01-17,12-19,33.0,4.2848128056175195e-05
2021-01-17,20-29,1603.0,0.001611256076134111
2021-01-17,30-39,1150.0,0.0010017613577960553
2021-01-17,40-49,1481.0,0.0009834676498244235
2021-01-17,50-59,1933.0,0.0012023200485157598
2021-01-17,60-69,1213.0,0.0010145474223553393
2021-01-17,70-79,460.0,0.0004654739739334575
2021-01-17,80-89,153.0,0.0002492014965119934
2021-01-17,90+,128.0,0.0013308103387328191
2021-01-18,12-19,4.0,5.1937124916575996e-06
2021-01-18,20-29,721.0,0.0007247134316236395
2021-01-18,30-39,1177.0,0.001025280972283441
2021-01-18,40-49,1555.0,0.0010326078294915452
2021-01-18,50-59,1948.0,0.0012116500023324885
2021-01-18,60-69,860.0,0.0007192999037309082
2021-01-18,70-79,419.0,0.00042398607625677976
2021-01-18,80-89,783.0,0.0012753253056790252
2021-01-18,90+,817.0,0.008494312865193072
2021-01-19,12-19,4.0,5.1937124916575996e-06
2021-01-19,20-29,578.0,0.0005809769257676333
2021-01-19,30-39,992.0,0.000864128058203206
2021-01-19,40-49,1382.0,0.0009177260581075984
2021-01-19,50-59,1710.0,0.0010636147351070612
2021-01-19,60-69,748.0,0.0006256236371985109
2021-01-19,70-79,379.0,0.0003835100785234356
2021-01-19,80-89,905.0,0.0014740349957081964
2021-01-19,90+,883.0,0.009180511946102182
2021-01-20,12-19,4.0,5.1937124916575996e-06
2021-01-20,20-29,439.0,0.0004412610214740329
2021-01-20,30-39,668.0,0.0005818926843545782
2021-01-20,40-49,998.0,0.0006627283690241558
2021-01-20,50-59,1292.0,0.0008036200220808907
2021-01-20,60-69,504.0,0.0004215431993957881
2021-01-20,70-79,306.0,0.0003096413826600826
2021-01-20,80-89,731.0,0.0011906293722239686
2021-01-20,90+,658.0,0.0068411968975483975
2021-01-21,12-19,3.0,3.895284368743199e-06
2021-01-21,20-29,405.0,0.00040708590819358393
2021-01-21,30-39,624.0,0.0005435644237084682
2021-01-21,40-49,903.0,0.0005996430032352832
2021-01-21,50-59,1091.0,0.0006785986409367274
2021-01-21,60-69,446.0,0.0003730322756557966
2021-01-21,70-79,234.0,0.00023678458674006314
2021-01-21,80-89,620.0,0.0010098361296564439
2021-01-21,90+,497.0,0.005167287018361024
2021-01-22,12-19,1.0,1.2984281229143999e-06
2021-01-22,20-29,293.0,0.00029450906444622243
2021-01-22,30-39,407.0,0.00035453641097651695
2021-01-22,40-49,538.0,0.000357262387309615
2021-01-22,50-59,660.0,0.0004105179679360587
2021-01-22,60-69,283.0,0.0002366998520416826
2021-01-22,70-79,176.0,0.00017809439002671417
2021-01-22,80-89,457.0,0.0007443469536338627
2021-01-22,90+,380.0,0.003950843193113057
2021-01-23,12-19,1.0,1.2984281229143999e-06
2021-01-23,20-29,78.0,7.840173046691246e-05
2021-01-23,30-39,132.0,0.00011498478193832982
2021-01-23,40-49,167.0,0.00011089743249201803
