,date,age_band,new_doses,population,rV
0,2020/12/8,10 - 14 years,0,425353,0
1,2020/12/8,15 - 19 years,0,194388,0
2,2020/12/8,20 - 24 years,1,736340,1.36E-06
3,2020/12/8,25 - 29 years,32,757848,4.22E-05
4,2020/12/8,30 - 34 years,37,822084,4.50E-05
5,2020/12/8,35 - 39 years,24,779934,3.08E-05
6,2020/12/8,40 - 44 years,18,677463,2.66E-05
7,2020/12/8,45 - 49 years,36,598535,6.01E-05
8,2020/12/8,5 - 9 years,0,832055,0
9,2020/12/8,50 - 54 years,27,569938,4.74E-05
11,2020/12/8,55 - 59 years,39,508722,7.67E-05
12,2020/12/8,60 - 64 years,26,405576,6.41E-05
13,2020/12/8,65 - 69 years,10,318142,3.14E-05
14,2020/12/8,70 - 74 years,11,280432,3.92E-05
16,2020/12/8,75+ years,265,499879,0.000530128
18,2020/12/9,10 - 14 years,0,425353,0
19,2020/12/9,15 - 19 years,0,194388,0
20,2020/12/9,20 - 24 years,13,736340,1.77E-05
21,2020/12/9,25 - 29 years,64,757848,8.44E-05
22,2020/12/9,30 - 34 years,78,822084,9.49E-05
23,2020/12/9,35 - 39 years,79,779934,0.000101291
24,2020/12/9,40 - 44 years,66,677463,9.74E-05
25,2020/12/9,45 - 49 years,76,598535,0.000126977
26,2020/12/9,5 - 9 years,0,832055,0
27,2020/12/9,50 - 54 years,74,569938,0.000129839
29,2020/12/9,55 - 59 years,79,508722,0.000155291
30,2020/12/9,60 - 64 years,57,405576,0.000140541
31,2020/12/9,65 - 69 years,35,318142,0.000110014
32,2020/12/9,70 - 74 years,15,280432,5.35E-05
34,2020/12/9,75+ years,220,499879,0.000440107
36,2020/12/10,10 - 14 years,0,425353,0
37,2020/12/10,15 - 19 years,0,194388,0
38,2020/12/10,20 - 24 years,9,736340,1.22E-05
39,2020/12/10,25 - 29 years,95,757848,0.000125355
40,2020/12/10,30 - 34 years,168,822084,0.000204359
41,2020/12/10,35 - 39 years,116,779934,0.000148731
42,2020/12/10,40 - 44 years,78,677463,0.000115135
43,2020/12/10,45 - 49 years,119,598535,0.000198819
44,2020/12/10,5 - 9 years,0,832055,0
45,2020/12/10,50 - 54 years,125,569938,0.000219322
47,2020/12/10,55 - 59 years,119,508722,0.00023392
48,2020/12/10,60 - 64 years,68,405576,0.000167663
49,2020/12/10,65 - 69 years,38,318142,0.000119444
50,2020/12/10,70 - 74 years,26,280432,9.27E-05
52,2020/12/10,75+ years,409,499879,0.000818198
54,2020/12/11,10 - 14 years,0,425353,0
55,2020/12/11,15 - 19 years,0,194388,0
56,2020/12/11,20 - 24 years,13,736340,1.77E-05
57,2020/12/11,25 - 29 years,90,757848,0.000118757
58,2020/12/11,30 - 34 years,126,822084,0.000153269
59,2020/12/11,35 - 39 years,81,779934,0.000103855
60,2020/12/11,40 - 44 years,88,677463,0.000129896
61,2020/12/11,45 - 49 years,113,598535,0.000188794
62,2020/12/11,5 - 9 years,0,832055,0
63,2020/12/11,50 - 54 years,133,569938,0.000233359
65,2020/12/11,55 - 59 years,108,508722,0.000212297
66,2020/12/11,60 - 64 years,95,405576,0.000234235
67,2020/12/11,65 - 69 years,48,318142,0.000150876
68,2020/12/11,70 - 74 years,25,280432,8.91E-05
70,2020/12/11,75+ years,424,499879,0.000848205
72,2020/12/12,10 - 14 years,0,425353,0
73,2020/12/12,15 - 19 years,0,194388,0
74,2020/12/12,20 - 24 years,5,736340,6.79E-06
75,2020/12/12,25 - 29 years,43,757848,5.67E-05
76,2020/12/12,30 - 34 years,49,822084,5.96E-05
77,2020/12/12,35 - 39 years,33,779934,4.23E-05
78,2020/12/12,40 - 44 years,24,677463,3.54E-05
79,2020/12/12,45 - 49 years,38,598535,6.35E-05
80,2020/12/12,5 - 9 years,0,832055,0
81,2020/12/12,50 - 54 years,42,569938,7.37E-05
83,2020/12/12,55 - 59 years,34,508722,6.68E-05
84,2020/12/12,60 - 64 years,32,405576,7.89E-05
85,2020/12/12,65 - 69 years,22,318142,6.92E-05
86,2020/12/12,70 - 74 years,10,280432,3.57E-05
88,2020/12/12,75+ years,491,499879,0.000982238
90,2020/12/13,10 - 14 years,0,425353,0
91,2020/12/13,15 - 19 years,0,194388,0
92,2020/12/13,20 - 24 years,4,736340,5.43E-06
93,2020/12/13,25 - 29 years,10,757848,1.32E-05
94,2020/12/13,30 - 34 years,6,822084,7.30E-06
95,2020/12/13,35 - 39 years,7,779934,8.98E-06
96,2020/12/13,40 - 44 years,8,677463,1.18E-05
97,2020/12/13,45 - 49 years,2,598535,3.34E-06
98,2020/12/13,5 - 9 years,0,832055,0
99,2020/12/13,50 - 54 years,1,569938,1.75E-06
101,2020/12/13,55 - 59 years,4,508722,7.86E-06
102,2020/12/13,60 - 64 years,3,405576,7.40E-06
103,2020/12/13,65 - 69 years,1,318142,3.14E-06
104,2020/12/13,70 - 74 years,0,280432,0
106,2020/12/13,75+ years,6,499879,1.20E-05
108,2020/12/14,10 - 14 years,0,425353,0
109,2020/12/14,15 - 19 years,0,194388,0
110,2020/12/14,20 - 24 years,8,736340,1.09E-05
111,2020/12/14,25 - 29 years,75,757848,9.90E-05
112,2020/12/14,30 - 34 years,78,822084,9.49E-05
113,2020/12/14,35 - 39 years,70,779934,8.98E-05
114,2020/12/14,40 - 44 years,56,677463,8.27E-05
115,2020/12/14,45 - 49 years,88,598535,0.000147026
116,2020/12/14,5 - 9 years,0,832055,0
117,2020/12/14,50 - 54 years,81,569938,0.000142121
119,2020/12/14,55 - 59 years,80,508722,0.000157257
120,2020/12/14,60 - 64 years,71,405576,0.00017506
121,2020/12/14,65 - 69 years,42,318142,0.000132017
122,2020/12/14,70 - 74 years,28,280432,9.98E-05
124,2020/12/14,75+ years,620,499879,0.0012403
126,2020/12/15,10 - 14 years,0,425353,0
127,2020/12/15,15 - 19 years,0,194388,0
128,2020/12/15,20 - 24 years,17,736340,2.31E-05
129,2020/12/15,25 - 29 years,98,757848,0.000129314
130,2020/12/15,30 - 34 years,126,822084,0.000153269
131,2020/12/15,35 - 39 years,126,779934,0.000161552
132,2020/12/15,40 - 44 years,154,677463,0.000227319
133,2020/12/15,45 - 49 years,172,598535,0.000287368
134,2020/12/15,5 - 9 years,0,832055,0
135,2020/12/15,50 - 54 years,179,569938,0.000314069
137,2020/12/15,55 - 59 years,169,508722,0.000332205
138,2020/12/15,60 - 64 years,157,405576,0.000387104
139,2020/12/15,65 - 69 years,89,318142,0.000279749
140,2020/12/15,70 - 74 years,59,280432,0.00021039
142,2020/12/15,75+ years,3179,499879,0.006359539
144,2020/12/16,10 - 14 years,0,425353,0
145,2020/12/16,15 - 19 years,0,194388,0
146,2020/12/16,20 - 24 years,32,736340,4.35E-05
147,2020/12/16,25 - 29 years,147,757848,0.00019397
148,2020/12/16,30 - 34 years,193,822084,0.000234769
149,2020/12/16,35 - 39 years,204,779934,0.000261561
150,2020/12/16,40 - 44 years,193,677463,0.000284886
151,2020/12/16,45 - 49 years,209,598535,0.000349186
152,2020/12/16,5 - 9 years,0,832055,0
153,2020/12/16,50 - 54 years,245,569938,0.000429871
155,2020/12/16,55 - 59 years,268,508722,0.00052681
156,2020/12/16,60 - 64 years,247,405576,0.00060901
157,2020/12/16,65 - 69 years,162,318142,0.000509207
158,2020/12/16,70 - 74 years,99,280432,0.000353027
160,2020/12/16,75+ years,8245,499879,0.016493992
162,2020/12/17,10 - 14 years,0,425353,0
163,2020/12/17,15 - 19 years,0,194388,0
164,2020/12/17,20 - 24 years,39,736340,5.30E-05
165,2020/12/17,25 - 29 years,144,757848,0.000190012
166,2020/12/17,30 - 34 years,234,822084,0.000284642
167,2020/12/17,35 - 39 years,221,779934,0.000283357
168,2020/12/17,40 - 44 years,237,677463,0.000349835
169,2020/12/17,45 - 49 years,251,598535,0.000419357
170,2020/12/17,5 - 9 years,0,832055,0
171,2020/12/17,50 - 54 years,282,569938,0.000494791
173,2020/12/17,55 - 59 years,313,508722,0.000615267
174,2020/12/17,60 - 64 years,289,405576,0.000712567
175,2020/12/17,65 - 69 years,203,318142,0.00063808
176,2020/12/17,70 - 74 years,137,280432,0.000488532
178,2020/12/17,75+ years,8260,499879,0.016523999
180,2020/12/18,10 - 14 years,0,425353,0
181,2020/12/18,15 - 19 years,0,194388,0
182,2020/12/18,20 - 24 years,58,736340,7.88E-05
183,2020/12/18,25 - 29 years,174,757848,0.000229597
184,2020/12/18,30 - 34 years,272,822084,0.000330866
185,2020/12/18,35 - 39 years,220,779934,0.000282075
186,2020/12/18,40 - 44 years,320,677463,0.000472351
187,2020/12/18,45 - 49 years,300,598535,0.000501224
188,2020/12/18,5 - 9 years,0,832055,0
189,2020/12/18,50 - 54 years,342,569938,0.000600065
191,2020/12/18,55 - 59 years,368,508722,0.000723381
192,2020/12/18,60 - 64 years,293,405576,0.000722429
193,2020/12/18,65 - 69 years,195,318142,0.000612934
194,2020/12/18,70 - 74 years,148,280432,0.000527757
196,2020/12/18,75+ years,6825,499879,0.013653304
198,2020/12/19,10 - 14 years,0,425353,0
199,2020/12/19,15 - 19 years,0,194388,0
200,2020/12/19,20 - 24 years,29,736340,3.94E-05
201,2020/12/19,25 - 29 years,88,757848,0.000116118
202,2020/12/19,30 - 34 years,119,822084,0.000144754
203,2020/12/19,35 - 39 years,126,779934,0.000161552
204,2020/12/19,40 - 44 years,127,677463,0.000187464
205,2020/12/19,45 - 49 years,140,598535,0.000233904
206,2020/12/19,5 - 9 years,0,832055,0
207,2020/12/19,50 - 54 years,133,569938,0.000233359
209,2020/12/19,55 - 59 years,142,508722,0.000279131
210,2020/12/19,60 - 64 years,132,405576,0.000325463
211,2020/12/19,65 - 69 years,100,318142,0.000314325
212,2020/12/19,70 - 74 years,67,280432,0.000238917
214,2020/12/19,75+ years,5259,499879,0.010520546
216,2020/12/20,10 - 14 years,0,425353,0
217,2020/12/20,15 - 19 years,0,194388,0
218,2020/12/20,20 - 24 years,48,736340,6.52E-05
219,2020/12/20,25 - 29 years,167,757848,0.000220361
220,2020/12/20,30 - 34 years,246,822084,0.000299239
