,year_week,deaths
0,2020-01,0.0
1,2020-02,0.0
2,2020-03,0.0
3,2020-04,0.0
4,2020-05,0.0
5,2020-06,0.0
6,2020-07,0.0
7,2020-08,0.0
8,2020-09,0.0
9,2020-10,0.0
10,2020-11,0.0
11,2020-12,22.0
12,2020-13,76.0
13,2020-14,177.0
14,2020-15,313.0
15,2020-16,427.0
16,2020-17,685.0
17,2020-18,927.0
18,2020-19,1082.0
19,2020-20,1073.0
20,2020-21,1381.0
21,2020-22,1452.0
22,2020-23,1530.0
23,2020-24,1549.0
24,2020-25,1894.0
25,2020-26,1750.0
26,2020-27,1740.0
27,2020-28,1770.0
28,2020-29,1884.0
29,2020-30,1874.0
30,2020-31,1711.0
31,2020-32,1797.0
32,2020-33,1738.0
33,2020-34,1615.0
34,2020-35,1511.0
35,2020-36,1375.0
36,2020-37,1253.0
37,2020-38,1346.0
38,2020-39,1156.0
39,2020-40,1070.0
40,2020-41,1078.0
41,2020-42,764.0
42,2020-43,727.0
43,2020-44,584.0
44,2020-45,386.0
45,2020-46,847.0
46,2020-47,703.0
47,2020-48,809.0
48,2020-49,939.0
49,2020-50,1003.0
50,2020-51,1011.0
51,2020-52,834.0
52,2020-53,982.0
53,2021-01,1506.0
54,2021-02,1594.0
55,2021-03,1557.0
56,2021-04,1532.0
57,2021-05,1580.0
58,2021-06,1652.0
59,2021-07,1533.0
60,2021-08,1694.0
61,2021-09,1970.0
62,2021-10,2660.0
63,2021-11,3435.0
64,2021-12,4433.0
65,2021-13,5029.0
66,2021-14,5897.0
67,2021-15,5433.0
68,2021-16,4343.0
69,2021-17,4365.0
70,2021-18,3741.0
71,2021-19,3420.0
72,2021-20,3395.0
73,2021-21,3690.0
74,2021-22,3100.0
75,2021-23,3717.0
76,2021-24,4039.0
77,2021-25,3890.0
78,2021-26,3559.0
79,2021-27,2531.0
80,2021-28,2663.0
81,2021-29,2433.0
82,2021-30,1803.0
83,2021-31,1716.0
84,2021-32,1833.0
85,2021-33,1628.0
86,2021-34,1306.0
87,2021-35,1027.0
88,2021-36,687.0
89,2021-37,863.0
90,2021-38,1010.0
91,2021-39,955.0
92,2021-40,692.0
93,2021-41,370.0
94,2021-42,418.0
95,2021-43,458.0
96,2021-44,525.0
97,2021-45,532.0
98,2021-46,413.0
99,2021-47,530.0
100,2021-48,360.0
101,2021-49,329.0
102,2021-50,316.0
103,2021-51,88.0
104,2021-52,121.0
105,2022-01,156.0
106,2022-02,357.0
107,2022-03,764.0
108,2022-04,1361.0
109,2022-05,1735.0
110,2022-06,1900.0
111,2022-07,1671.0
112,2022-08,1363.0
113,2022-09,765.0
114,2022-10,805.0
115,2022-11,565.0
116,2022-12,452.0
117,2022-13,375.0
118,2022-14,221.0
119,2022-15,141.0
120,2022-16,160.0
121,2022-17,219.0
122,2022-18,113.0
123,2022-19,371.0
124,2022-20,240.0
125,2022-21,284.0
126,2022-22,181.0
127,2022-23,430.0
128,2022-24,326.0
129,2022-25,436.0
130,2022-26,458.0
131,2022-27,504.0
132,2022-28,488.0
133,2022-29,487.0
134,2022-30,400.0
135,2022-31,394.0
136,2022-32,314.0
137,2022-33,268.0
138,2022-34,153.0
139,2022-35,198.0
140,2022-36,74.0
141,2022-37,74.0
