data,agegroup,n
2021-01-18,2.0,1
2021-01-18,3.0,257
2021-01-18,4.0,364
2021-01-18,5.0,243
2021-01-18,6.0,151
2021-01-18,7.0,69
2021-01-18,8.0,12
2021-01-18,9.0,7
2021-01-18,10.0,2
2021-01-19,2.0,7
2021-01-19,3.0,1371
2021-01-19,4.0,3198
2021-01-19,5.0,2380
2021-01-19,6.0,1356
2021-01-19,7.0,590
2021-01-19,8.0,115
2021-01-19,9.0,15
2021-01-19,10.0,5
2021-01-20,1.0,2
2021-01-20,2.0,110
2021-01-20,3.0,4853
2021-01-20,4.0,9300
2021-01-20,5.0,7439
2021-01-20,6.0,4622
2021-01-20,7.0,1907
2021-01-20,8.0,573
2021-01-20,9.0,327
2021-01-20,10.0,124
2021-01-21,1.0,3
2021-01-21,2.0,380
2021-01-21,3.0,15617
2021-01-21,4.0,27556
2021-01-21,5.0,22899
2021-01-21,6.0,12855
2021-01-21,7.0,4672
2021-01-21,8.0,1393
2021-01-21,9.0,985
2021-01-21,10.0,529
2021-01-22,1.0,13
2021-01-22,2.0,656
2021-01-22,3.0,20816
2021-01-22,4.0,37718
2021-01-22,5.0,32110
2021-01-22,6.0,17411
2021-01-22,7.0,7195
2021-01-22,8.0,3581
2021-01-22,9.0,4331
2021-01-22,10.0,2501
2021-01-23,1.0,2
2021-01-23,2.0,148
2021-01-23,3.0,4925
2021-01-23,4.0,9042
2021-01-23,5.0,7652
2021-01-23,6.0,3724
2021-01-23,7.0,1464
2021-01-23,8.0,894
2021-01-23,9.0,1084
2021-01-23,10.0,583
2021-01-24,2.0,48
2021-01-24,3.0,1647
2021-01-24,4.0,2950
2021-01-24,5.0,2463
2021-01-24,6.0,1289
2021-01-24,7.0,457
2021-01-24,8.0,264
2021-01-24,9.0,386
2021-01-24,10.0,201
2021-01-25,1.0,4
2021-01-25,2.0,325
2021-01-25,3.0,7927
2021-01-25,4.0,14202
2021-01-25,5.0,13386
2021-01-25,6.0,8780
2021-01-25,7.0,3381
2021-01-25,8.0,1215
2021-01-25,9.0,909
2021-01-25,10.0,410
2021-01-26,2.0,340
2021-01-26,3.0,8043
2021-01-26,4.0,15267
2021-01-26,5.0,14216
2021-01-26,6.0,8562
2021-01-26,7.0,3535
2021-01-26,8.0,1318
2021-01-26,9.0,1156
2021-01-26,10.0,569
2021-01-27,1.0,5
2021-01-27,2.0,468
2021-01-27,3.0,10561
2021-01-27,4.0,18747
2021-01-27,5.0,17905
2021-01-27,6.0,10648
2021-01-27,7.0,4710
2021-01-27,8.0,2189
2021-01-27,9.0,1875
2021-01-27,10.0,884
2021-01-28,1.0,2
2021-01-28,2.0,1018
2021-01-28,3.0,16998
2021-01-28,4.0,27807
2021-01-28,5.0,23671
2021-01-28,6.0,14722
2021-01-28,7.0,6122
2021-01-28,8.0,2600
2021-01-28,9.0,1980
2021-01-28,10.0,737
2021-01-29,1.0,9
2021-01-29,2.0,925
2021-01-29,3.0,14379
2021-01-29,4.0,23561
2021-01-29,5.0,20006
2021-01-29,6.0,12169
2021-01-29,7.0,5275
2021-01-29,8.0,2281
2021-01-29,9.0,2070
2021-01-29,10.0,842
2021-01-30,1.0,2
2021-01-30,2.0,195
2021-01-30,3.0,3099
2021-01-30,4.0,4665
2021-01-30,5.0,4057
2021-01-30,6.0,2555
2021-01-30,7.0,1433
2021-01-30,8.0,872
2021-01-30,9.0,1143
2021-01-30,10.0,603
2021-01-31,2.0,20
2021-01-31,3.0,451
2021-01-31,4.0,868
2021-01-31,5.0,853
2021-01-31,6.0,534
2021-01-31,7.0,318
2021-01-31,8.0,168
2021-01-31,9.0,171
2021-01-31,10.0,107
2021-02-01,1.0,3
2021-02-01,2.0,550
2021-02-01,3.0,9148
2021-02-01,4.0,13669
2021-02-01,5.0,11679
2021-02-01,6.0,7596
2021-02-01,7.0,3822
2021-02-01,8.0,1784
2021-02-01,9.0,1586
2021-02-01,10.0,611
2021-02-02,2.0,689
2021-02-02,3.0,10778
2021-02-02,4.0,15432
2021-02-02,5.0,13936
2021-02-02,6.0,9542
2021-02-02,7.0,4329
2021-02-02,8.0,1957
2021-02-02,9.0,1692
2021-02-02,10.0,776
2021-02-03,1.0,4
2021-02-03,2.0,1038
2021-02-03,3.0,15718
2021-02-03,4.0,21995
2021-02-03,5.0,19016
2021-02-03,6.0,11371
2021-02-03,7.0,5307
2021-02-03,8.0,2011
2021-02-03,9.0,1676
2021-02-03,10.0,1236
2021-02-04,1.0,10
2021-02-04,2.0,1687
2021-02-04,3.0,24064
2021-02-04,4.0,30635
2021-02-04,5.0,25366
2021-02-04,6.0,15525
2021-02-04,7.0,6776
2021-02-04,8.0,2410
2021-02-04,9.0,2612
2021-02-04,10.0,3951
2021-02-05,1.0,5
2021-02-05,2.0,1433
2021-02-05,3.0,18834
2021-02-05,4.0,22743
2021-02-05,5.0,18785
2021-02-05,6.0,11947
2021-02-05,7.0,4934
2021-02-05,8.0,1769
2021-02-05,9.0,2596
2021-02-05,10.0,21663
2021-02-06,1.0,1
2021-02-06,2.0,322
2021-02-06,3.0,5508
2021-02-06,4.0,7430
2021-02-06,5.0,5920
2021-02-06,6.0,3421
2021-02-06,7.0,1753
2021-02-06,8.0,721
2021-02-06,9.0,1581
2021-02-06,10.0,7277
2021-02-07,2.0,102
2021-02-07,3.0,1799
2021-02-07,4.0,2376
2021-02-07,5.0,2035
2021-02-07,6.0,1083
2021-02-07,7.0,447
2021-02-07,8.0,184
2021-02-07,9.0,275
2021-02-07,10.0,1546
2021-02-08,1.0,7
2021-02-08,2.0,900
2021-02-08,3.0,10708
2021-02-08,4.0,13632
2021-02-08,5.0,11198
2021-02-08,6.0,7130
2021-02-08,7.0,4066
2021-02-08,8.0,2778
2021-02-08,9.0,6069
2021-02-08,10.0,45688
2021-02-09,1.0,6
2021-02-09,2.0,602
2021-02-09,3.0,7827
2021-02-09,4.0,9859
2021-02-09,5.0,8245
2021-02-09,6.0,5424
2021-02-09,7.0,12664
2021-02-09,8.0,5730
2021-02-09,9.0,7491
2021-02-09,10.0,20130
2021-02-10,1.0,5
2021-02-10,2.0,554
2021-02-10,3.0,7360
2021-02-10,4.0,9021
2021-02-10,5.0,8053
2021-02-10,6.0,5478
2021-02-10,7.0,7818
2021-02-10,8.0,3338
2021-02-10,9.0,11945
2021-02-10,10.0,11754
2021-02-11,1.0,3
2021-02-11,2.0,426
2021-02-11,3.0,6104
2021-02-11,4.0,7570
2021-02-11,5.0,6602
2021-02-11,6.0,4737
2021-02-11,7.0,5244
2021-02-11,8.0,2676
2021-02-11,9.0,45851
2021-02-11,10.0,8292
2021-02-12,1.0,4
2021-02-12,2.0,385
2021-02-12,3.0,4717
2021-02-12,4.0,5403
2021-02-12,5.0,4909
2021-02-12,6.0,3849
2021-02-12,7.0,4401
2021-02-12,8.0,2658
2021-02-12,9.0,85053
2021-02-12,10.0,5907
2021-02-13,1.0,0
2021-02-13,2.0,88
2021-02-13,3.0,1567
2021-02-13,4.0,2360
2021-02-13,5.0,1870
2021-02-13,6.0,1271
2021-02-13,7.0,1106
2021-02-13,8.0,601
2021-02-13,9.0,14807
2021-02-13,10.0,1406
2021-02-14,2.0,9
2021-02-14,3.0,162
2021-02-14,4.0,180
2021-02-14,5.0,186
2021-02-14,6.0,165
2021-02-14,7.0,153
2021-02-14,8.0,125
2021-02-14,9.0,3207
2021-02-14,10.0,225
2021-02-15,2.0,163
2021-02-15,3.0,2153
2021-02-15,4.0,2706
2021-02-15,5.0,2614
