,C1M_School.closing,datetime
0,0,2020/1/1
1,0,2020/1/2
2,0,2020/1/3
3,0,2020/1/4
4,0,2020/1/5
5,0,2020/1/6
6,0,2020/1/7
7,0,2020/1/8
8,0,2020/1/9
9,0,2020/1/10
10,0,2020/1/11
11,0,2020/1/12
12,0,2020/1/13
13,0,2020/1/14
14,0,2020/1/15
15,0,2020/1/16
16,0,2020/1/17
17,0,2020/1/18
18,0,2020/1/19
19,0,2020/1/20
20,0,2020/1/21
21,0,2020/1/22
22,0,2020/1/23
23,0,2020/1/24
24,0,2020/1/25
25,0,2020/1/26
26,0,2020/1/27
27,0,2020/1/28
28,0,2020/1/29
29,0,2020/1/30
30,0,2020/1/31
31,0,2020/2/1
32,0,2020/2/2
33,0,2020/2/3
34,0,2020/2/4
35,0,2020/2/5
36,0,2020/2/6
37,0,2020/2/7
38,0,2020/2/8
39,0,2020/2/9
40,0,2020/2/10
41,0,2020/2/11
42,0,2020/2/12
43,0,2020/2/13
44,0,2020/2/14
45,0,2020/2/15
46,0,2020/2/16
47,0,2020/2/17
48,0,2020/2/18
49,0,2020/2/19
50,0,2020/2/20
51,0,2020/2/21
52,0,2020/2/22
53,0,2020/2/23
54,0,2020/2/24
55,0,2020/2/25
56,0,2020/2/26
57,0,2020/2/27
58,0,2020/2/28
59,0,2020/2/29
60,0,2020/3/1
61,0,2020/3/2
62,0,2020/3/3
63,0,2020/3/4
64,0,2020/3/5
65,0,2020/3/6
66,0,2020/3/7
67,0,2020/3/8
68,0,2020/3/9
69,0,2020/3/10
70,0,2020/3/11
71,3,2020/3/12
72,3,2020/3/13
73,3,2020/3/14
74,3,2020/3/15
75,3,2020/3/16
76,3,2020/3/17
77,3,2020/3/18
78,3,2020/3/19
79,3,2020/3/20
80,3,2020/3/21
81,3,2020/3/22
82,3,2020/3/23
83,3,2020/3/24
84,3,2020/3/25
85,3,2020/3/26
86,3,2020/3/27
87,3,2020/3/28
88,3,2020/3/29
89,3,2020/3/30
90,3,2020/3/31
91,3,2020/4/1
92,3,2020/4/2
93,3,2020/4/3
94,3,2020/4/4
95,3,2020/4/5
96,3,2020/4/6
97,3,2020/4/7
98,3,2020/4/8
99,3,2020/4/9
100,3,2020/4/10
101,3,2020/4/11
102,3,2020/4/12
103,3,2020/4/13
104,3,2020/4/14
105,3,2020/4/15
106,3,2020/4/16
107,3,2020/4/17
108,3,2020/4/18
109,3,2020/4/19
110,3,2020/4/20
111,3,2020/4/21
112,3,2020/4/22
113,3,2020/4/23
114,3,2020/4/24
