id,Delta,R0,i0_q,r0_q,start_week_delta,t_alpha_delta
9002,62.0,1.351647902601506,0.004708462686461802,0.3222490710649415,4.0,20.0
9003,61.0,1.2773364680434107,0.005270689762818977,0.2793487247603481,6.0,33.0
9004,52.0,1.4530791808848387,0.004586189160222617,0.322359561740611,6.0,42.0
9005,61.0,1.381773406444026,0.005336966635711831,0.3418956133939979,7.0,42.0
9006,59.0,1.2366655901842338,0.004697771178438081,0.29570164420282447,7.0,39.0
9007,60.0,1.3752744019042615,0.003533027211824602,0.28200346061926557,5.0,33.0
9008,62.0,1.0789739284948563,0.004678114270115585,0.17939375853280543,5.0,22.0
9009,53.0,1.4692785634605547,0.005365800586150009,0.31752813905964944,6.0,34.0
9010,48.0,1.2807312710059073,0.0034656528618976453,0.2225613178585095,7.0,39.0
9011,59.0,1.3609718773481199,0.005584064391350831,0.3408800611367311,7.0,42.0
9012,62.0,1.2839525241925736,0.005413694683427957,0.22140961141086687,6.0,42.0
9013,49.0,1.4684335853531885,0.005017814998386877,0.3807515440273604,7.0,31.0
9014,62.0,1.2435665739717927,0.005678738366710182,0.25107614033823833,6.0,35.0
9015,53.0,1.2615760234827664,0.005890462053542561,0.23235761788042064,6.0,32.0
9016,58.0,1.2189873561550368,0.005390138275538648,0.2565495497595725,6.0,9.0
9017,52.0,1.1493737985656332,0.0036470467102659794,0.12218938062085088,6.0,38.0
9018,47.0,1.45840978858304,0.004997037876859815,0.31537541933377716,7.0,31.0
9019,57.0,1.260284260073001,0.004369715710179947,0.3013955586355973,7.0,16.0
9020,59.0,1.366320118116944,0.006180998131673113,0.32141737498718476,6.0,10.0
9021,41.0,1.5411243883140648,0.0048719191021781155,0.3965221237377283,7.0,34.0
9022,59.0,1.0987530435584336,0.004687419269190622,0.15628141640299895,6.0,5.0
9023,60.0,1.1777257241809442,0.0044844556436363,0.21752943341083464,5.0,42.0
9024,48.0,1.2713353520821553,0.006640687784858075,0.3047643305767343,7.0,31.0
9025,62.0,1.4085579840151703,0.003423188538092579,0.3037279831414812,6.0,25.0
9026,47.0,1.5198137684106887,0.005805102757862528,0.37214298191805034,7.0,22.0
9027,59.0,1.24762332062629,0.004988693851233626,0.2522028008206018,7.0,21.0
9028,62.0,1.1920668584763487,0.005940930912575596,0.2590464602087575,5.0,0.0
9029,54.0,1.1803562587919672,0.005952028035322612,0.23200570842106572,7.0,23.0
9030,58.0,1.3410321316635943,0.0032380534454259234,0.3557875144754229,7.0,0.0
9031,60.0,1.4749865581310142,0.00685097239404427,0.34190844661535263,6.0,31.0
9032,47.0,1.2549972892388361,0.005564352641961419,0.26358655978387413,7.0,32.0
9033,55.0,1.1718309995816838,0.005036907165897004,0.17377612689861224,7.0,41.0
9034,51.0,1.3563692585296014,0.0036197255123425333,0.31156838095718487,7.0,42.0
9035,52.0,1.1712564476511456,0.004621885895562539,0.24468988011668646,7.0,37.0
9036,61.0,1.1299996500638183,0.004446442750984501,0.13896966059548121,7.0,42.0
9037,62.0,1.2237630581111025,0.0030170704424365884,0.2083961594640164,6.0,42.0
9038,62.0,1.2174940767889424,0.004948210182662763,0.22678627218896139,7.0,37.0
9039,48.0,1.3871801819847942,0.004063861160551052,0.327116693239824,7.0,42.0
9040,42.0,1.5606544462839598,0.004329771017344562,0.34179541481885717,5.0,40.0
9041,63.0,1.1830777526314786,0.00423494945131555,0.21702969867864583,7.0,22.0
9042,54.0,1.2136223648658901,0.005596746291372761,0.2930840266407415,7.0,13.0
9043,45.0,1.4091145768458588,0.006038727571496141,0.35027510622652497,7.0,29.0
9044,57.0,1.232557749302297,0.006163625378277403,0.2302499425944823,5.0,42.0
9045,60.0,1.526821219952784,0.005830083379649528,0.3928635218995013,6.0,15.0
9046,53.0,1.2641634396456578,0.004662288854039788,0.2889479604618946,6.0,6.0
9047,60.0,1.2042570235472916,0.004506276665625318,0.20426532710571677,7.0,17.0
9048,61.0,1.198348005682937,0.0031739062092595127,0.13545531032223065,6.0,37.0
9049,52.0,1.4310400041448457,0.005848796284147479,0.36006547625414365,7.0,42.0
9050,60.0,1.3790740433229558,0.0030302034961583054,0.26912316235381045,7.0,28.0
9051,60.0,1.4228556349125088,0.005544246240435993,0.35449956636620833,7.0,40.0
9052,61.0,1.3626727160368146,0.003749849930092908,0.34557556624910085,5.0,40.0
9053,49.0,1.4005673932397822,0.004236988699983346,0.2925375332900788,7.0,42.0
9054,58.0,1.278279493987712,0.0042833355445749555,0.33725184628038607,7.0,34.0
9055,61.0,1.2426101413007968,0.005550618174128906,0.24868662535441438,5.0,38.0
9056,61.0,1.288619919909732,0.004870691359560954,0.2772266305410289,6.0,39.0
