id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,53.0,1.2769118821749088,-7.702241219480399,-6.153926326631023,0.005762598376378604,1.178215269122772,0.23072352391489365,6.0,32.0
9003,58.0,1.4050007622671647,-6.259113695750014,-0.8820991601534711,0.006996853004813241,1.3926228563410525,0.37859041770154267,6.0,16.0
9004,53.0,1.3586253597217084,-4.046250459552594,-2.919672115014832,0.006890758909863137,1.2848548380530058,0.3429710177210718,6.0,20.0
9005,63.0,1.3228847157836423,-7.363120247891845,-1.4875321096900673,0.004629556639700358,1.4598481580898843,0.3403982112646178,7.0,28.0
9006,61.0,1.2276902497736368,1.2857019121834263,0.5368802863900604,0.006214546335166267,1.1650684825213404,0.3332174465887875,7.0,21.0
9007,61.0,1.0628289786832164,-7.368890854710565,-2.5669011437183493,0.0069401575705040795,1.2111470469177918,0.14597700499750418,7.0,39.0
9008,50.0,1.2062267847086634,-4.443820718188488,-0.09061123100967572,0.005945277369491905,1.4280269104008605,0.2900382074721022,7.0,14.0
9009,61.0,1.1512389487297021,-8.17050799627809,1.941198079720017,0.005004339134148606,1.017874175910498,0.23061351662082352,5.0,33.0
9010,63.0,1.2258231188478383,-7.856982063668695,-1.9422619553671017,0.005695904877046557,1.1656359396743372,0.28001953792636486,7.0,42.0
9011,58.0,1.1554504762267672,-8.411813266794681,-5.71734902483421,0.0038252087701262354,1.298793120601683,0.21943621601188404,7.0,11.0
9012,54.0,1.1850141990853404,1.4223370406312565,-3.9742561986792446,0.004459022446262994,1.0144861599096464,0.21200859006403053,5.0,38.0
9013,61.0,1.2605978404731086,-7.895874855811683,1.5985436790704899,0.0056669739248124676,1.1269880889678805,0.33239399805633735,7.0,18.0
9014,48.0,1.4783306168409147,-6.0973741935992685,-5.3391951676578495,0.00717133867157409,1.034056576601466,0.33412737019748806,6.0,22.0
9015,61.0,1.447417771052168,-6.187011260639925,-1.808513266174682,0.004637545669765307,1.4206375570228746,0.375883833078653,7.0,39.0
9016,58.0,1.237090614622854,-6.758919829249148,-9.148616248441998,0.0036936147418385164,1.2281161730948977,0.3215246675928503,7.0,32.0
9017,54.0,1.1631475476799016,-9.184210660783409,-5.92832493182366,0.006521970417513693,1.3105060513354587,0.23969558761581244,7.0,26.0
9018,53.0,1.2209928424581669,-8.245605568553069,0.883495602656228,0.004135766934194434,1.2869352390051003,0.2689384815960321,7.0,17.0
9019,61.0,1.3335974697360282,-5.315527841367967,-0.16467204259001678,0.00567742317264087,1.3423436456220692,0.3498301575086225,6.0,27.0
9020,44.0,1.4419683623467674,-6.531032521639447,-2.530238596339829,0.003799981473004567,1.3235746968944244,0.2975640613805136,6.0,31.0
9021,57.0,1.1205408514400874,-4.8483678178588026,1.839663704359854,0.005471959974009865,1.211913236428545,0.2132468425201501,6.0,12.0
9022,62.0,1.5209634097242604,-2.7099804392559466,-1.1519689565274334,0.0034538991250403135,1.004614845095673,0.3650602135681341,7.0,28.0
9023,53.0,1.18579587174935,-5.865060215625607,-4.711361623160828,0.006087008576288435,1.0592490178350484,0.1984779423744496,7.0,32.0
9024,53.0,1.1271054202078457,-8.444444559735052,-1.5801784868383533,0.00278617009886505,1.0032001174736405,0.1801919667378509,7.0,31.0
