id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,56.0,1.1524331092750295,-0.6759843049574759,-7.050512553060486,0.0034350289630718724,1.0319696578124227,0.14651285361620087,6.0,24.0
9003,59.0,1.0975479664651466,-6.25626372448557,-4.8268437837488705,0.004767450949059161,1.386270185731658,0.15104470337398443,7.0,41.0
9004,62.0,1.212632685732216,-5.554589553881372,-0.4006073861924131,0.003334388312371107,1.4485341175134385,0.25778258443078156,7.0,28.0
9005,61.0,1.179559640579098,-1.8182101360069889,-7.402467586268198,0.0037253928784999404,1.0022381976888635,0.2621078828350249,6.0,35.0
9006,59.0,1.295957885248831,-3.1812398922256566,-1.6971875177620839,0.007342317783148574,1.1156280951897277,0.2931525941120075,6.0,0.0
9007,55.0,1.4066040825295973,-6.94795777199607,-9.037620598244578,0.005366350179910112,1.0413877616773597,0.3549751460129627,5.0,8.0
9008,63.0,1.074541005102701,-6.563702307604812,-7.605037041124873,0.0037704289639972285,1.462519493325763,0.19047577512824293,7.0,34.0
9009,60.0,1.217854400715017,-6.27620098767299,1.305385658328539,0.0026098300735554196,1.207499796970527,0.2780480248467505,7.0,25.0
9010,60.0,1.4797366126143487,-1.6282506420718434,0.5115553116740497,0.0042611393789947025,1.396125070237457,0.37458516075210313,7.0,14.0
9011,55.0,1.4011668885242086,-5.810080136885387,-6.56477771125247,0.004739202463129925,1.0232974105601447,0.35527624809399305,6.0,17.0
9012,62.0,1.2808397987007984,-8.582916512574432,-6.234375837785629,0.0037594201934106103,1.1792741875529675,0.2823659304351344,7.0,38.0
9013,62.0,1.2540001259240956,-0.2752052290085118,-4.537674215457044,0.006576354640854723,1.1646913930291924,0.30725501478278094,5.0,36.0
9014,53.0,1.5309541840381344,-3.0484790276956124,-4.883971617436636,0.006146013147013674,1.3225773193711445,0.3943785824946179,6.0,9.0
9015,63.0,1.0727668937771517,-4.068357910168787,-1.4713182679308718,0.005424320478047921,1.2375645094524814,0.1582429497364661,6.0,21.0
9016,52.0,1.197884043884701,-3.1849300534736336,-3.9727512426387097,0.006229513279447443,1.0955951968427158,0.28500961275114295,7.0,38.0
9017,51.0,1.3983055780873994,-7.753409974868346,-5.370119129425522,0.005811611037941612,1.1950648764022773,0.3840951847349554,7.0,4.0
9018,53.0,1.375634927860393,-7.975097269240981,-6.047585388239669,0.003914653706599399,1.185917022632907,0.33641908034858614,6.0,29.0
9019,60.0,1.3148296535886022,-7.436145415320479,-6.5948033200073475,0.005429014994046143,1.2717823744159145,0.3478419494049301,7.0,31.0
9020,60.0,1.3043731572631576,-4.106988857432331,-4.751950299219999,0.006327820630560501,1.4842650679381124,0.31220599530749327,7.0,24.0
9021,59.0,1.216565781783309,-1.5889758861825358,0.774423850412284,0.0035791001808889635,1.2505664032559796,0.280536777235694,6.0,14.0
9022,54.0,1.132626027587097,-6.615008939194396,-2.4484300197855102,0.0066450562520362095,1.4222488016757904,0.24564624443956137,6.0,3.0
9023,54.0,1.355016790480268,-0.17094862044678852,0.364977777800914,0.005136001071854254,1.0939249996944616,0.25975771297150924,6.0,26.0
9024,62.0,1.584974715189124,-8.650048327544734,-1.0183293312031112,0.006344154879849241,1.0725478796091652,0.3978795910199197,7.0,19.0
9025,55.0,1.2013578624990016,2.0990225488605883,-3.2244721888488237,0.0037766800372675746,1.0000542482650088,0.21826998684106264,6.0,41.0
9026,54.0,1.395602798572193,-6.520609372391091,-5.804096765443098,0.0024230494441611437,1.405761541545454,0.3564448570474341,6.0,24.0
9027,58.0,1.4764821676318052,-0.9106013753455929,-4.921824667027941,0.005685698554498957,1.2253523213252586,0.34854820736311076,6.0,37.0
9028,60.0,1.4932107369925096,-4.946232086484708,-6.7843146603987465,0.0038319170269807547,1.0770113425113137,0.3491678506897602,7.0,42.0
9029,61.0,1.2447447733260966,-6.028314631645617,-0.04061490872604412,0.0034921598219726426,1.4350054402610515,0.2966449120150174,7.0,33.0
9030,61.0,1.441840961579179,-3.9233499823403513,0.5294103895496662,0.0057331500145754,1.4718908322117472,0.3939063142233164,7.0,9.0
9031,55.0,1.4189147413163758,-3.987748652891994,-8.831603087338513,0.004579672437395721,1.2311747851259383,0.37712057162093054,7.0,23.0
9032,62.0,1.2679300247970073,-8.279167847301888,-8.575171863714893,0.003666385943148229,1.1411583696843035,0.25781777300735487,4.0,36.0
9033,57.0,1.2714222219867708,-5.438956579568573,-6.6296115944458744,0.004100552160557017,1.3003480297600432,0.24661103725456646,6.0,37.0
9034,50.0,1.2374279493573634,-1.638491837045127,-3.4469421814060155,0.0036372644993735957,1.1517438180630317,0.3002069629498936,7.0,22.0
9035,56.0,1.4155151332611648,-2.0026396779314726,-3.3791111113028305,0.0050212049180082445,1.0821395001477887,0.3622059895906423,7.0,26.0
9036,55.0,1.4815207641705455,-0.8227334778566684,-0.1707056245651304,0.006449636183815682,1.0833126551494008,0.3916854366137142,5.0,5.0
9037,60.0,1.1128748286851164,-3.5765616109915355,-5.655351303159087,0.005352577790716583,1.0080798795102068,0.2527727069916681,7.0,22.0
9038,61.0,1.0563176608914613,-2.220937933229216,-4.780370765764555,0.005011655353677405,1.149129300475274,0.24542551544635935,7.0,33.0
9039,51.0,1.125802713759722,-2.658721052249175,-7.29791372763202,0.006423243046432364,1.3437921734540952,0.19668862907611867,6.0,28.0
9040,55.0,1.3820566673854544,-8.988828515043524,1.7104850654925947,0.006452403447481566,1.288650553495782,0.33266566986818913,7.0,34.0
9041,58.0,1.3266583298014771,0.3739909174483793,0.39336876405986376,0.00516028733145947,1.0042403548751075,0.25551819730587283,6.0,33.0
9042,57.0,1.213651969094674,-8.049336456990812,0.6207573148535558,0.006654338504353653,1.3285717089560323,0.2169253420169838,6.0,35.0
9043,53.0,1.3894526017423137,-7.780807647035508,-5.534210453052466,0.004960972785695876,1.4719243187361368,0.3608455786256435,7.0,36.0
9044,61.0,1.0376623639943996,-3.5385367637591694,-8.516925219738287,0.00475993401435955,1.4169560625713504,0.1754620345084396,6.0,41.0
9045,57.0,1.1561880655049086,-7.852187025683798,-6.76869910844869,0.004001126548000246,1.0277127171837135,0.2222995709180334,7.0,37.0
9046,46.0,1.1830678138120474,-5.324895457859585,-5.356723776523104,0.004290180023487473,1.032439875020042,0.24498841644643485,7.0,34.0
9047,62.0,1.281524361936047,-4.520636025583818,-0.11817177864369172,0.004690463335501809,1.2960120047566528,0.31901861241753005,5.0,38.0
9048,50.0,1.2656816440071759,-3.6183957970141374,-6.28573181283794,0.004909972433838002,1.1383567117064253,0.32124001738125074,7.0,21.0
9049,56.0,1.175259902433978,-6.091139326955112,-5.403589890894873,0.00579218575807138,1.4284453813356313,0.20773632992674965,6.0,35.0
9050,62.0,1.0841342687964308,-9.149447551947977,-8.722317758526593,0.0037440360578473724,1.1674673418229609,0.20312091189858364,6.0,18.0
9051,62.0,1.3946393447093466,-6.394223994499428,0.10779963298731854,0.0036475438981081187,1.1056546625586237,0.36406129654193514,7.0,13.0
9052,56.0,1.3330855591834967,-2.306219567600864,-6.753146080274656,0.005841747573924826,1.4667481320328193,0.2930164968436196,6.0,36.0
9053,61.0,1.066582252960413,-1.975722244927532,0.6373552838939872,0.004339043351942046,1.1700595921485861,0.1989527804842441,7.0,14.0
9054,62.0,1.0543553571101258,-0.6871630385819414,-3.3045369997534966,0.005840464832919833,1.1285504411687095,0.12756674627073106,4.0,35.0
9055,57.0,1.2613928998888628,-0.8651001862344516,-0.7594225620992852,0.004035309416820761,1.0914708535695234,0.29078823583603325,7.0,39.0
9056,55.0,1.4604442440377594,-3.100044531249151,-4.895154977106537,0.002881811554513468,1.0225317174048574,0.3945695904206719,6.0,38.0
9057,61.0,1.0977241827500783,-8.338259314021023,1.45253667332042,0.0059380599557931285,1.4448508372618294,0.14087245698531434,4.0,28.0
9058,60.0,1.4879146782672827,-1.7071061583470974,1.6266839107407038,0.0034859127737772127,1.1989800077515054,0.38117066231274027,7.0,16.0
9059,55.0,1.4174716577695086,-0.4897835955623894,-2.1453720315035687,0.006099593579908512,1.172353140697286,0.29743087763793646,6.0,34.0
9060,62.0,1.294062376087001,-2.1138533151388406,-6.851304851264466,0.0047496067091980804,1.3381334500935935,0.29888821350428785,6.0,3.0
9061,62.0,1.2344809571573623,-2.1564657983288607,-0.8632563206034973,0.0034984099311584417,1.3362059825461392,0.18566303634876452,6.0,40.0
9062,62.0,1.183465382231194,-2.3183403094126303,-0.4828022244911507,0.005042601621755288,1.36133229654491,0.23764092700513403,6.0,9.0
9063,57.0,1.3657235736076832,-4.971920392341562,-1.3946570318315767,0.004112129187260798,1.0757588416587742,0.38662390312003303,7.0,8.0
