id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,60.0,1.5357972943539737,-5.828529966839644,1.728921422388933,0.0047146166406021785,1.2578393019692629,0.35435594116050917,6.0,37.0
9003,54.0,1.606870902899929,-2.9192321122588223,-9.168263607498844,0.005025606187356113,1.159532283185546,0.39106742219908175,6.0,26.0
9004,48.0,1.317354968779603,-2.4744862903152276,-0.37466404324665725,0.004245937207177931,1.295545213851514,0.2880790157068755,7.0,18.0
9005,59.0,1.2175291701332722,-1.3654286018101276,-2.259671201861203,0.004230551414833405,1.4705499971301645,0.28002768898175945,7.0,38.0
9006,60.0,1.3387284212192843,-3.8036579726780153,-8.416670088314502,0.0062905720998524895,1.4266026428991025,0.3062136955594897,6.0,42.0
9007,57.0,1.3806033595502498,-4.001530773579354,0.620456317565226,0.0051621126538818046,1.2368341711553985,0.3110417353101699,7.0,30.0
9008,59.0,1.2667891982967996,-8.974574784216154,-2.777971849719158,0.00587665557798501,1.0788834372707268,0.2627124687840535,7.0,39.0
9009,51.0,1.4550795536204402,-1.853040110388051,0.868324412867251,0.006206452241824857,1.0715784398454904,0.38331480719907673,7.0,33.0
9010,62.0,1.4151740641127903,-7.478002481150403,-8.825732266647991,0.006411757637110228,1.295909003869921,0.37836851618257206,5.0,0.0
9011,58.0,1.34672256795422,-1.998141430371498,0.25355987332798335,0.003337842899015214,1.3646259954060858,0.2848040266225611,6.0,23.0
9012,62.0,1.0944223161302493,-2.452152418812789,-7.197430329158118,0.004066166262157913,1.0677423200900609,0.16477834877381226,5.0,39.0
9013,58.0,1.3262405750159463,-2.553094229848739,-3.8346353636973367,0.0060994507231796205,1.1538875596448046,0.31695136302532917,6.0,16.0
9014,49.0,1.4503732770798745,-8.925556745670908,-1.5270879805597857,0.0058941141020590945,1.3709044273983988,0.3728583580884378,7.0,23.0
9015,61.0,1.3775249064480106,-0.8140997663233284,-3.4364458171684187,0.005120454182401217,1.3607516570887999,0.31303813412460063,6.0,40.0
9016,55.0,1.5658567187541046,1.7850618160299916,-6.366906969422206,0.004759596929754763,1.0417491215750116,0.3952254059458861,7.0,35.0
9017,57.0,1.093662731442022,-5.769587858647364,-3.5638557066096963,0.006272708823800332,1.022158698415986,0.14810436255728546,5.0,38.0
9018,62.0,1.3152569579513238,-1.8455082820995679,-3.2464206607116433,0.0034517781868715043,1.3599298847593801,0.3296831209462474,7.0,12.0
9019,62.0,1.4621064738342648,-8.678504768741975,-1.3158282470938765,0.004777732545662007,1.3284423686850177,0.36032541658798745,7.0,37.0
9020,60.0,1.1296065387204817,-5.904303152585264,-5.257034663048441,0.004369144231136116,1.4919365761961467,0.24806142868842684,6.0,27.0
9021,54.0,1.154980324819603,-5.875067739111513,-5.1627119549582074,0.004676294720075642,1.2942445592151692,0.2668094307312974,7.0,31.0
9022,57.0,1.2254015700019478,-7.024973302980526,-4.594177759043735,0.003961151677075069,1.1275324514706808,0.20467385801031335,5.0,23.0
9023,49.0,1.1356158993726053,-7.070762193645104,0.3242112634550387,0.005397766727765506,1.018033607145301,0.1479519954180727,6.0,33.0
9024,57.0,1.2958443294522266,-4.751787600142332,-6.469514044953021,0.005123822541791281,1.3492009741494742,0.28015564903018875,6.0,25.0
9025,61.0,1.4459123242942755,2.0837849531235353,-8.700358917576041,0.0055728209680008505,1.3071507964859348,0.37392872036411745,7.0,40.0
9026,58.0,1.248185310947607,-8.064564871145754,1.3937286304370464,0.0022849294399128334,1.4780561927446336,0.2275038221659145,7.0,41.0
9027,62.0,1.294078394429878,-7.922301899954998,-3.1688833365390523,0.004989456128632955,1.3576477612521298,0.329631175266606,5.0,33.0
9028,62.0,1.5183375331618405,-3.2911621327246783,-9.054774436910826,0.00580770280074902,1.2029296196339627,0.38367030005059655,6.0,18.0
9029,57.0,1.4110179873514859,-1.9494399450023678,-1.7845110145823693,0.00413222518156584,1.329449289311953,0.33707978276508244,7.0,27.0
9030,62.0,1.1679304098303576,-8.662941193355561,-1.7017793676468767,0.00511692144203329,1.4009427621293642,0.21329536374510916,7.0,7.0
9031,50.0,1.4527138447622283,-3.5585571950898203,-7.451397156019319,0.004382937505501174,1.3579980110127643,0.3292482892874413,7.0,22.0
9032,59.0,1.2640225089105637,-7.672601487544014,-7.3927522184621415,0.00490296036516086,1.284249205779182,0.2524072413036663,6.0,8.0
9033,60.0,1.2089709344170072,-3.5436015864962833,-4.513195870041523,0.0038940982863358573,1.1210468005414727,0.2625770751877078,7.0,39.0
9034,58.0,1.1413344262532008,-3.633073679721519,-5.252230559931124,0.004523518279452864,1.1532327050640452,0.1634097675011026,7.0,40.0
9035,63.0,1.5167955716893504,-4.4937309288098515,-0.6887110198196023,0.003288588398647063,1.2207960586490523,0.3651585671217479,6.0,40.0
9036,52.0,1.6314105635099456,-8.428022933381824,-4.90369595722934,0.005178506542609994,1.2624904294714439,0.39221524312611433,7.0,30.0
9037,53.0,1.3625397432912414,-4.200248237434077,1.774610324552052,0.0050245104228372525,1.1244616664269964,0.3531702320619061,6.0,4.0
9038,62.0,1.543396985998343,-5.262912730139009,0.09233040434049322,0.00391111892234976,1.3688508661278829,0.38023230306544087,4.0,39.0
9039,51.0,1.471259928969736,-5.568426865458033,0.6877165849473357,0.0064386372841946805,1.0913770077096987,0.3815297963826008,7.0,8.0
9040,60.0,1.3147507645363095,-3.8012370958672124,-3.8972949736630285,0.003214909541017939,1.2930438456177424,0.2958661889952299,7.0,41.0
9041,59.0,1.5068043787599168,-7.807791328652096,-0.6800446377776929,0.003781373524025617,1.3431566088549647,0.3867018765697971,6.0,20.0
9042,52.0,1.2068529597320765,-4.987163214664678,0.48942914383513225,0.00453561868137352,1.3245408827504208,0.23801621274616816,7.0,39.0
9043,49.0,1.3471868614420865,-7.299692911449936,-4.402843479342067,0.0055785054479297255,1.3083391932822055,0.29622195484910807,6.0,38.0
9044,44.0,1.5341942178799466,-4.74088618423877,-5.155682678691454,0.0043260805857803335,1.3814492022328544,0.37368028958892385,7.0,21.0
9045,55.0,1.4004554220163228,-6.903062702910941,-4.02645139516957,0.005304301280859963,1.0378364822738195,0.35390209169902936,6.0,14.0
9046,62.0,1.4062741490432362,0.0027688271499006767,-1.5859648518744955,0.004538038342228457,1.2499982135414847,0.3095384864527725,7.0,14.0
9047,52.0,1.4447720519237732,-5.164488199035223,-7.730326678679049,0.006072318068203457,1.1963250906052738,0.341543291502441,6.0,38.0
9048,58.0,1.3808080924631192,-5.4986673471335985,-1.9384318934601743,0.00530948492459562,1.1072808113008383,0.3419973826175734,6.0,35.0
9049,54.0,1.6010252834755305,-6.802945610850027,1.769227793450906,0.005715487646420757,1.2735161351347164,0.38673865644548117,7.0,23.0
9050,58.0,1.5038467142385739,-8.020986303374546,-2.4013084206443285,0.006528801829884125,1.4161753168274511,0.39442102673252205,7.0,29.0
9051,60.0,1.0956349609491347,-0.17343474456709473,-9.109631473093431,0.003716368010002105,1.1226473519445073,0.1765694523483538,6.0,5.0
9052,49.0,1.4507234982849302,-6.040174767261422,-1.8346504051139922,0.005617767952207626,1.0847091977588357,0.3393210892759917,7.0,41.0
9053,49.0,1.1900301001819602,-4.49736422969574,-6.71472599742411,0.005269472797365614,1.3718700932035925,0.24847415451972926,7.0,35.0
9054,60.0,1.0289134685378496,-1.1254040575577253,-0.238835447715682,0.0043770518835538775,1.241702612984588,0.14168015543861665,6.0,21.0
9055,59.0,1.3111230507072256,-6.074413798267367,2.021454378844566,0.004535427060265184,1.1108229557726017,0.3219596680017147,7.0,41.0
9056,55.0,1.3688213053458127,-7.318845718431993,-3.6128079815196728,0.005427118928026028,1.4080881960409362,0.3203273406079485,5.0,40.0
9057,52.0,1.3663583825903718,-6.281362719254257,-6.988509262454287,0.003891393292395786,1.114583771978256,0.35346552533749304,7.0,0.0
9058,51.0,1.1156981402761281,-4.4670817935888065,-2.2583368504505836,0.005519956157768577,1.1217655269320823,0.15779311330647652,6.0,25.0
