id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,62.0,1.361481030843288,-8.253128914861065,-0.8518083584023463,0.0040836649775202885,1.1349552324934673,0.33745651381940633,7.0,8.0
9003,58.0,1.3280610703253082,-1.9968586725219941,-3.0309540038056584,0.004220223761365645,1.3488353968940567,0.3234438248855728,6.0,39.0
9004,58.0,1.2044106777285748,-0.9655300843531126,-0.2633514217024504,0.004382635044839798,1.0291920514935025,0.1783229718970913,6.0,38.0
9005,54.0,1.125215376285088,0.8566881201948184,-0.7813829305869802,0.003910150834046469,1.117454990072862,0.17013105633858305,6.0,37.0
9006,56.0,1.4844574138117315,-4.723453391261942,-3.164741290218686,0.004129834533942905,1.2199417099545162,0.30280028859076724,6.0,34.0
9007,62.0,1.199310820097203,0.7148280901230524,1.3603796438650484,0.005333837703266897,1.465279196679579,0.24094431013116838,7.0,6.0
9008,57.0,1.3506113445794952,-1.991394511019413,-2.741818693451456,0.004701670570975619,1.1198416875149382,0.3111503805054797,5.0,29.0
9009,50.0,1.1193984241762551,-7.448495673090062,-9.040863963049516,0.0036615623800720586,1.4184324018674896,0.22596562948090676,7.0,10.0
9010,58.0,1.2839813591720441,-5.788097435946792,-8.368242350326003,0.003825861309168858,1.1590910491315147,0.2637709467232607,5.0,41.0
9011,49.0,1.5434804342171082,-0.8278101493662882,-2.7735195005175046,0.00445731860160825,1.253311147439242,0.36228472287994923,6.0,39.0
9012,47.0,1.4286299359103916,-3.0407666796691237,-6.75157701729842,0.0035568644021987533,1.303775293636289,0.35280242803581197,7.0,27.0
9013,60.0,1.1426430813667188,-6.873564181678635,-4.522510132504439,0.00342443970993329,1.364534760927692,0.2097608013384151,7.0,42.0
9014,59.0,1.4118602108635472,-1.0733699626642876,-5.293294876261891,0.003707773598506674,1.0594222679356975,0.36448693328306303,7.0,21.0
9015,52.0,1.420959319491261,-0.3589769082564732,0.6170845058682839,0.0039463364371000315,1.349296351778836,0.34538325774006556,6.0,22.0
9016,61.0,1.48366128095879,0.9377312627747152,-7.563141195525863,0.004041415847050652,1.1831346020062017,0.3774163710046625,7.0,14.0
9017,54.0,1.0957140436701593,-1.3084185542215527,-3.1469341749942767,0.004707384558628024,1.0716866933258387,0.19033875506920822,7.0,41.0
9018,61.0,1.4768395239105043,-6.001656087187137,-3.095889759414412,0.003373071259610971,1.2290738420626501,0.3103683349627225,5.0,38.0
9019,52.0,1.3042125828226636,1.698426101711031,-3.6085101312365833,0.006792320370837388,1.0060590171542683,0.2938363014691404,6.0,16.0
9020,56.0,1.5145771484410844,0.5773069699630761,-4.74811682846268,0.003669433573998637,1.1703268606589943,0.3641354637931122,7.0,39.0
9021,61.0,1.5245415592607476,-1.4552770134119684,1.2915420285015267,0.0042848752526665765,1.021149068273064,0.36263274777212123,6.0,28.0
