id,Delta,R0,i0_q,r0_q,start_week_delta,t_alpha_delta
9002,31.0,1.536786561530532,0.0015387932086023321,0.3816385768684715,2.0,34.0
9003,40.0,2.026036517856172,0.003531127886795116,0.34211355916247077,6.0,39.0
9004,25.0,1.1831877664170392,0.004229456760710461,0.12072479568274613,3.0,29.0
9005,24.0,1.6402570406000325,0.002389484702375318,0.22042807378541848,5.0,38.0
9006,33.0,1.1406340660264913,0.0036141667115412255,0.34510763403271144,0.0,37.0
9007,32.0,1.292435678305667,0.005137084749324192,0.10653760264902197,5.0,36.0
9008,29.0,1.154507998257168,0.004110123744894383,0.2461663453439107,2.0,23.0
9009,31.0,1.2394123879523362,0.0022649290432007817,0.14808467503149048,3.0,30.0
9010,35.0,1.3562638093892614,0.0024846110770577693,0.24974142439914185,3.0,28.0
9011,25.0,1.3004577191070998,0.0017031997391734042,0.27147108004386244,2.0,41.0
9012,28.0,1.5928844772778563,0.002359125913708417,0.24287103116983247,4.0,38.0
9013,27.0,1.1714012013241875,0.002409423107474649,0.2131678890315238,2.0,40.0
9014,32.0,1.2521514742076483,0.004917887428416854,0.13991187979345895,4.0,22.0
9015,35.0,1.1068363617167052,0.00207668373141615,0.18490548896902378,2.0,34.0
9016,21.0,1.4375798933048762,0.002457294184765036,0.20540851465184268,4.0,37.0
9017,30.0,1.183158417706296,0.005960323179917372,0.37087137375728363,0.0,22.0
9018,31.0,1.722224308661527,0.0032459948606546525,0.3406208951080668,4.0,24.0
9019,37.0,1.2007735456583928,0.0032591545041535776,0.12262862244633763,3.0,30.0
9020,30.0,1.2831140362320588,0.0027929178668312424,0.16936148723736708,3.0,32.0
9021,23.0,1.1582622867116006,0.0018768846737275253,0.19583140688498277,2.0,35.0
9022,28.0,1.4801426081889941,0.003982971512676137,0.29478717737959803,3.0,33.0
9023,18.0,1.2959133441814494,0.0024388876522819162,0.3062203671286412,2.0,32.0
9024,28.0,1.416224710516713,0.003214491069600473,0.21951130419563694,4.0,25.0
9025,26.0,1.3533936518027454,0.001686761550102478,0.1657366352674613,3.0,42.0
9026,28.0,1.05356083170302,0.004281490424775185,0.2671329228975689,1.0,27.0
9027,36.0,1.4988871628768594,0.0022815652788995538,0.18909645766021407,5.0,38.0
9028,37.0,1.1937182243148377,0.003316928254563416,0.3628902194900114,0.0,28.0
9029,29.0,1.1438730013799112,0.0034951636652896245,0.33717342055093513,0.0,37.0
9030,32.0,1.4465435146863073,0.0024876351067855264,0.27389485978789463,3.0,35.0
9031,24.0,1.1815796771334424,0.0027911669050912713,0.357212494988075,0.0,35.0
9032,28.0,1.0738947050342398,0.0016228052905825005,0.11520956523040846,2.0,40.0
9033,29.0,1.6345480602558415,0.0023396804999216182,0.3408992151236233,3.0,36.0
9034,23.0,1.1344594197507252,0.005746086026424237,0.35343544917736447,0.0,12.0
9035,28.0,1.100798352115745,0.002070868958144126,0.2907101595351821,1.0,40.0
9036,25.0,1.2224007916303536,0.0023618579181290027,0.1149515273517775,3.0,34.0
9037,38.0,1.7365167946723454,0.0018901961597152343,0.29635673503395266,5.0,34.0
9038,23.0,1.101754480169922,0.005477903411110669,0.35054794734196704,0.0,18.0
9039,22.0,1.3799725975559172,0.003138067972160622,0.22846479778488976,3.0,36.0
9040,22.0,1.5674704285799475,0.0019459183668162421,0.29425654064796714,3.0,34.0
9041,40.0,1.4548435409370453,0.003686815427558729,0.18640776963469555,5.0,37.0
9042,23.0,1.26381937945002,0.002640612659933656,0.19839661834451888,3.0,25.0
9043,34.0,1.81905660315469,0.0021439272237518767,0.3638875780902369,4.0,40.0
9044,17.0,1.5049474680834647,0.002114222895150965,0.2140496248182838,4.0,38.0
9045,30.0,1.4182835210771287,0.0014585088708836717,0.36366589924567283,2.0,39.0
9046,27.0,1.0824851651357021,0.0043813777233759794,0.29105080718866416,0.0,32.0
9047,30.0,1.0564612030788771,0.0031612871370073864,0.22424515575328766,1.0,37.0
9048,28.0,1.1501411135622814,0.002333370549165757,0.3258182556860129,1.0,32.0
9049,28.0,1.0637900173826,0.0037660750317158654,0.2608858202782977,0.0,42.0
9050,22.0,1.589895844593406,0.002574438989761726,0.23042010601112653,5.0,40.0
9051,21.0,1.2277694687829048,0.0034211756258512175,0.2801194579963653,2.0,26.0
9052,35.0,1.4598964906984762,0.002393493955935959,0.18070443422639199,5.0,35.0
9053,28.0,1.6841894866191873,0.001996072302171956,0.31100200927800764,5.0,34.0
9054,30.0,1.7115134462532995,0.002394504139132241,0.29597727670358087,4.0,41.0
9055,23.0,1.0606476829611355,0.0032734444934203813,0.1619183617408165,2.0,26.0
9056,27.0,1.4678704140398038,0.0024212157320478134,0.38210210178526705,2.0,38.0
9057,19.0,1.4113117408621254,0.0014559088663751996,0.3652045958441467,2.0,30.0
9058,32.0,1.5922497763632621,0.0021159300631348596,0.347353394307042,3.0,37.0
9059,30.0,1.8297355575948464,0.0012370470724318873,0.34822865614331433,4.0,39.0
9060,32.0,1.1079807162129942,0.002313260062563312,0.3281157013402386,1.0,15.0
9061,24.0,1.6129718220096805,0.001856803510032813,0.3023628966639894,4.0,24.0
9062,37.0,1.124419203606915,0.0030431962569934332,0.3260644280525295,1.0,24.0
9063,22.0,1.2455177239541886,0.002167795714315629,0.3490319202108624,1.0,31.0
9064,38.0,1.2477368920654244,0.002768671760578654,0.3204321257999859,2.0,22.0
9065,17.0,1.4716757023646554,0.003165345527276134,0.2956452045364376,3.0,22.0
9066,35.0,1.0776182212134318,0.004928371762818575,0.289195282367124,0.0,40.0
9067,38.0,1.4367435085183309,0.00375009059700023,0.24005038170663293,4.0,34.0
9068,28.0,1.2194596644905629,0.0019199963426511347,0.33492837548033133,0.0,39.0
9069,31.0,1.1570671736086964,0.002087609811209015,0.2808371534361155,1.0,34.0
9070,37.0,1.6890513309613921,0.0016189469519052172,0.353727172847777,4.0,28.0
9071,23.0,1.0378037014492345,0.003366814160395674,0.24026564336076095,1.0,35.0
9072,30.0,1.2578582120647197,0.003959292113602093,0.33616322620966693,2.0,17.0
9073,28.0,1.873494941974465,0.002143274422161314,0.2866652801452992,6.0,38.0
9074,27.0,1.6063373950489508,0.002370063210598189,0.30933431617713253,3.0,41.0
9075,28.0,1.4482446391448591,0.003212151432975271,0.3907506927558816,2.0,24.0
9076,36.0,1.7287017738881698,0.0032901507448830185,0.29889735119579236,5.0,29.0
9077,31.0,1.1355231359220053,0.0032833264049760493,0.31454354667459716,0.0,35.0
9078,22.0,1.0822377001008139,0.003365394815483054,0.3017609485968528,1.0,37.0
9079,23.0,1.3419249498911636,0.0021791953819505373,0.2070049941769505,3.0,40.0
