id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,32.0,1.2990846167966776,-2.3102491107751537,-5.36739231493094,0.00287999895353983,1.2383163090823104,0.3828151513907964,0.0,30.0
9003,26.0,1.2597026322472091,-6.480213601816697,-3.1372026007630156,0.0019481787537984339,1.2392499863973245,0.3710557447201463,1.0,27.0
9004,24.0,1.7335775223664254,-6.229985599628611,1.3695462961514466,0.0012696682153847565,1.435342892133138,0.3528312794875892,3.0,23.0
9005,29.0,1.5992894876291046,-5.6791151032779315,-4.80858892352335,0.0025834068838268397,1.0897039977828917,0.2739542718190708,4.0,41.0
9006,24.0,1.18702754108374,-1.2141723376066773,-8.284163623578001,0.004756397984355815,1.158622352506366,0.26834924025308177,2.0,19.0
9007,19.0,1.207647909975716,-7.808708927852008,-7.789431273748149,0.0044663905911608666,1.0057785556425984,0.37640672369019,0.0,14.0
9008,33.0,1.2342393251838237,-6.541695933684552,-0.3870837210168334,0.0017152811667104516,1.017878572091017,0.3803604513215605,1.0,40.0
9009,15.0,1.3128569141213402,-1.0324160281043717,0.16686970190217765,0.002689399576988057,1.3123953710724685,0.3053758565989871,2.0,29.0
9010,37.0,1.562954478238235,-5.578642376238622,-5.481252031963415,0.002644460089938111,1.4538954889918874,0.33445118034903837,3.0,31.0
9011,36.0,1.4144970738778857,-6.272476490507645,-2.8104432250684384,0.002998009077921647,1.3320414186758567,0.19672849202088416,4.0,29.0
9012,28.0,1.195987253845875,-2.3278362650296494,1.268254813447625,0.0019608771572238986,1.0964203204470335,0.25850098211914746,2.0,30.0
9013,25.0,1.7594282776327066,-5.6121605765027995,0.828614754986701,0.0018890203790321034,1.478952767125143,0.24760270496523887,5.0,36.0
9014,18.0,1.0864774968195712,-7.865979444013665,-1.6125369036401194,0.0030337169352962247,1.1441982966501811,0.20145419936775982,2.0,21.0
9015,33.0,1.236988515010481,-8.242316801507751,-5.75163332674042,0.002604144457315098,1.292211103858106,0.3838215890354341,1.0,29.0
9016,16.0,1.2250402340516413,-2.6069844608719004,-3.8316643619202058,0.003668381183961326,1.0322923750632307,0.31315365625018443,2.0,9.0
9017,28.0,1.8847696066385642,-4.205239475193402,-0.28503823921091276,0.003979779177948543,1.4602952302476406,0.3132165351913639,6.0,39.0
9018,25.0,1.1790398816137704,1.513529211899494,-3.4958984949549854,0.0033147254986791766,1.0419994279414286,0.29934858722187646,2.0,19.0
9019,33.0,1.3816076510010282,0.7444931364887923,-1.3777696525721668,0.003541735392864225,1.1438959101836421,0.39024700377389165,2.0,19.0
9020,34.0,1.907717236568689,-4.788018221109775,0.4718954129422439,0.0018143387302644236,1.3438912110955727,0.3434116996952946,5.0,42.0
9021,35.0,1.4635249022408177,-8.637635556906456,-4.3148732003745,0.001930230425062901,1.1576640389883825,0.28721652558140875,3.0,25.0
9022,25.0,1.9943382373123433,-7.39730843494835,-7.206208722555251,0.0032796638846915157,1.1446913260482166,0.335376253533887,6.0,41.0
9023,26.0,1.2664749326089868,-5.5109326464833215,-3.8765618009456144,0.0017851570913988378,1.3098232040567852,0.2877279264407306,2.0,40.0
9024,24.0,1.6207667334741551,-7.397952723139094,-7.49616473457197,0.003552952433238894,1.150688215548364,0.2504340466346211,5.0,36.0
9025,35.0,1.0168609024458648,-4.02943350463877,-3.194621830859176,0.004599251110663197,1.2029975541794358,0.2805857387123269,1.0,25.0
9026,36.0,1.2464713797730669,-5.437017554423822,0.6965182482768459,0.002274952978125773,1.2299813638813326,0.300276425703014,2.0,37.0
9027,26.0,1.7986902158423195,-2.267194384917709,-4.902868576675567,0.003308148650798905,1.1024745034909778,0.27683283878721604,5.0,34.0
9028,34.0,1.6177021371995188,-7.554069235659602,-0.6463250430192393,0.002559371487083478,1.3176773629281004,0.31753543313319715,3.0,35.0
9029,30.0,1.9113810386417636,1.4359072236302342,-1.3539030555454605,0.0025626289415293492,1.0819449451648393,0.3707181350160869,5.0,29.0
9030,27.0,1.458929423795619,-4.337708292312657,-3.6537936003336338,0.0031168913542494706,1.1420069775594177,0.2891132222836621,3.0,35.0
9031,38.0,1.099768172419963,-1.1156773702150622,-0.8739082898986217,0.005064196842730873,1.1583506905383836,0.3211337482168414,1.0,23.0
9032,26.0,1.68541798493683,-7.312270910246635,1.0060832297830826,0.0023902764212954796,1.1060231403712624,0.3899494967471692,3.0,20.0
9033,33.0,1.373179345566863,-5.681518889114559,-6.418481063248088,0.0019843876854232076,1.2688941520155552,0.3761897044186698,2.0,29.0
9034,39.0,1.8783878062317958,-1.9539783282970111,1.6398116279250545,0.004607761175138394,1.442504309621343,0.33299312755133664,6.0,36.0
