id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,24.0,1.0601113547897463,-2.7849744222360404,2.0103866835805584,0.0030012154488614565,1.2270165350481632,0.2754413512229696,0.0,35.0
9003,29.0,1.1178965830552305,-5.779800629378579,-7.3555998154304,0.0034581919480167265,1.403515254722749,0.3108278109575124,0.0,24.0
9004,39.0,1.389000100924887,-3.4901043420405813,1.6262439990742714,0.0028432580277488843,1.4120063044481792,0.25375678064788476,3.0,20.0
9005,32.0,1.3467475748233027,-6.169396058633829,1.0105228500207581,0.003955782130013214,1.1332147925981346,0.1309246163403428,5.0,39.0
9006,26.0,1.7532503629675644,-6.800332593356097,-2.795139153886457,0.002545474976317237,1.3244253152362295,0.34008352103124095,4.0,40.0
9007,41.0,1.074501235681165,-6.2021411249140295,-5.74925890350151,0.0036575430899917,1.2752803713355225,0.3145642730182212,0.0,23.0
9008,35.0,1.3432209965562958,0.9703508975393045,-1.1798096359810661,0.004874348188878877,1.0094349964541944,0.19658932538514826,4.0,30.0
9009,24.0,1.4552422442901412,-8.623041915021195,-4.922254046700709,0.0013900370434232546,1.391575527677336,0.36228635551945665,2.0,41.0
9010,23.0,1.1290773136145877,0.08312795735164213,-1.1046541145598174,0.002812569732264399,1.2719776578497122,0.32899080549510895,1.0,29.0
9011,29.0,1.1209640861870003,-1.478688819881109,-0.205174216322485,0.003191750478362937,1.433143158324914,0.3404435736486014,1.0,21.0
9012,36.0,1.1185196198313323,-8.995447984135987,-7.030302310748235,0.002673523473185509,1.4809313707249903,0.31315741984496376,1.0,34.0
9013,33.0,1.703299748185162,-3.084680953882085,0.6643808382120611,0.002423454994674256,1.3486623036758547,0.36128709891215904,4.0,31.0
9014,31.0,1.332648487883321,-4.4776164693678755,-2.117362293614952,0.0031533746944486683,1.3152739244170613,0.13251179794953805,4.0,30.0
9015,29.0,1.2580772325788088,1.050848239598199,1.375001262416908,0.002284499676748749,1.2960501515568321,0.35779456219917743,1.0,37.0
9016,22.0,1.8892512542126314,-5.506734200931373,-3.314161389464638,0.0026918024567465946,1.2330807666139167,0.3131535731791128,6.0,42.0
9017,30.0,1.0377628326960386,-5.381461611918924,-6.107011033998075,0.003383753888530072,1.1611440312587644,0.3023658140588368,1.0,16.0
9018,25.0,1.358295626071141,-8.417506637275679,-0.22875676206286233,0.0028750250561856957,1.018437258866223,0.34024211415153083,2.0,37.0
9019,31.0,1.3198497940610425,-0.13199251130785805,-5.517485148755791,0.0039717840566690825,1.1483472595045596,0.3669912418616986,2.0,9.0
9020,31.0,1.1370720676042674,-2.1587175246622072,-4.47771501504147,0.004107230658557685,1.1613297152520543,0.302668342429054,1.0,35.0
9021,33.0,1.3669017201558673,-0.7801238991662132,1.9144358455411217,0.004928409795438348,1.305912288537244,0.11899920918588743,5.0,38.0
9022,30.0,1.6502123135385796,-6.856872997375838,1.0268088691333408,0.0016160282508056254,1.0767505178630281,0.35264500981292546,3.0,37.0
9023,21.0,1.098659201767313,-2.3744706764837202,-0.231101791126348,0.00320396245459354,1.1194391471599638,0.31361850723015416,1.0,24.0
9024,34.0,1.2624168053363858,-5.742657626564757,-5.198929928707866,0.003400556529671692,1.164177056596741,0.16581338006799984,3.0,23.0
9025,32.0,1.3290533532583124,-2.957788797144696,-7.057439701037921,0.0020942822496539206,1.4051943373797087,0.28515680114444125,2.0,35.0
9026,33.0,1.6727994498209227,-5.8583860433412696,-3.031458818603186,0.0028587001236565057,1.3093835725842171,0.22591963621443995,5.0,38.0
9027,25.0,1.76142002510609,-1.6309463817491445,-1.6419990790918297,0.0024306732097147247,1.0717140585897504,0.3491836771431753,4.0,23.0
9028,27.0,1.3078256804394066,-2.7608277914100703,-1.7727024729668193,0.0033821301786430167,1.1117328034396723,0.33978074696542665,2.0,24.0
9029,35.0,1.3846585453224078,-6.796469810175058,-7.377922649764966,0.002754688594144488,1.1671170228617351,0.15132400642944088,5.0,37.0
9030,27.0,1.7735494436197958,-5.0078546259423105,-6.601591012659328,0.0021480555091498146,1.1088031861566836,0.27227226044797853,5.0,41.0
9031,15.0,1.1949577479933844,-5.480917278099124,-0.29941260800701675,0.002183726373428692,1.2162820039689797,0.2444766949056456,2.0,34.0
9032,24.0,1.1037406257017297,-5.662834552620792,-1.3764995123734156,0.004063094037885894,1.368909470247056,0.2973706269627271,1.0,36.0
