id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,37.0,1.2534990347400055,-8.352628721691408,0.5470808052333034,0.002129670076354717,1.4215044596552433,0.3620518920339314,1.0,37.0
9003,37.0,1.2181053476209591,0.31763607992918297,-4.490017272181554,0.002873294068507937,1.1854546960732888,0.3086151244990958,2.0,20.0
9004,29.0,1.3370131624150756,-4.568168111461875,-9.033568712913308,0.0036852617598755696,1.0755034093567593,0.363673803455214,2.0,19.0
9005,34.0,1.1311645133002457,-8.255672380219808,-3.774570072377534,0.0031212258665626945,1.4607216735459898,0.24717515005461577,2.0,35.0
9006,32.0,1.349660063344658,-4.1339229237727,0.8154178736483537,0.00507762162609395,1.1887421537770864,0.12795444613697785,5.0,36.0
9007,42.0,1.824829688936478,-7.665591880119874,-7.368863400548333,0.0023006363228526673,1.181102192607161,0.3354341660095046,5.0,32.0
9008,26.0,1.1334249099159663,1.3768721543097715,-1.7918441667507032,0.001962972310829012,1.4722810144035514,0.30265820392091713,0.0,41.0
9009,26.0,1.3466939374100386,-4.023039925029121,-0.9750358295969261,0.003438709743237341,1.4744180752709017,0.3640383691483784,2.0,24.0
9010,26.0,1.0985898890526296,-1.851780886898002,-5.770439193741154,0.0035716059496830764,1.3044750421137046,0.312178604421843,0.0,23.0
9011,26.0,1.1729332068237621,-3.9904050212728563,0.6038821552192613,0.0016381094354514032,1.0675841726241042,0.30267757850534666,0.0,40.0
9012,33.0,1.7747959699796942,-1.1884180238754019,-0.33012661400823073,0.0022044852347461504,1.4885067944992547,0.3598929802943605,4.0,24.0
9013,24.0,1.7002333726424963,0.4710294323405738,-0.19803441293203705,0.003205765659014629,1.1184814024392031,0.2553930627551162,5.0,37.0
9014,29.0,1.33105671756724,-8.00622956370936,-8.978447780463119,0.0024376094444827612,1.1884665751358718,0.2219745826302164,3.0,22.0
9015,31.0,1.1131758920774597,-9.045036111750662,-0.9556357972501889,0.003389097101009391,1.1286633413919107,0.3338688284972015,1.0,30.0
9016,17.0,1.1661505063924589,-3.890679284473108,-9.017804351154311,0.0031226011124208374,1.1477332356076455,0.3126946857397381,0.0,30.0
9017,42.0,1.1190402584944619,-0.7383351728081924,-6.309216853371091,0.0027016039898323037,1.107356153860583,0.25176790950889116,2.0,23.0
9018,33.0,1.2228123424899173,2.1940476223215706,-3.1329863986344395,0.0026156508546299508,1.0558069521914015,0.32365026054155,1.0,38.0
