id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,18.0,1.0369644731913101,-5.651763139399886,-0.5346064968636908,0.0037593524577489695,1.0259909643304292,0.2644285719413167,1.0,31.0
9003,33.0,1.3776106452636105,-6.968236594893899,1.896520681924847,0.002229965910376213,1.3535631614908048,0.2216734209042182,3.0,38.0
9004,22.0,1.1547900107002549,-5.632910514770575,0.07005102237185856,0.003690630937761384,1.116035629181204,0.3169000470275878,0.0,25.0
9005,38.0,1.0923721713451453,-7.562801666915633,-6.585724955504842,0.0038853255864884054,1.400528822041829,0.3112576252736687,0.0,34.0
9006,33.0,1.0455244060433981,-3.678608369339609,-0.6748164807305124,0.003970411443431765,1.2434009644121629,0.25214331491103265,0.0,34.0
9007,20.0,1.741708736172063,1.4659769781275311,-4.779406457635926,0.0012467438646423371,1.08515591377221,0.32955187199129377,3.0,42.0
9008,32.0,1.3287388517902818,-2.5475059690218824,-5.648139776236541,0.0017583606371746544,1.0979949808712761,0.3029345901442311,2.0,39.0
9009,31.0,1.1300763674383107,0.6366621762749194,-3.252688063582853,0.0022971502130022838,1.032215008573162,0.3136942726723354,0.0,34.0
9010,32.0,1.3448792184389895,-6.2896651782229185,-0.5584520117666147,0.003416395641675139,1.3106651213515352,0.2651428102605025,3.0,18.0
9011,37.0,1.0437499957330822,-5.336657885715335,-1.6974346461624286,0.004659759133972678,1.2458034300801812,0.29979782391673215,0.0,27.0
9012,33.0,1.9340392982483623,1.7873705419897878,-8.405916828606852,0.0021621413736232793,1.1686557342924107,0.38935337676100756,4.0,31.0
9013,26.0,1.2220155296642283,0.7950509019851355,-3.1616349903799423,0.0026413192245955622,1.0905754305665705,0.1388365361273875,3.0,32.0
9014,26.0,1.1449058250312347,-6.463715778669321,1.0909505886006223,0.004203004923606637,1.4482922476483053,0.2702340581294977,2.0,20.0
9015,38.0,1.1545181590926077,-0.35541810446684496,-5.146374112181889,0.0033963639536173924,1.120471447790639,0.1357072166952988,3.0,28.0
9016,18.0,1.3210445279376952,1.5305738613301074,-7.40174710252057,0.0018858536556579089,1.47189794234542,0.32670262369004377,2.0,34.0
9017,24.0,1.6454464207454693,0.3711540970560955,-7.349478117404112,0.002430986384219865,1.1127961054128548,0.3420891951708258,3.0,30.0
9018,24.0,1.1071573832197161,-5.596004574034112,-1.7983991469571476,0.002734440930579712,1.307988965471424,0.31109031528888376,1.0,26.0
9019,31.0,1.12074548228816,-0.16928305402969124,0.37366327604076277,0.0028268333127849476,1.263919034521739,0.23473758236802278,2.0,31.0
9020,39.0,1.2804052795998448,-5.738462425897337,2.004202724000857,0.0023003591303790397,1.1652031301685633,0.2965287516833253,2.0,41.0
9021,29.0,1.2377723280505681,-4.456454946531607,-1.1909208714437565,0.00442390259373108,1.124925099116133,0.375608140339368,1.0,26.0
9022,29.0,1.1055375473511555,-4.048358428820711,-4.081200461057031,0.00343481206005089,1.3479081600968967,0.17270839135385002,2.0,39.0
9023,25.0,1.0915135814159187,-6.895059838229004,-1.5626819877112341,0.0025833720583487156,1.1172780722651963,0.2783142163620257,0.0,33.0
9024,20.0,1.2099218096701565,1.7182291776638259,1.0137602500224356,0.0017083710239759347,1.4403904809046406,0.22894884175782618,2.0,39.0
9025,28.0,1.5748443610552643,-2.3750740654590157,-4.9692178605087065,0.004237390735507908,1.1774663081710144,0.24978321396981668,5.0,33.0
9026,27.0,1.8248075307112592,-0.5852815030683456,0.9934046702173391,0.002411967059262073,1.222929176564343,0.2929183081843002,5.0,37.0
9027,31.0,1.2614114273224661,-3.1940932810620186,-1.1508675086323275,0.0024503624311842673,1.1105003607585564,0.28134127264939063,2.0,41.0
9028,39.0,1.445113807868911,-7.896876176107576,-2.8973727604449744,0.0031275245239319772,1.3472616833943454,0.16839125394584126,5.0,32.0
9029,33.0,1.1946677293745736,-1.7455079325091911,-6.52669561323795,0.0031757936441447494,1.094084264630428,0.2969321789691976,2.0,18.0
9030,24.0,1.232868867776211,-1.9936456576410808,1.4729968951657018,0.0022852568701421227,1.2222891287261377,0.33681906111119836,1.0,36.0
9031,30.0,2.0243664896305003,-8.389062502996262,-0.6720020046180598,0.003161454358857531,1.0251231184925,0.37924951663473266,5.0,33.0
9032,32.0,1.5166502963149289,-1.8595103243647493,2.0408632876042105,0.0028070519327801345,1.0366825089256904,0.3200939535266582,3.0,30.0
9033,23.0,1.056540607359528,-2.2633440023267886,-2.806427703737109,0.003832072816029653,1.2719834655587077,0.2835508762654795,0.0,39.0
9034,19.0,1.6586324636628147,0.9724538808439814,-7.581811263846229,0.003243791652590653,1.143896404120758,0.2673547237658044,5.0,29.0
9035,26.0,1.5682032754271016,-4.720292479403602,-2.6688762997451256,0.003045205895587126,1.398138121752881,0.3134383156022956,3.0,30.0
9036,25.0,1.2101526650296366,-8.210564088936815,0.9047051683156314,0.002617150269186711,1.423129513887878,0.36721254547900656,0.0,37.0
9037,31.0,1.7544061393694295,0.0010359572941545103,-7.235968199592725,0.0021668365295798566,1.2264928851831063,0.3709923289247167,3.0,31.0
9038,36.0,1.0654632859220639,-3.226534607956979,-4.795668809760195,0.00481929335166028,1.2115026364951351,0.2831906087569453,1.0,35.0
9039,34.0,1.2634161389090517,-2.805551200521844,-2.6573967087050825,0.0034363932875332444,1.3124859094674997,0.13309413772139375,4.0,37.0
9040,34.0,1.0814731838369909,-7.14076617694108,0.5103725598413016,0.002822178728145795,1.4127160717829155,0.29948205087999186,1.0,27.0
9041,27.0,1.0873855838753885,-4.551416149843922,-1.044595416509348,0.0024294631822117845,1.326146505094808,0.2902547502311285,1.0,40.0
9042,18.0,1.2779245611500873,-3.7088473847410186,-4.012763584695105,0.0027310420892610633,1.150529166633452,0.16573160282569427,3.0,35.0
9043,33.0,1.1064902577321443,1.1334554519983007,-7.503649918979052,0.002810405021975617,1.2695541883684465,0.285456074890954,1.0,40.0
9044,25.0,1.9101992768956277,-1.1032512236265308,2.039594533175248,0.004216516487574524,1.1301950425333769,0.31536189651735314,6.0,36.0
9045,19.0,1.0818011699428245,-3.45948632024894,0.5120050081236012,0.004161058655182738,1.2599162146901761,0.2684642802496859,0.0,32.0
9046,34.0,1.1949394600813878,-5.00464155419201,-0.1494172128618605,0.0022420196764333196,1.3453412411838521,0.32438679260561565,0.0,31.0
9047,28.0,1.2406267485571068,-8.14622237293366,-4.116079422724902,0.003955457948228993,1.3822641730402316,0.39018297431764415,0.0,25.0
9048,28.0,1.3286327638860407,-3.885028236728914,-5.341014248445876,0.0015426769759732542,1.2235999909925348,0.37551663398085255,1.0,39.0
9049,26.0,1.5933780511452122,-7.608547719445269,-1.6002661534358271,0.004965498805033088,1.3436068987057992,0.22881835427588465,6.0,36.0
9050,28.0,1.1314532218796851,-8.519707902800924,-0.016997211475637014,0.003148658309015434,1.332295423698555,0.3395186873560659,0.0,32.0
9051,24.0,1.479446824174191,-0.5916244430432895,-1.0837498987778929,0.0019618601889558173,1.0676697801234354,0.384213786927087,2.0,40.0
9052,30.0,1.1389531809166211,-7.614798598030626,0.9261004568318102,0.0019135495502342814,1.471669276459568,0.20409692669570942,2.0,38.0
9053,32.0,1.6416039338684174,-6.884319159108393,-3.706841186726205,0.00239558030332677,1.3993752680887148,0.344309519803046,3.0,21.0
9054,32.0,1.5328676890578408,-7.225246451084199,-8.54137418353572,0.002338822227551566,1.1094030357094138,0.2687484941232642,4.0,41.0
9055,20.0,1.1789669118109238,-1.919817486030806,-7.125610115081447,0.0015914002228049767,1.380165774300053,0.3009062096132324,1.0,37.0
9056,20.0,1.125688891878648,-0.7346717629909263,-4.120246967403087,0.005880778115697333,1.1957934184976042,0.3421769726727682,0.0,26.0
9057,36.0,1.1530075049683537,0.6564391952679716,-8.546679454563902,0.003923093988631252,1.1703031125093246,0.3469980375379683,0.0,35.0
9058,26.0,1.5417406385046992,-7.426541788602087,-2.479118730041377,0.003822301955633645,1.3528230367416558,0.27034122484986267,4.0,31.0
9059,27.0,1.5514850475671529,-8.284560137616987,-7.2568339690136785,0.0019563943155569124,1.1474767468754463,0.39479542030359555,2.0,38.0
9060,22.0,2.109355504513241,-5.102549488271604,-0.1673466697277185,0.0026429563677138283,1.197024679205511,0.35841128906509845,6.0,40.0
9061,29.0,1.779134528606109,1.5720285693416172,-5.4885584324406445,0.0034428276782678038,1.2715366177030487,0.31610208215321933,5.0,34.0
9062,30.0,1.0703592388841443,-3.840868069608173,-3.590341399590796,0.005094367569035049,1.254091684023563,0.2857853761143729,1.0,31.0
9063,27.0,1.1175527430542433,1.7552854118050858,-3.640925424860625,0.0030851641209355915,1.2771655141827358,0.3131725369998703,1.0,28.0
9064,24.0,1.6869031414394573,-6.58855610862414,2.2858619221620757,0.003849951796675774,1.363341713672526,0.2162829663297138,6.0,38.0
9065,26.0,1.2657044857135307,-6.222831153129193,-8.871330692883289,0.003316076010133647,1.0811904979448208,0.37724583121129235,0.0,21.0
9066,25.0,1.3929999470450696,-4.13133926643454,-1.328604144230523,0.0030424087453131197,1.0855747790801302,0.22109826456463244,3.0,26.0
9067,25.0,1.2666175096269492,-8.334447744242247,-3.595503249969509,0.002654031561055469,1.2528081325340386,0.30021524472907324,2.0,30.0
9068,30.0,1.040579981980904,-2.3160007862428107,0.8573637406051031,0.0036345259530722917,1.2546610319044926,0.17027332067929532,2.0,31.0
9069,26.0,1.1586115592036517,-7.273831881063257,-5.908377254852835,0.00226659289802238,1.2640901378537577,0.3140272226403675,0.0,35.0
9070,24.0,1.20794963446251,-2.1437810015656185,-6.769861376951586,0.002436114238060837,1.4422652404501708,0.3211167082799524,1.0,31.0
9071,22.0,1.2783623548333873,0.19888967314542838,-4.687662397192321,0.0020956068893629703,1.2712171441554563,0.27020924742356334,2.0,35.0
9072,16.0,1.1482437496536886,0.8254038386325466,-6.995942330567923,0.0033003474258796717,1.0951089870467616,0.2385556155720465,2.0,24.0
9073,28.0,1.8159493895617258,-2.4604867467568146,-5.555299323557795,0.0019407125633515345,1.2629567205228187,0.2993881337160629,5.0,40.0
9074,29.0,1.721988732900656,-5.500943866284968,1.111879288025093,0.00175758149236485,1.2013013982441152,0.3390339364633148,4.0,33.0
9075,26.0,1.113410320110504,-1.5378176849836105,-7.633682418297399,0.003327185292632461,1.0309644558074262,0.3059722653442642,1.0,32.0
9076,29.0,1.366263908487407,-3.523610086136387,-5.582906084850598,0.0023736258227275457,1.0876108433094551,0.20742553821154527,4.0,30.0
9077,19.0,1.421601277084478,-5.670129372299052,-5.983670581527631,0.0015299667964188029,1.2000554606860805,0.3652036863047854,2.0,32.0
9078,26.0,1.0708968275148856,-2.8914144549490324,1.4615750608615448,0.003551478785801725,1.0684691730920093,0.24607561026125752,1.0,33.0
9079,27.0,1.513713364841717,-7.4558078519393325,-4.971518406179668,0.0034170870442539235,1.284852128738946,0.29243217149911777,3.0,31.0
9080,21.0,1.1728075210485052,-7.0160371707536555,0.4268401930314202,0.002818249346881836,1.1460577799580038,0.3194206088878893,1.0,41.0
9081,28.0,1.0214880226781196,-3.0185817300485245,-4.701740989494561,0.003395558941256818,1.0064046151999233,0.24853061801027782,0.0,26.0
9082,26.0,1.0256038453471024,-5.131099088201047,0.9822728032009409,0.0024899174447902857,1.3837362667049518,0.2125124060767873,0.0,34.0
9083,17.0,1.2288742437078508,-1.531270753593768,-1.8414788376508584,0.0022817202850482885,1.310960074420578,0.2669401155411994,2.0,35.0
9084,34.0,1.847387546180305,-7.957676564890558,1.3018517144634467,0.002179336323377027,1.46759022341063,0.3013423453291284,5.0,37.0
9085,35.0,1.2880367335436758,-2.489918746022949,-3.3206846427439043,0.002944021389856594,1.0069882791030762,0.2197217438388414,3.0,32.0
9086,31.0,1.1904784478665769,0.9781280637718485,-4.630618820514202,0.0030025625492916363,1.457568318081297,0.3251363520149255,0.0,36.0
9087,19.0,1.5122693744019708,-0.8987315668751712,-3.125271120899344,0.003917549272524183,1.2166555616048766,0.21733316821396856,5.0,30.0
9088,30.0,1.0912094731060196,0.7744215489338815,0.8540298142634051,0.003417066581099819,1.404956760904277,0.27511745306076785,1.0,32.0
