id,Delta,R0,i0_q,r0_q,start_week_delta
7002,49.0,2.586735593091372,0.004615958941613968,0.3011130088322844,3.0
7003,27.0,2.020230010731797,0.0037770256423223384,0.1761154751534953,5.0
7004,56.0,1.956942645640437,0.003378096988155832,0.15132830351037313,1.0
7005,54.0,2.0184757840156564,0.003400947228796068,0.1678681006544259,1.0
7006,60.0,2.5665939360158987,0.006753932174718043,0.3642189173317708,2.0
7007,23.0,1.9928562384953572,0.004717656751169575,0.17306876557602852,7.0
7008,57.0,2.703511109793909,0.005351811385439856,0.3348977016330042,2.0
7009,48.0,2.2449033324594527,0.00075006121708829,0.22123109044441513,0.0
7010,60.0,2.4464669687198253,0.00685968810803615,0.27401417123314387,2.0
7011,21.0,2.207360255184803,0.00494139963832087,0.2747512148166858,7.0
7012,40.0,1.957990549481106,0.0032096953791167717,0.15286033218311357,3.0
7013,61.0,1.8922700676526987,0.0029684727038688983,0.1500822829083832,0.0
7014,25.0,2.267778137474253,0.0052106118946188655,0.2808957739644967,6.0
7015,41.0,2.9010007680398147,0.0013652537415107518,0.35901241178975984,2.0
7016,25.0,1.967698986176291,0.0017785994579004013,0.1415919342100276,4.0
7017,40.0,2.4102854166990912,0.0014069998986043003,0.2628986993431867,2.0
7018,39.0,2.2748495528439525,0.003844746356317777,0.25236597902114294,3.0
7019,40.0,2.639841090704534,0.0018000666569989757,0.33685257552717157,2.0
7020,41.0,2.2497140546716596,0.002219675679500807,0.25123938061582385,2.0
7021,61.0,2.058804753076442,0.001794607760550384,0.17808296690324626,0.0
7022,52.0,2.236798222299824,0.005023737718522881,0.241754431867805,2.0
7023,60.0,2.253392811358025,0.0019817165501972074,0.2523310032220854,0.0
7024,45.0,2.2204485030537158,0.004704704536410671,0.2480744984432437,3.0
7025,48.0,2.7538343956963716,0.0027870790509588973,0.3654952577445595,2.0
7026,41.0,2.274732633709364,0.002811093946354892,0.25741278577218957,3.0
7027,46.0,2.698406993495789,0.004534357253757509,0.338593050128685,3.0
7028,33.0,1.9229010201577945,0.0012408489770904907,0.14080746337198632,2.0
7029,62.0,1.9561189994962538,0.002630609834207706,0.13791613689255047,0.0
7030,38.0,2.6307821205911326,0.002991508772951307,0.3426057756206149,3.0
7031,48.0,2.8408551659370507,0.005760091070309795,0.3767269901930726,3.0
7032,26.0,2.0678860927894425,0.0015189503577658352,0.18068634656531368,4.0
7033,48.0,2.2683019126427064,0.004375703877947405,0.25747817420813174,2.0
7034,60.0,2.7948644813466315,0.0024203093526074613,0.38438620596329376,1.0
7035,51.0,2.0441682124599754,0.0029216520936388452,0.2069169139172159,1.0
7036,28.0,2.026888322394015,0.002381252701055471,0.1949338916374237,5.0
7037,31.0,1.8937302675805363,0.004537337553749632,0.14757931249161488,4.0
7038,41.0,2.185802600088058,0.0011557609636285435,0.23849721583796762,1.0
7039,56.0,2.047737096180345,0.0037661908592838164,0.19378023286984256,1.0
7040,62.0,2.615879109925566,0.0038120926641586235,0.3282131255199908,1.0
7041,30.0,2.304503242327683,0.002829359100791866,0.2521837884017646,5.0
7042,28.0,2.1383415476926184,0.004486945482750949,0.23406605306501835,5.0
7043,48.0,2.4822195336483484,0.005460817088510031,0.3275523519159745,3.0
7044,61.0,2.8117881069318136,0.005454246009748285,0.38750462219872606,2.0
7045,32.0,2.3044729754464086,0.003227471868226463,0.2897314839899687,4.0
7046,58.0,2.7091638659626094,0.004462953395468634,0.3329325153765485,2.0
7047,32.0,2.473993396166024,0.0030032521698031495,0.2915509836122641,4.0
7048,59.0,2.7969912704717323,0.007647278323432536,0.3402258400464382,3.0
7049,33.0,2.1755690025437224,0.0022927013564739062,0.2188715458589965,3.0
7050,32.0,1.8337202941630235,0.0021042117564297426,0.10526361272774597,4.0
7051,25.0,2.821631398678776,0.0026478097126409806,0.36180548419551267,6.0
7052,60.0,2.1218268946038985,0.0036692513741168795,0.24007762933994503,1.0
7053,56.0,2.5567621579873627,0.003799916769394041,0.3164651911032008,2.0
7054,34.0,2.9654071928300327,0.002311827084551217,0.3791659936365321,4.0
7055,44.0,2.3579726710279716,0.005045144461555199,0.2634302322296264,3.0
7056,59.0,2.372327408799469,0.002239670599633424,0.30745309681050315,0.0
7057,31.0,2.2583172280666295,0.0020083043427493695,0.23663741612504705,4.0
7058,28.0,2.87618518745088,0.0013642418169899791,0.3747117469503846,4.0
7059,33.0,1.9794112181721126,0.0024541057977505924,0.1403091056833911,4.0
7060,63.0,2.7423246233523826,0.005691079999202146,0.3344241225899539,2.0
7061,35.0,2.2042788962015525,0.0017750576439608604,0.22290307165878195,3.0
7062,30.0,2.1642965031650077,0.003856348005593123,0.23800896631112467,4.0
7063,27.0,2.384814157418942,0.0034677106123064743,0.2654342505827135,6.0
7064,46.0,2.698966374969395,0.0038582642179478804,0.3524426538121297,3.0
7065,62.0,2.299076539437693,0.003456613260813786,0.3154033853984678,0.0
7066,41.0,2.9450509211619753,0.001539310754287217,0.3843498968027636,2.0
7067,59.0,2.0845342805431355,0.0020841441981591293,0.18230927208776967,0.0
7068,26.0,1.948980331237287,0.00465593880161854,0.18377175504646645,5.0
7069,34.0,1.9861003322597668,0.006536595161338578,0.19486632368436685,5.0
7070,60.0,1.9804165430923235,0.003536523952433559,0.1737785505068696,1.0
7071,36.0,1.9711553923924205,0.0009187995166989292,0.19421185205862618,1.0
7072,46.0,1.9880163454416993,0.0020467160436167583,0.21186372784858834,1.0
7073,38.0,2.439173793457962,0.0013362566596715072,0.2717458299917888,2.0
7074,56.0,2.487313440425232,0.0022042118971349178,0.28335029820301844,1.0
