id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta
7002,63.0,2.2192361689016793,0.9541442825741961,-0.714417617826457,0.004917420658097927,1.148669284959109,0.24323600846876312,1.0
7003,60.0,2.748680854623348,-0.36170416575258346,1.7288877841381056,0.004810548770285602,1.383323573122046,0.390728087174433,1.0
7004,23.0,1.9876645475732029,-3.5716696937157746,-6.953814374359508,0.0019853182390834646,1.1139713387556174,0.16984722981600242,4.0
7005,63.0,2.693541573320884,-6.067508520356451,0.38871300968295314,0.00279187418915564,1.289162032471386,0.36565811220370337,0.0
7006,62.0,2.307682062661443,-5.438346371805413,-1.5069267334664003,0.001972773689092773,1.377339630259721,0.27765403560592383,0.0
7007,30.0,1.9223836280393674,-2.3573567137487457,-4.195494035537241,0.003885785014581325,1.2754034348903018,0.17517701291778948,4.0
7008,29.0,2.8087364801614254,-7.336181822155574,-0.5728140726312528,0.004096740673917935,1.148551125642991,0.3722040406961298,6.0
7009,59.0,1.8186544964857307,-4.240330573114535,0.8780144320236178,0.005791866021377626,1.4432279473791607,0.11343334487891485,1.0
7010,29.0,1.8022954930629256,-3.3359148462715122,-8.868251677130155,0.0037628923275313006,1.4782301218875382,0.11725778991671001,3.0
7011,61.0,2.530677313289618,-5.895605017412212,-6.054432950776603,0.00855995472122075,1.0409238413714794,0.35437797680245386,2.0
7012,38.0,1.8809729538289126,1.1425531949489276,-1.6908879005014696,0.0027314435686939284,1.080720140143348,0.1579664340013597,2.0
7013,25.0,2.2595528500798436,-7.499452504315714,-6.159779829744336,0.004353259885195332,1.1487693727935706,0.2879618184863548,7.0
7014,40.0,2.298666990506209,-2.9531771400958156,-2.5239917296378063,0.0030595346011935754,1.0478531778340965,0.2310028830652437,3.0
7015,31.0,1.918585471589619,-3.888984786306637,-4.6344232691282405,0.005711797750141126,1.2844306942421415,0.1781338062493431,4.0
7016,27.0,1.9695722757582788,-2.9126797931454367,-6.4559860561718585,0.001218876325049648,1.3196509867638557,0.1476449634730418,2.0
7017,30.0,2.1413514658599193,1.847283093164373,0.11535964898342277,0.000823897865719188,1.2287349887509613,0.1952148806965427,2.0
7018,18.0,1.945128028922378,-0.056154937458040566,-5.756144145137398,0.004003125011976184,1.2456532657172512,0.22492034538652206,6.0
7019,18.0,2.574867530642646,-2.4858576443438714,-1.1860957895675832,0.001646403710321136,1.408739337122631,0.34564038594919794,7.0
7020,30.0,2.024293565229532,-4.549223853932926,-5.606952199446798,0.0028981328623154464,1.0923936563201717,0.186466047370956,4.0
7021,62.0,1.8373637915766001,-8.22097771437855,-8.194034078106483,0.00545193466427444,1.1852760876297403,0.1383996105050657,0.0
7022,33.0,1.964080673229056,-0.1131666680686394,-1.7846924462705762,0.002377272385441573,1.2638514074821043,0.1997047123243271,3.0
7023,34.0,2.025335832459997,-8.70575826978846,-7.383306097213218,0.0046240493972109315,1.1912490385429322,0.20948335645460495,4.0
7024,60.0,2.3124410188743103,-0.029931198161201822,-4.064939361166385,0.010202207043284346,1.0940584013945385,0.27131617353152726,2.0
7025,33.0,2.435106191176482,-0.7596877119095145,-2.158884412479796,0.002262674474826668,1.3897471755591335,0.3244455593254695,3.0
7026,32.0,2.1364275531583803,-3.8497916005524395,-0.19538044835861146,0.008677556569650432,1.4525251797965386,0.24965801914846664,6.0
7027,21.0,2.0186636073355366,0.2554975562836581,-5.557730900791206,0.003897841349453293,1.438474832388109,0.29338226324073763,4.0
7028,33.0,2.7384850408587598,-4.953439278552359,0.20264329865744668,0.006015574173837955,1.0051939878164424,0.37946097137334583,5.0
7029,50.0,2.2448699105013072,-4.437528629854562,-6.199737306544227,0.002073338633680963,1.3229348339440319,0.24400816719410764,1.0
7030,59.0,1.8744186556310938,-5.831945798529173,-3.380941019088897,0.0026788434824948216,1.161317047441216,0.14335289589685765,0.0
7031,30.0,1.7916976582852175,-7.179769594448751,-8.080642734191306,0.0034167757194140864,1.3024517290704636,0.10604781002340063,3.0
