id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta
7002,60.0,2.549531008867839,-5.231834860411699,-7.494720492082819,0.002892978387727256,1.1745757750779389,0.365167760471892,0.0
7003,63.0,2.0703413377582067,-5.988190202406704,2.038050174967734,0.004035543030709242,1.2857824332767216,0.23576933817620646,0.0
7004,41.0,2.7054998704977353,-3.599973696650472,0.5867233190004739,0.0059850164179635545,1.0895666616848656,0.3559186610414983,4.0
7005,51.0,2.1761700786356144,-4.918386727285459,1.4015858543028368,0.002568583734710416,1.3910446180178877,0.21500836781357796,1.0
7006,55.0,2.5279036974068987,-3.441740526629956,1.0268325932542204,0.005402411387765794,1.4510761392820049,0.3296423275285122,2.0
7007,26.0,1.9180846501629514,-9.204289192048678,-1.981904174434138,0.004970891118511233,1.0654692672270198,0.17825939313091474,7.0
7008,33.0,2.1265502757915593,2.049589869407013,-5.223646514538334,0.005758186583354226,1.4837244022783806,0.2448663994466166,5.0
7009,50.0,2.7030403206894458,-5.964246605390001,-5.6820575785799745,0.001734099925766718,1.3758945015293362,0.3611060655425092,1.0
7010,37.0,1.7827215324778956,-7.848308970246363,-4.711236024454977,0.004907374422300601,1.1989104903679142,0.1078829135354173,3.0
7011,31.0,2.244148858813477,-1.33437409304707,-4.680405166696982,0.0026024736292588613,1.20432923690594,0.21828558492986003,4.0
7012,36.0,2.484337250689107,-7.421908058255368,2.191609335586194,0.002829461399104365,1.1491961533501183,0.27976575260362946,4.0
7013,63.0,2.8899716047437303,-2.1959918381638843,-2.8237190965793806,0.012683090260681406,1.1951727536040162,0.37900006480269116,3.0
7014,31.0,1.8739016778703237,0.18544248387237272,1.8240069545414845,0.0027577239555391505,1.1769448470235675,0.14204419655733733,3.0
7015,59.0,2.8588130133608085,-4.229416697115219,-3.5790304478954766,0.00369865399549912,1.2401088236155464,0.3428560519723743,2.0
7016,47.0,2.874851243530196,-1.910156326910617,-5.417657813639185,0.003720322107445763,1.0953746374909055,0.3536692534158228,3.0
7017,31.0,2.5616148198472395,-7.012398384113548,1.139389452104178,0.002766229918218111,1.299379368448236,0.3138716483444149,4.0
7018,53.0,2.437907770510394,0.06906726303578509,-7.601619470012855,0.008286335932668072,1.389057911347626,0.30551882058761515,3.0
7019,58.0,2.029161374472111,-4.929629880798024,-1.2669922198721195,0.00414858772225927,1.2206382346245086,0.2128306610725138,1.0
7020,60.0,2.7090733603313413,-5.818782117864954,-6.332143703894373,0.005051090445717826,1.1560812561086962,0.3596638878879788,2.0
7021,52.0,1.8601070292259871,-7.2927098352698,0.10280371802924214,0.0033997354334705998,1.3161230748864996,0.17634291307628003,1.0
7022,26.0,2.7625870940653807,-7.040543948350645,0.7680015479665565,0.006035809037646242,1.3705193842933159,0.3856261907871009,7.0
7023,52.0,2.197839399259521,-0.31655846445360547,-4.613031572747202,0.005306745390518114,1.466731492313239,0.23453903246895905,2.0
7024,30.0,2.0487654452223087,-4.436457357744951,-1.1519474599944033,0.00157618966210421,1.4061607204404527,0.15892347573444227,4.0
7025,37.0,2.293484880200161,-2.6112222160880845,-1.0878566389593842,0.0034088381720713355,1.286703532376195,0.27276766749604375,4.0
7026,37.0,2.405887915423297,-8.560610071211787,-6.364178952741369,0.0049257612061226475,1.0416845071778043,0.2890085604432493,4.0
7027,22.0,1.9419748675038118,-7.438360168847026,-0.16068124534946038,0.0047188078646609385,1.404246108650617,0.17279057113764923,7.0
7028,19.0,2.1942532464711486,-8.779167239399527,-7.257934278186444,0.002337730241598695,1.1012248636474762,0.2162233566414327,7.0
7029,34.0,1.9871665502114073,-9.160123345254611,-1.8224432773913528,0.002176482391871656,1.2254967775018668,0.157261238225751,3.0
7030,36.0,1.8977011747066275,-3.8615806071068115,-1.6184812467839353,0.007429411199829776,1.4332068726838043,0.17240333752053288,5.0
7031,36.0,2.1966070231145007,-1.0193041164901127,-4.040433182806749,0.0008399097227640799,1.2332173108820512,0.19750859909558285,2.0
7032,26.0,2.5739771253128074,-7.751572326307375,-1.7129219107816187,0.0009211475272528462,1.3121338017981532,0.3163455808766733,3.0
7033,26.0,2.205930147064546,-1.1536670287502693,-5.299176402665691,0.007044300261860338,1.1846145897082663,0.2925764194308708,7.0
7034,39.0,2.676365374857979,-1.3181804833680413,-5.734597893356332,0.0021070390888915077,1.28177268477719,0.32695805007147744,3.0
7035,36.0,2.0794692276197373,0.8558875700337065,-3.5733231834889,0.004268483733176445,1.4158666623721756,0.2492053548321609,4.0
7036,28.0,1.9801346932573074,-1.4077823036036219,-5.577472014743812,0.003644514674436001,1.2715555941839602,0.17101678706394047,6.0
7037,26.0,1.9005754650286115,-6.364828470103346,-4.37820645728604,0.004939572771321067,1.261961373231219,0.16608167545427435,7.0
7038,47.0,2.2290153712399827,-2.6775858568732707,-1.0528871921827552,0.0037690434172824978,1.3780113588059595,0.2535170872206283,2.0
7039,23.0,1.9029897851454964,0.40013822655998577,-3.595979342543622,0.006011953275660382,1.1863859636370055,0.17224205831344702,6.0
7040,18.0,2.237668951147464,-7.707051578782798,-3.030859093964729,0.0021219787332461735,1.0316593269123722,0.24112469653403118,7.0
7041,36.0,2.139317548768084,-7.927407748979742,-1.3416300937088894,0.000896397027454794,1.0626678873688817,0.21807770033520962,2.0
7042,54.0,2.0673601345151793,-6.074016027619133,-8.739842881410873,0.0016002497721916476,1.1206042580746927,0.201197580296412,0.0
7043,29.0,1.9177772768296755,1.7685641105160201,-2.8699142003242777,0.0014449733000341154,1.301400388765858,0.1383068709197338,2.0
7044,42.0,2.6094223371640504,-1.1420294969526112,-5.195954058042043,0.0029743010896953,1.1666729489845313,0.31163816731686184,3.0
7045,22.0,2.266119296146231,-0.18161967527896916,-1.622308397218134,0.002923977871273371,1.3805869189485775,0.24706724653639411,6.0
7046,31.0,2.1080530985676726,-3.805039962823123,-8.166548106248865,0.0016296018242455011,1.3380812302349718,0.18708185991026396,4.0
7047,31.0,2.000022442296031,-7.388564009027003,0.5120706894405151,0.00243837360845684,1.4080235395079743,0.14953606829791286,4.0
7048,36.0,2.725639647408654,-6.192115852030832,2.094202035114468,0.003564812434801465,1.1141922340225616,0.34631639026839484,4.0
7049,32.0,2.4705034082718824,-3.719079612150808,-4.756166028985069,0.003984166780435494,1.3600003744086246,0.2947450482870378,5.0
7050,56.0,2.730440247932437,-3.9622910894597156,-1.2641830473235578,0.00306079607724439,1.4236013237064236,0.38632667200961257,1.0
7051,57.0,1.927003728979188,-8.54847954671352,-7.59984376795875,0.002000972665921014,1.1182304072841036,0.16372509961851023,0.0
7052,34.0,2.506819929791758,-1.8914187069959572,-7.660844137501857,0.005950510680399773,1.3713485345538758,0.3408513074020023,5.0
7053,27.0,1.8966975295840554,-2.880886024511341,-3.6548330594861893,0.00278752568523539,1.2178613025476315,0.12067482999745618,4.0
7054,21.0,2.118412810291628,-2.0847521887686673,-1.5946785802458798,0.002122167019768449,1.1909657387521069,0.20481400999530727,5.0
7055,43.0,1.9966278945163896,0.3339213717598385,-3.277989909179835,0.004670347299894396,1.4125502429357717,0.20363427736278675,3.0
7056,57.0,2.1387410276003704,-5.337732121956056,-0.5961671128058192,0.007002858380195654,1.4375111990708689,0.20682123727536927,2.0
7057,60.0,1.919077971854036,0.4153918501179592,-5.225626373606281,0.0055660038731668625,1.1011561135787598,0.18982067986627835,1.0
7058,50.0,2.1093716327849528,-6.99892820127336,0.6593647317510607,0.003964185159943876,1.1480435524592632,0.19028772515118214,2.0
7059,39.0,2.0063798285439685,-1.3687943243243836,0.03414907647681936,0.003708830180878697,1.2454779714566118,0.20132382475988847,3.0
7060,60.0,2.0344230631175937,1.3593974616979956,-7.974730820469836,0.009066427667046248,1.4835110773583564,0.19112399238426483,2.0
7061,55.0,2.150115941777247,0.5977447868263656,-7.628133892341693,0.0030617650327365497,1.2550623040227487,0.2434116809882496,1.0
7062,55.0,1.9708527814493328,-4.265555695333818,-3.265170568677493,0.0034510465052192776,1.4612919565085392,0.20000661414013154,1.0
7063,58.0,2.3356935468530247,-6.223086147243857,-1.750659225724885,0.007171496054589874,1.1401692911472514,0.2554899018403609,2.0
7064,34.0,2.1303818967069206,-1.1073386729275523,-2.3418905366300575,0.004772925879463318,1.1036902431556963,0.22758505800483433,4.0
