id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta
7002,44.0,2.4697890249895322,-3.996278922085878,-0.6140078141946768,0.0016207813991938492,1.3239717043345252,0.2652680337254233,2.0
7003,24.0,2.468499090271758,-7.4044741690480285,-4.162163177248261,0.0007965391368932725,1.1746036176838062,0.2974341766413698,3.0
7004,22.0,2.2399994885698553,1.4621171853495678,-4.41236817122889,0.002139225211229058,1.447500059754288,0.2222731809685631,6.0
7005,32.0,2.4704826604653123,-7.6997734733671495,1.6826157353238909,0.0018764066875714882,1.250017585647595,0.2770142698005064,4.0
7006,32.0,2.0122320868631203,0.5499471857872174,-0.5551908887827883,0.001220865309336835,1.4716114775405356,0.1352159923479438,3.0
7007,36.0,2.0031074031265903,-0.31206328536142663,-7.733853686685677,0.0023574661883134537,1.183582265055207,0.1776513725669743,3.0
7008,54.0,2.8813870658794456,-0.5288905735570599,-5.961200733634596,0.00801083541966462,1.017707255738756,0.3882899071027771,3.0
7009,38.0,1.8356530507176831,-3.1695361306939533,-4.119032343252836,0.002561918919511341,1.1392117737247571,0.11869961452471432,3.0
7010,28.0,2.355028922466428,-4.055726989108807,0.4367601273771906,0.003885916684064809,1.4617638681233147,0.3077414760606755,5.0
7011,38.0,2.5663788201915896,-5.625017402414416,-2.766746844756021,0.0014836770560576753,1.4251642785812193,0.3244154207336153,2.0
7012,33.0,2.3132788584785295,-1.2329061727008699,-6.6453358400295635,0.003585135441530697,1.3664427024497794,0.2755138053053854,4.0
7013,30.0,1.9895242029772606,-7.672320004760236,-8.033783594426643,0.008293487986902336,1.3742880447494545,0.19487631585886445,6.0
7014,58.0,2.078933857606341,-1.9028829827645073,-4.96440256737476,0.0039023104607410534,1.3941128598229056,0.20486346668696795,1.0
7015,35.0,2.6365342925593582,-4.651934682462268,-7.122372951975239,0.000739972642726787,1.090977349003586,0.30531365653313464,2.0
7016,54.0,2.3691378580766367,-0.6907671292808177,-6.459081550683706,0.0028898961866695334,1.2776723898936682,0.26205936171257393,1.0
7017,63.0,2.3586683628373875,-4.205405526910036,-3.771450604921866,0.008550755044280333,1.1840517232731775,0.3075785711707517,2.0
7018,36.0,2.6228301550736255,-1.9146153136086528,-5.97092753379237,0.0017803898691459404,1.4521736234887768,0.3356475559280051,3.0
7019,23.0,1.9744221951820107,0.005852830379651952,-4.216941999460978,0.003171646020615239,1.2982131245221311,0.18370593452051345,5.0
7020,54.0,2.882304837878685,-3.834998057476031,-1.191900605657985,0.00462805965410429,1.0178318305196346,0.3841080562707801,2.0
7021,36.0,2.6722745298160597,0.37284507445868487,-5.465866526683517,0.0014473975433850817,1.3967154147276009,0.33885574080060304,2.0
7022,40.0,2.20647286777807,0.06051581005595974,0.694019038641914,0.0032335423087493376,1.2444238143708646,0.20474119087318646,3.0
7023,30.0,1.9582684542406013,0.03917687681934634,1.7311954067928927,0.005784105018586863,1.04218289074512,0.20115074293435814,5.0
7024,54.0,2.1488660900519245,-1.331264694159379,-6.653444369445147,0.0020619707920076077,1.1246786989545303,0.26812761237237137,0.0
7025,26.0,1.828328760519095,-8.481300645534866,-8.31787179808823,0.006601683454592966,1.167639772687093,0.13716246966688922,7.0
7026,61.0,2.1975653536241704,-0.8975877178230225,-6.745978553950205,0.002619356833444,1.2105062067855437,0.21521143843269833,0.0
7027,30.0,1.9922801232494618,-1.2805750283489776,-7.15193304300721,0.0011889905785563495,1.0006131782292098,0.15666266855987868,2.0
7028,29.0,2.8816970565227935,-6.695654114222286,-2.244267874187851,0.0008285280399125533,1.2733866266209921,0.3806323574726097,3.0
7029,57.0,2.075079874617013,-0.06012127468932427,1.0939267536336927,0.004572863810299122,1.4439134933084161,0.1816125539568665,1.0
7030,61.0,2.8619637598481984,-6.945052651863082,-7.590756343943639,0.003193100495870252,1.4112266165606624,0.39278417521813136,1.0
7031,34.0,2.060277418366026,0.17937295267269784,-5.5815835332877635,0.0006791183201802038,1.4253144859161053,0.1750635485640403,1.0
7032,38.0,2.0946001320615064,-7.316997363688402,-1.6425512469353918,0.005252771274047541,1.3635337848927906,0.2186661036639927,4.0
7033,56.0,2.1538901746362713,-1.0520549729677875,-7.594339608257481,0.004271774052866415,1.4436239559282757,0.2544726636572439,1.0
