id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta
7002,40.0,2.56839460608847,-5.905114795429789,-2.1836267816990445,0.0035423028844747957,1.226703910121677,0.3110350845351292,3.0
7003,25.0,2.4781788563534404,-6.6985061582600975,1.847356280124347,0.004190687494625683,1.4435601885671525,0.3376972447127783,7.0
7004,48.0,2.4291528847524093,0.9357379904404277,-3.119211139763551,0.0017201891911126992,1.293667122227457,0.2763532510735629,1.0
7005,31.0,2.0242388326015592,1.527716749721939,-1.5186138239421023,0.004016073838978476,1.4079005925030024,0.2166562566550261,4.0
7006,57.0,2.20786685963245,-0.5523380404183024,-6.119110317891001,0.004065438382545462,1.413335711024029,0.2632276773332542,1.0
7007,63.0,2.4164467101100255,-6.8318391873250475,2.1518576345904297,0.003463450044443122,1.2296621669432146,0.2930479616719966,0.0
7008,29.0,2.671823208724781,-3.62528884594833,-4.82853899478026,0.005150995940624344,1.4000778567812444,0.3528719754483457,6.0
7009,21.0,1.829136739239536,-1.7876158081573532,-4.826248258028925,0.0035908202603657704,1.3364850781158506,0.13062441936510108,7.0
7010,29.0,2.025517759306487,-2.7767515931941302,-3.411868465266542,0.002632050927392473,1.3810657845226457,0.19157554670643986,4.0
7011,63.0,2.732431523460838,-1.476514876722348,-4.394016389722483,0.005560006466444355,1.1919225392526405,0.379479097001896,1.0
7012,32.0,2.1077851178555935,-2.4184475811884707,-6.685870121829971,0.0055052516592249846,1.1517961508686914,0.21589508648389766,4.0
7013,28.0,2.540186954562118,-2.980651463546338,-5.179018286285657,0.001007248892266205,1.1819985313168142,0.3060790304233086,3.0
7014,60.0,2.306984812011295,-3.2925532391286643,0.6183301640971441,0.003435320233914797,1.252618191747224,0.24397142203260755,1.0
7015,63.0,2.700506100292907,-8.238377559307345,-3.1148922048458454,0.00435412312283439,1.1315659388774668,0.3836195654753468,1.0
7016,49.0,2.113420014262402,-0.3490441923269264,-8.487043758221311,0.0018248719855480592,1.2798471672739073,0.2237899639169357,1.0
7017,52.0,2.8058433661198032,-4.588601463897141,-9.06366833001492,0.00646676256955405,1.309103123862425,0.38071987788624706,3.0
7018,40.0,2.3984129539333647,-7.063306288015455,-3.6805916817166584,0.0060740486228124104,1.110554463646349,0.27925504021809,4.0
7019,19.0,1.9070765577265236,-5.389858141834171,-3.252651744490551,0.0022872740427234066,1.083180238057131,0.13800113141457135,7.0
7020,49.0,2.5688378234543046,-2.545736647845276,-7.250875844610105,0.0013535013364533285,1.302515665386818,0.3115663099604711,1.0
7021,31.0,2.0779232648922856,-7.43913448536529,-1.5074425957109234,0.002203333606723482,1.270686273717862,0.2148313450974706,4.0
7022,39.0,1.8031887218237364,-6.265963595869281,-7.123838232305407,0.004739177090001097,1.1120951867047315,0.13950051089657972,3.0
7023,53.0,2.2089162530636606,0.35426251665802627,-4.77494668099919,0.0030940802694645305,1.420653355717411,0.234632270648556,1.0
