location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_death,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_hospitalized_patients,cumulative_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_recovered_age_0,new_recovered_age_1,new_recovered_age_2,new_recovered_age_3,new_recovered_age_4,new_recovered_age_5,new_recovered_age_6,new_recovered_age_7,new_recovered_age_8,new_recovered_age_9,cumulative_recovered_age_0,cumulative_recovered_age_1,cumulative_recovered_age_2,cumulative_recovered_age_3,cumulative_recovered_age_4,cumulative_recovered_age_5,cumulative_recovered_age_6,cumulative_recovered_age_7,cumulative_recovered_age_8,cumulative_recovered_age_9,new_tested_age_0,new_tested_age_1,new_tested_age_2,new_tested_age_3,new_tested_age_4,new_tested_age_5,new_tested_age_6,new_tested_age_7,new_tested_age_8,new_tested_age_9,cumulative_tested_age_0,cumulative_tested_age_1,cumulative_tested_age_2,cumulative_tested_age_3,cumulative_tested_age_4,cumulative_tested_age_5,cumulative_tested_age_6,cumulative_tested_age_7,cumulative_tested_age_8,cumulative_tested_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,new_intensive_care_patients_age_0,new_intensive_care_patients_age_1,new_intensive_care_patients_age_2,new_intensive_care_patients_age_3,new_intensive_care_patients_age_4,new_intensive_care_patients_age_5,new_intensive_care_patients_age_6,new_intensive_care_patients_age_7,new_intensive_care_patients_age_8,new_intensive_care_patients_age_9,cumulative_intensive_care_patients_age_0,cumulative_intensive_care_patients_age_1,cumulative_intensive_care_patients_age_2,cumulative_intensive_care_patients_age_3,cumulative_intensive_care_patients_age_4,cumulative_intensive_care_patients_age_5,cumulative_intensive_care_patients_age_6,cumulative_intensive_care_patients_age_7,cumulative_intensive_care_patients_age_8,cumulative_intensive_care_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,new_deceased_male,new_deceased_female,cumulative_deceased_male,cumulative_deceased_female,new_recovered_male,new_recovered_female,cumulative_recovered_male,cumulative_recovered_female,new_tested_male,new_tested_female,cumulative_tested_male,cumulative_tested_female,new_hospitalized_patients_male,new_hospitalized_patients_female,cumulative_hospitalized_patients_male,cumulative_hospitalized_patients_female,new_intensive_care_patients_male,new_intensive_care_patients_female,cumulative_intensive_care_patients_male,cumulative_intensive_care_patients_female,population,population_male,population_female,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
BR_SP,2020/1/1,ChIJrVgvRn1ZzpQRF3x74eJBUh4,Q175,iso/BR-SP,BR,Brazil,SP,Sao Paulo,BR,BRA,1,121,0,0,348,121,,0,348,,,,,,,,,,,4,4,24,33,19,16,13,3,2,3,4,4,24,33,19,16,13,3,2,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,62,81,60,55,33,16,9,3,9,20,62,81,60,55,33,16,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10月19日,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,45,76,45,76,,,,,0,0,0,0,148,200,148,200,,,,,,,,,41262199,20077873,21184326,0.786,5536005,6628821,7427477,6740568,5733797,4424095,2646095,1416894,708447,298204,-21.829722,-49.2075,514,248209,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.547619,22.103175,35.079365,0,19.920635,63.777474
BR_SP,2020/1/2,ChIJrVgvRn1ZzpQRF3x74eJBUh4,Q175,iso/BR-SP,BR,Brazil,SP,Sao Paulo,BR,BRA,1,322,0,0,927,443,,0,1275,,,,,,,,,,,14,18,48,78,74,48,29,8,5,0,18,22,72,111,93,64,42,11,7,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,56,157,214,199,139,79,23,10,1,58,76,219,295,259,194,112,39,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10月19日,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,149,173,194,249,,,,,0,0,0,0,412,515,560,715,,,,,,,,,41262199,20077873,21184326,0.786,5536005,6628821,7427477,6740568,5733797,4424095,2646095,1416894,708447,298204,-21.829722,-49.2075,514,248209,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.111111,21.952381,32.571429,0,21.166667,74.59702
BR_SP,2020/1/3,ChIJrVgvRn1ZzpQRF3x74eJBUh4,Q175,iso/BR-SP,BR,Brazil,SP,Sao Paulo,BR,BRA,1,180,0,0,427,623,,0,1702,,,,,,,,,,,5,11,33,42,34,28,19,7,1,0,23,33,105,153,127,92,61,18,8,3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31,75,94,87,63,46,12,6,1,70,107,294,389,346,257,158,51,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10月19日,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,76,104,270,353,,,,,0,0,0,0,178,249,738,964,,,,,,,,,41262199,20077873,21184326,0.786,5536005,6628821,7427477,6740568,5733797,4424095,2646095,1416894,708447,298204,-21.829722,-49.2075,514,248209,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.833333,20.579365,28.81746,0,20.404762,81.427714
BR_SP,2020/1/4,ChIJrVgvRn1ZzpQRF3x74eJBUh4,Q175,iso/BR-SP,BR,Brazil,SP,Sao Paulo,BR,BRA,1,446,0,0,1524,1069,,0,3226,,,,,,,,,,,9,31,88,100,100,64,34,15,3,2,32,64,193,253,227,156,95,33,11,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,105,322,337,279,210,135,46,15,3,142,212,616,726,625,467,293,97,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10月19日,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,205,241,475,594,,,,,0,0,0,0,666,858,1404,1822,,,,,,,,,41262199,20077873,21184326,0.786,5536005,6628821,7427477,6740568,5733797,4424095,2646095,1416894,708447,298204,-21.829722,-49.2075,514,248209,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.888889,20.5,30.460317,0,19.380952,72.036161
BR_SP,2020/1/5,ChIJrVgvRn1ZzpQRF3x74eJBUh4,Q175,iso/BR-SP,BR,Brazil,SP,Sao Paulo,BR,BRA,1,275,0,0,807,1344,,0,4033,,,,,,,,,,,7,13,56,66,54,36,30,9,4,0,39,77,249,319,281,192,125,42,15,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,56,184,191,154,102,68,20,6,1,167,268,800,917,779,569,361,117,46,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10月19日,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,116,159,591,753,,,,,0,0,0,0,357,450,1761,2272,,,,,,,,,41262199,20077873,21184326,0.786,5536005,6628821,7427477,6740568,5733797,4424095,2646095,1416894,708447,298204,-21.829722,-49.2075,514,248209,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.52381,19.873016,30.119048,0,19.97619,80.868757
BR_SP,2020/1/6,ChIJrVgvRn1ZzpQRF3x74eJBUh4,Q175,iso/BR-SP,BR,Brazil,SP,Sao Paulo,BR,BRA,1,213,0,0,652,1557,,0,4685,,,,,,,,,,,2,12,58,50,40,25,13,11,2,0,41,89,307,369,321,217,138,53,17,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,49,161,160,116,72,45,23,4,2,187,317,961,1077,895,641,406,140,50,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10月19日,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,101,112,692,865,,,,,0,0,0,0,286,366,2047,2638,,,,,,,,,41262199,20077873,21184326,0.786,5536005,6628821,7427477,6740568,5733797,4424095,2646095,1416894,708447,298204,-21.829722,-49.2075,514,248209,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.444444,20.047619,32.31746,0,20.142857,73.413318
BR_SP,2020/1/7,ChIJrVgvRn1ZzpQRF3x74eJBUh4,Q175,iso/BR-SP,BR,Brazil,SP,Sao Paulo,BR,BRA,1,148,0,0,428,1705,,0,5113,,,,,,,,,,,3,8,37,30,24,22,15,6,3,0,44,97,344,399,345,239,153,59,20,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,25,111,99,57,58,36,17,6,2,204,342,1072,1176,952,699,442,157,56,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10月19日,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,62,86,754,951,,,,,0,0,0,0,174,254,2221,2892,,,,,,,,,41262199,20077873,21184326,0.786,5536005,6628821,7427477,6740568,5733797,4424095,2646095,1416894,708447,298204,-21.829722,-49.2075,514,248209,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.027778,22.287037,32.861111,0,21.490741,72.04187
BR_SP,2020/1/8,ChIJrVgvRn1ZzpQRF3x74eJBUh4,Q175,iso/BR-SP,BR,Brazil,SP,Sao Paulo,BR,BRA,1,96,0,0,362,1801,,0,5475,,,,,,,,,,,3,10,22,24,9,13,11,3,1,0,47,107,366,423,354,252,164,62,21,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,92,72,48,52,36,12,5,0,218,373,1164,1248,1000,751,478,169,61,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10月19日,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,35,61,789,1012,,,,,0,0,0,0,144,218,2365,3110,,,,,,,,,41262199,20077873,21184326,0.786,5536005,6628821,7427477,6740568,5733797,4424095,2646095,1416894,708447,298204,-21.829722,-49.2075,514,248209,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.746032,22.365079,31.539683,0,22.166667,80.875233
BR_SP,2020/1/9,ChIJrVgvRn1ZzpQRF3x74eJBUh4,Q175,iso/BR-SP,BR,Brazil,SP,Sao Paulo,BR,BRA,1,45,0,0,140,1846,,0,5615,,,,,,,,,,,1,2,5,11,10,7,6,1,2,0,48,109,371,434,364,259,170,63,23,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,25,38,26,17,15,4,2,0,225,379,1189,1286,1026,768,493,173,63,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10月19日,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,18,27,807,1039,,,,,0,0,0,0,63,77,2428,3187,,,,,,,,,41262199,20077873,21184326,0.786,5536005,6628821,7427477,6740568,5733797,4424095,2646095,1416894,708447,298204,-21.829722,-49.2075,514,248209,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.865079,22.253968,31.984127,0,22.150794,80.446393
BR_SP,2020/1/10,ChIJrVgvRn1ZzpQRF3x74eJBUh4,Q175,iso/BR-SP,BR,Brazil,SP,Sao Paulo,BR,BRA,1,18,0,0,77,1864,,0,5692,,,,,,,,,,,0,1,3,3,3,1,4,1,1,1,48,110,374,437,367,260,174,64,24,6,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,21,15,12,10,6,3,2,2,229,381,1210,1301,1038,778,499,176,65,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0-9,10月19日,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-,9,9,816,1048,,,,,0,0,0,0,39,38,2467,3225,,,,,,,,,41262199,20077873,21184326,0.786,5536005,6628821,7427477,6740568,5733797,4424095,2646095,1416894,708447,298204,-21.829722,-49.2075,514,248209,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.222222,21.777778,31.952381,0,21.507937,75.920329
