,date,provider,region,age,total_number
52,2020-12-27,Pfizer/BioNTech,Lombardia,20-29,42.0
53,2020-12-27,Pfizer/BioNTech,Lombardia,30-39,64.0
54,2020-12-27,Pfizer/BioNTech,Lombardia,40-49,142.0
55,2020-12-27,Pfizer/BioNTech,Lombardia,50-59,234.0
56,2020-12-27,Pfizer/BioNTech,Lombardia,60-69,201.0
57,2020-12-27,Pfizer/BioNTech,Lombardia,70-79,23.0
58,2020-12-27,Pfizer/BioNTech,Lombardia,80-89,10.0
59,2020-12-27,Pfizer/BioNTech,Lombardia,90+,2.0
167,2020-12-28,Pfizer/BioNTech,Lombardia,20-29,7.0
168,2020-12-28,Pfizer/BioNTech,Lombardia,30-39,20.0
169,2020-12-28,Pfizer/BioNTech,Lombardia,40-49,29.0
170,2020-12-28,Pfizer/BioNTech,Lombardia,50-59,38.0
171,2020-12-28,Pfizer/BioNTech,Lombardia,60-69,14.0
202,2020-12-29,Pfizer/BioNTech,Lombardia,20-29,11.0
203,2020-12-29,Pfizer/BioNTech,Lombardia,30-39,31.0
204,2020-12-29,Pfizer/BioNTech,Lombardia,40-49,28.0
205,2020-12-29,Pfizer/BioNTech,Lombardia,50-59,25.0
206,2020-12-29,Pfizer/BioNTech,Lombardia,60-69,12.0
249,2020-12-30,Pfizer/BioNTech,Lombardia,20-29,12.0
250,2020-12-30,Pfizer/BioNTech,Lombardia,30-39,36.0
251,2020-12-30,Pfizer/BioNTech,Lombardia,40-49,26.0
252,2020-12-30,Pfizer/BioNTech,Lombardia,50-59,34.0
253,2020-12-30,Pfizer/BioNTech,Lombardia,60-69,6.0
254,2020-12-30,Pfizer/BioNTech,Lombardia,70-79,1.0
340,2020-12-31,Pfizer/BioNTech,Lombardia,20-29,59.0
341,2020-12-31,Pfizer/BioNTech,Lombardia,30-39,160.0
342,2020-12-31,Pfizer/BioNTech,Lombardia,40-49,158.0
343,2020-12-31,Pfizer/BioNTech,Lombardia,50-59,249.0
344,2020-12-31,Pfizer/BioNTech,Lombardia,60-69,88.0
345,2020-12-31,Pfizer/BioNTech,Lombardia,70-79,1.0
25,2021-01-01,Pfizer/BioNTech,Lombardia,20-29,1.0
26,2021-01-01,Pfizer/BioNTech,Lombardia,30-39,6.0
27,2021-01-01,Pfizer/BioNTech,Lombardia,40-49,6.0
28,2021-01-01,Pfizer/BioNTech,Lombardia,50-59,8.0
29,2021-01-01,Pfizer/BioNTech,Lombardia,60-69,3.0
30,2021-01-01,Pfizer/BioNTech,Lombardia,70-79,1.0
146,2021-01-02,Pfizer/BioNTech,Lombardia,12-19,1.0
147,2021-01-02,Pfizer/BioNTech,Lombardia,20-29,28.0
148,2021-01-02,Pfizer/BioNTech,Lombardia,30-39,42.0
149,2021-01-02,Pfizer/BioNTech,Lombardia,40-49,55.0
150,2021-01-02,Pfizer/BioNTech,Lombardia,50-59,52.0
151,2021-01-02,Pfizer/BioNTech,Lombardia,60-69,23.0
152,2021-01-02,Pfizer/BioNTech,Lombardia,70-79,1.0
290,2021-01-03,Pfizer/BioNTech,Lombardia,20-29,89.0
291,2021-01-03,Pfizer/BioNTech,Lombardia,30-39,159.0
292,2021-01-03,Pfizer/BioNTech,Lombardia,40-49,180.0
293,2021-01-03,Pfizer/BioNTech,Lombardia,50-59,280.0
294,2021-01-03,Pfizer/BioNTech,Lombardia,60-69,133.0
295,2021-01-03,Pfizer/BioNTech,Lombardia,70-79,10.0
