date,region,daily_positive
2020-02-24,Lombardia,166
2020-02-25,Lombardia,68
2020-02-26,Lombardia,18
2020-02-27,Lombardia,145
2020-02-28,Lombardia,128
2020-02-29,Lombardia,84
2020-03-01,Lombardia,369
2020-03-02,Lombardia,270
2020-03-03,Lombardia,266
2020-03-04,Lombardia,300
2020-03-05,Lombardia,431
2020-03-06,Lombardia,361
2020-03-07,Lombardia,808
2020-03-08,Lombardia,769
2020-03-09,Lombardia,1280
2020-03-10,Lombardia,322
2020-03-11,Lombardia,1489
2020-03-12,Lombardia,1445
2020-03-13,Lombardia,1095
2020-03-14,Lombardia,1865
2020-03-15,Lombardia,1587
2020-03-16,Lombardia,1377
2020-03-17,Lombardia,1571
2020-03-18,Lombardia,1493
2020-03-19,Lombardia,2171
2020-03-20,Lombardia,2380
2020-03-21,Lombardia,3251
2020-03-22,Lombardia,1691
2020-03-23,Lombardia,1555
2020-03-24,Lombardia,1942
2020-03-25,Lombardia,1643
2020-03-26,Lombardia,2543
2020-03-27,Lombardia,2409
2020-03-28,Lombardia,2117
2020-03-29,Lombardia,1592
2020-03-30,Lombardia,1154
2020-03-31,Lombardia,1047
2020-04-01,Lombardia,1565
2020-04-02,Lombardia,1292
2020-04-03,Lombardia,1455
2020-04-04,Lombardia,1598
2020-04-05,Lombardia,1337
2020-04-06,Lombardia,1079
2020-04-07,Lombardia,791
2020-04-08,Lombardia,1089
2020-04-09,Lombardia,1388
2020-04-10,Lombardia,1246
2020-04-11,Lombardia,1544
2020-04-12,Lombardia,1460
2020-04-13,Lombardia,1262
2020-04-14,Lombardia,1012
2020-04-15,Lombardia,827
2020-04-16,Lombardia,941
2020-04-17,Lombardia,1041
2020-04-18,Lombardia,1246
2020-04-19,Lombardia,855
2020-04-20,Lombardia,735
2020-04-21,Lombardia,960
2020-04-22,Lombardia,1161
2020-04-23,Lombardia,1073
2020-04-24,Lombardia,1091
2020-04-25,Lombardia,713
2020-04-26,Lombardia,920
2020-04-27,Lombardia,590
2020-04-28,Lombardia,869
2020-04-29,Lombardia,786
2020-04-30,Lombardia,598
2020-05-01,Lombardia,737
2020-05-02,Lombardia,533
2020-05-03,Lombardia,526
2020-05-04,Lombardia,577
2020-05-05,Lombardia,500
2020-05-06,Lombardia,764
2020-05-07,Lombardia,720
2020-05-08,Lombardia,634
2020-05-09,Lombardia,502
2020-05-10,Lombardia,282
2020-05-11,Lombardia,364
2020-05-12,Lombardia,1033
2020-05-13,Lombardia,394
2020-05-14,Lombardia,522
2020-05-15,Lombardia,299
2020-05-16,Lombardia,399
2020-05-17,Lombardia,326
2020-05-18,Lombardia,175
2020-05-19,Lombardia,462
2020-05-20,Lombardia,294
2020-05-21,Lombardia,316
2020-05-22,Lombardia,293
2020-05-23,Lombardia,441
