areaType,areaName,areaCode,date,newDaily,cumDaily
region,London,E12000007,2020/3/4,1,1
region,London,E12000007,2020/3/5,0,1
region,London,E12000007,2020/3/6,1,2
region,London,E12000007,2020/3/7,0,2
region,London,E12000007,2020/3/8,0,2
region,London,E12000007,2020/3/9,2,4
region,London,E12000007,2020/3/10,1,5
region,London,E12000007,2020/3/11,2,7
region,London,E12000007,2020/3/12,6,13
region,London,E12000007,2020/3/13,6,19
region,London,E12000007,2020/3/14,10,29
region,London,E12000007,2020/3/15,8,37
region,London,E12000007,2020/3/16,15,52
region,London,E12000007,2020/3/17,26,78
region,London,E12000007,2020/3/18,28,106
region,London,E12000007,2020/3/19,31,137
region,London,E12000007,2020/3/20,50,187
region,London,E12000007,2020/3/21,56,243
region,London,E12000007,2020/3/22,63,306
region,London,E12000007,2020/3/23,69,375
region,London,E12000007,2020/3/24,98,473
region,London,E12000007,2020/3/25,135,608
region,London,E12000007,2020/3/26,146,754
region,London,E12000007,2020/3/27,155,909
region,London,E12000007,2020/3/28,148,1057
region,London,E12000007,2020/3/29,175,1232
region,London,E12000007,2020/3/30,196,1428
region,London,E12000007,2020/3/31,239,1667
region,London,E12000007,2020/4/1,237,1904
region,London,E12000007,2020/4/2,255,2159
region,London,E12000007,2020/4/3,267,2426
region,London,E12000007,2020/4/4,287,2713
region,London,E12000007,2020/4/5,273,2986
region,London,E12000007,2020/4/6,273,3259
region,London,E12000007,2020/4/7,295,3554
region,London,E12000007,2020/4/8,327,3881
region,London,E12000007,2020/4/9,275,4156
region,London,E12000007,2020/4/10,241,4397
region,London,E12000007,2020/4/11,249,4646
region,London,E12000007,2020/4/12,237,4883
region,London,E12000007,2020/4/13,228,5111
region,London,E12000007,2020/4/14,212,5323
region,London,E12000007,2020/4/15,203,5526
region,London,E12000007,2020/4/16,202,5728
region,London,E12000007,2020/4/17,170,5898
region,London,E12000007,2020/4/18,167,6065
region,London,E12000007,2020/4/19,156,6221
region,London,E12000007,2020/4/20,145,6366
