,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
59222,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-02-15,3.0,-1.0,14.0,2.0,-1.0,0.0
59223,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-02-16,6.0,-1.0,29.0,0.0,0.0,-1.0
59224,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-02-17,7.0,-3.0,48.0,-11.0,-38.0,7.0
59225,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-02-18,-1.0,-2.0,9.0,5.0,1.0,0.0
59226,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-02-19,1.0,-2.0,10.0,3.0,1.0,0.0
59227,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-02-20,1.0,0.0,9.0,0.0,0.0,0.0
59228,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-02-21,1.0,0.0,4.0,0.0,2.0,0.0
59229,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-02-22,-2.0,-5.0,-30.0,-9.0,-1.0,2.0
59230,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-02-23,3.0,-2.0,6.0,1.0,2.0,0.0
59231,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-02-24,1.0,-3.0,7.0,1.0,6.0,-1.0
59232,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-02-25,2.0,-1.0,18.0,3.0,5.0,-1.0
59233,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-02-26,4.0,1.0,15.0,4.0,3.0,-1.0
59234,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-02-27,3.0,1.0,10.0,2.0,3.0,-1.0
59235,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-02-28,3.0,3.0,7.0,2.0,5.0,-1.0
59236,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-02-29,4.0,2.0,15.0,-1.0,2.0,-1.0
59237,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-01,2.0,-1.0,-20.0,-4.0,2.0,0.0
59238,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-02,3.0,1.0,-3.0,-3.0,6.0,-1.0
59239,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-03,6.0,5.0,19.0,2.0,4.0,-1.0
59240,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-04,3.0,2.0,14.0,0.0,3.0,0.0
59241,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-05,3.0,3.0,9.0,-2.0,3.0,-1.0
59242,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-06,2.0,4.0,8.0,-4.0,4.0,0.0
59243,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-07,1.0,2.0,9.0,-9.0,2.0,0.0
59244,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-08,2.0,1.0,9.0,-8.0,1.0,0.0
59245,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-09,3.0,2.0,7.0,-6.0,4.0,0.0
59246,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-10,-4.0,-2.0,-32.0,-14.0,-1.0,3.0
59247,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-11,2.0,3.0,7.0,-8.0,0.0,1.0
59248,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-12,-3.0,8.0,-31.0,-19.0,-4.0,4.0
59249,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-13,-4.0,26.0,-38.0,-21.0,-5.0,5.0
59250,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-14,-13.0,17.0,-34.0,-25.0,-6.0,7.0
59251,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-15,-15.0,7.0,-16.0,-24.0,-7.0,6.0
59252,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-16,-11.0,15.0,-18.0,-30.0,-23.0,10.0
59253,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-17,-24.0,8.0,-3.0,-33.0,-31.0,14.0
59254,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-18,-33.0,-4.0,-47.0,-45.0,-39.0,19.0
59255,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-19,-31.0,3.0,-26.0,-48.0,-41.0,19.0
59256,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-20,-41.0,-3.0,-35.0,-51.0,-46.0,23.0
59257,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-21,-49.0,-15.0,-28.0,-55.0,-36.0,17.0
59258,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-22,-51.0,-23.0,-28.0,-60.0,-38.0,15.0
59259,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-23,-43.0,-21.0,-33.0,-59.0,-50.0,22.0
59260,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-24,-43.0,-20.0,-35.0,-56.0,-52.0,23.0
59261,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-25,-44.0,-22.0,-45.0,-58.0,-53.0,24.0
59262,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-26,-45.0,-22.0,-49.0,-62.0,-53.0,25.0
59263,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-27,-45.0,-19.0,-46.0,-61.0,-51.0,25.0
59264,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-28,-50.0,-22.0,-55.0,-62.0,-39.0,18.0
59265,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-29,-50.0,-26.0,-51.0,-64.0,-41.0,15.0
59266,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-30,-42.0,-22.0,-40.0,-60.0,-51.0,22.0
59267,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-03-31,-43.0,-21.0,-46.0,-59.0,-54.0,23.0
59268,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-04-01,-42.0,-18.0,-42.0,-59.0,-54.0,23.0
59269,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-04-02,-44.0,-19.0,-48.0,-62.0,-55.0,25.0
59270,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-04-03,-44.0,-15.0,-52.0,-61.0,-53.0,25.0
59271,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-04-04,-52.0,-23.0,-70.0,-64.0,-41.0,19.0
59272,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-04-05,-54.0,-28.0,-70.0,-69.0,-43.0,16.0
59273,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-04-06,-49.0,-29.0,-71.0,-67.0,-55.0,25.0
59274,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-04-07,-51.0,-29.0,-72.0,-67.0,-57.0,26.0
59275,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-04-08,-49.0,-26.0,-64.0,-66.0,-57.0,26.0
59276,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-04-09,-50.0,-26.0,-70.0,-68.0,-58.0,27.0
59277,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-04-10,-56.0,-34.0,-77.0,-73.0,-60.0,31.0
59278,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-04-11,-49.0,-17.0,-68.0,-63.0,-42.0,19.0
59279,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-04-12,-65.0,-38.0,-75.0,-70.0,-48.0,17.0
59280,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-04-13,-48.0,-29.0,-61.0,-64.0,-53.0,24.0
59281,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-04-14,-45.0,-25.0,-50.0,-60.0,-54.0,24.0
59282,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-04-15,-48.0,-21.0,-50.0,-59.0,-54.0,24.0
59283,US,United States,California,San Diego County,,,6073.0,ChIJHWD_IzDr24ARKAeA6yv9DTU,2020-04-16,-58.0,-18.0,-53.0,-61.0,-53.0,24.0
