,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
18980,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-01,-89.0,-83.0,-69.0,-78.0,-82.0,32.0
18981,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-02,-67.0,-33.0,-58.0,-52.0,-40.0,22.0
18982,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-03,-64.0,-33.0,-55.0,-43.0,-22.0,17.0
18983,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-04,-22.0,0.0,-20.0,-25.0,-24.0,13.0
18984,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-05,-23.0,1.0,-24.0,-25.0,-25.0,14.0
18985,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-06,-25.0,-4.0,-24.0,-27.0,-24.0,14.0
18986,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-07,-27.0,-4.0,-23.0,-26.0,-24.0,14.0
18987,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-08,-30.0,-4.0,-28.0,-28.0,-24.0,15.0
18988,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-09,-57.0,-22.0,-51.0,-41.0,-23.0,18.0
18989,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-10,-58.0,-28.0,-52.0,-41.0,-18.0,15.0
18990,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-11,-26.0,-6.0,-25.0,-28.0,-25.0,13.0
18991,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-12,-29.0,-6.0,-28.0,-29.0,-26.0,14.0
18992,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-13,-32.0,-13.0,-29.0,-31.0,-26.0,13.0
18993,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-14,-33.0,-13.0,-29.0,-33.0,-29.0,14.0
18994,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-15,-35.0,-11.0,-33.0,-33.0,-29.0,14.0
18995,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-16,-63.0,-32.0,-57.0,-47.0,-28.0,17.0
18996,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-17,-64.0,-36.0,-57.0,-46.0,-23.0,14.0
18997,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-18,-31.0,-12.0,-29.0,-33.0,-30.0,12.0
18998,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-19,-33.0,-13.0,-32.0,-34.0,-30.0,13.0
18999,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-20,-34.0,-15.0,-30.0,-34.0,-28.0,13.0
19000,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-21,-34.0,-14.0,-29.0,-34.0,-29.0,14.0
19001,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-22,-36.0,-12.0,-33.0,-34.0,-28.0,14.0
19002,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-23,-63.0,-33.0,-56.0,-47.0,-27.0,17.0
19003,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-24,-63.0,-36.0,-56.0,-46.0,-22.0,14.0
19004,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-25,-32.0,-14.0,-29.0,-34.0,-29.0,13.0
19005,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-26,-34.0,-14.0,-32.0,-33.0,-29.0,13.0
19006,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-27,-34.0,-16.0,-29.0,-34.0,-28.0,13.0
19007,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-28,-33.0,-13.0,-28.0,-33.0,-28.0,14.0
19008,CL,Chile,Santiago Metropolitan Region,,,CL-RM,,ChIJUR74fWpvYpYR2oNLRG3CzWA,2021-01-29,-35.0,-7.0,-42.0,-33.0,-29.0,14.0
