,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
344780,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/2/15,7.0,6.0,4.0,13.0,6.0,-1.0
344781,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/2/16,-4.0,-2.0,-14.0,6.0,-1.0,1.0
344782,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/2/17,4.0,7.0,-13.0,13.0,20.0,-2.0
344783,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/2/18,1.0,0.0,-4.0,12.0,15.0,-2.0
344784,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/2/19,3.0,6.0,-6.0,12.0,14.0,-2.0
344785,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/2/20,3.0,10.0,11.0,13.0,15.0,-3.0
344786,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/2/21,5.0,14.0,5.0,8.0,2.0,1.0
344787,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/2/22,-8.0,7.0,11.0,9.0,-10.0,1.0
344788,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/2/23,8.0,11.0,53.0,23.0,-2.0,1.0
344789,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/2/24,-18.0,-5.0,96.0,-27.0,-56.0,9.0
344790,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/2/25,-29.0,-38.0,112.0,-33.0,-66.0,10.0
344791,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/2/26,-26.0,-13.0,7.0,-32.0,-46.0,7.0
344792,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/2/27,-18.0,-5.0,-27.0,-12.0,-7.0,5.0
344793,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/2/28,-6.0,3.0,-26.0,-5.0,-3.0,5.0
344794,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/2/29,-8.0,3.0,-29.0,-4.0,-1.0,4.0
344795,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/3/1,-31.0,-16.0,-65.0,-22.0,-12.0,8.0
344796,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/3/2,-14.0,0.0,-46.0,-3.0,13.0,3.0
344797,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/3/3,-7.0,1.0,-29.0,5.0,13.0,1.0
344798,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/3/4,-3.0,7.0,-27.0,6.0,14.0,0.0
344799,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/3/5,0.0,7.0,-11.0,9.0,18.0,-1.0
344800,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/3/6,14.0,13.0,-7.0,17.0,21.0,-2.0
344801,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/3/7,10.0,12.0,-11.0,11.0,7.0,0.0
344802,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/3/8,6.0,7.0,-10.0,6.0,2.0,1.0
344803,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/3/9,5.0,9.0,-12.0,14.0,22.0,-2.0
344804,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/3/10,1.0,3.0,-7.0,12.0,16.0,-1.0
344805,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/3/11,1.0,5.0,-12.0,10.0,15.0,-1.0
344806,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/3/12,-3.0,4.0,-4.0,9.0,17.0,-1.0
344807,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/3/13,7.0,13.0,-5.0,13.0,19.0,-1.0
344808,BR,Brazil,State of Rio de Janeiro,,,BR-RJ,,ChIJw4riypQYmAAR0IMFwRrDSQM,2020/3/14,-7.0,11.0,-13.0,-3.0,3.0,2.0
