,name,region,date,value,value_daily
1396,cases,BC,2020-01-29,1,1
1397,cases,BC,2020-01-30,1,0
1398,cases,BC,2020-01-31,1,0
1399,cases,BC,2020-02-01,1,0
1400,cases,BC,2020-02-02,1,0
1401,cases,BC,2020-02-03,1,0
1402,cases,BC,2020-02-04,1,0
1403,cases,BC,2020-02-05,1,0
1404,cases,BC,2020-02-06,2,1
1405,cases,BC,2020-02-07,2,0
1406,cases,BC,2020-02-08,2,0
1407,cases,BC,2020-02-09,2,0
1408,cases,BC,2020-02-10,4,2
1409,cases,BC,2020-02-11,4,0
1410,cases,BC,2020-02-12,4,0
1411,cases,BC,2020-02-13,4,0
1412,cases,BC,2020-02-14,4,0
1413,cases,BC,2020-02-15,4,0
1414,cases,BC,2020-02-16,4,0
1415,cases,BC,2020-02-17,4,0
1416,cases,BC,2020-02-18,5,1
1417,cases,BC,2020-02-19,5,0
1418,cases,BC,2020-02-20,5,0
1419,cases,BC,2020-02-21,5,0
1420,cases,BC,2020-02-22,5,0
1421,cases,BC,2020-02-23,5,0
1422,cases,BC,2020-02-24,7,2
1423,cases,BC,2020-02-25,7,0
1424,cases,BC,2020-02-26,7,0
1425,cases,BC,2020-02-27,7,0
1426,cases,BC,2020-02-28,7,0
1427,cases,BC,2020-02-29,7,0
1428,cases,BC,2020-03-01,7,0
1429,cases,BC,2020-03-02,7,0
1430,cases,BC,2020-03-03,12,5
1431,cases,BC,2020-03-04,12,0
1432,cases,BC,2020-03-05,20,8
1433,cases,BC,2020-03-06,27,7
1434,cases,BC,2020-03-07,28,1
1435,cases,BC,2020-03-08,32,4
1436,cases,BC,2020-03-09,35,3
1437,cases,BC,2020-03-10,45,10
1438,cases,BC,2020-03-11,61,16
1439,cases,BC,2020-03-12,69,8
1440,cases,BC,2020-03-13,85,16
1441,cases,BC,2020-03-14,113,28
1442,cases,BC,2020-03-15,142,29
1443,cases,BC,2020-03-16,189,47
1444,cases,BC,2020-03-17,239,50
1445,cases,BC,2020-03-18,287,48
1446,cases,BC,2020-03-19,344,57
1447,cases,BC,2020-03-20,407,63
1448,cases,BC,2020-03-21,481,74
1449,cases,BC,2020-03-22,533,52
1450,cases,BC,2020-03-23,587,54
1451,cases,BC,2020-03-24,651,64
1452,cases,BC,2020-03-25,732,81
1453,cases,BC,2020-03-26,800,68
1454,cases,BC,2020-03-27,861,61
1455,cases,BC,2020-03-28,927,66
1456,cases,BC,2020-03-29,973,46
1457,cases,BC,2020-03-30,1023,50
1458,cases,BC,2020-03-31,1081,58
1459,cases,BC,2020-04-01,1134,53
1460,cases,BC,2020-04-02,1180,46
1461,cases,BC,2020-04-03,1217,37
1462,cases,BC,2020-04-04,1246,29
1463,cases,BC,2020-04-05,1261,15
1464,cases,BC,2020-04-06,1310,49
1465,cases,BC,2020-04-07,1344,34
1466,cases,BC,2020-04-08,1376,32
1467,cases,BC,2020-04-09,1420,44
1468,cases,BC,2020-04-10,1450,30
1469,cases,BC,2020-04-11,1469,19
1470,cases,BC,2020-04-12,1487,18
1471,cases,BC,2020-04-13,1515,28
1472,cases,BC,2020-04-14,1555,40
1473,cases,BC,2020-04-15,1580,25
1474,cases,BC,2020-04-16,1619,39
1475,cases,BC,2020-04-17,1642,23
1476,cases,BC,2020-04-18,1667,25
1477,cases,BC,2020-04-19,1688,21
1478,cases,BC,2020-04-20,1732,44
1479,cases,BC,2020-04-21,1786,54
1480,cases,BC,2020-04-22,1817,31
1481,cases,BC,2020-04-23,1880,63
1482,cases,BC,2020-04-24,1949,69
1483,cases,BC,2020-04-25,1981,32
1484,cases,BC,2020-04-26,2007,26
1485,cases,BC,2020-04-27,2064,57
1486,cases,BC,2020-04-28,2093,29
1487,cases,BC,2020-04-29,2123,30
1488,cases,BC,2020-04-30,2152,29
1489,cases,BC,2020-05-01,2186,34
1490,cases,BC,2020-05-02,2209,23
1491,cases,BC,2020-05-03,2227,18
1492,cases,BC,2020-05-04,2251,24
1493,cases,BC,2020-05-05,2275,24
1494,cases,BC,2020-05-06,2291,16
1495,cases,BC,2020-05-07,2315,24
1496,cases,BC,2020-05-08,2328,13
1497,cases,BC,2020-05-09,2341,13
1498,cases,BC,2020-05-10,2354,13
1499,cases,BC,2020-05-11,2366,12
1500,cases,BC,2020-05-12,2376,10
1501,cases,BC,2020-05-13,2400,24
1502,cases,BC,2020-05-14,2408,8
1503,cases,BC,2020-05-15,2426,18
1504,cases,BC,2020-05-16,2437,11
1505,cases,BC,2020-05-17,2446,9
1506,cases,BC,2020-05-18,2456,10
1507,cases,BC,2020-05-19,2470,14
1508,cases,BC,2020-05-20,2483,13
1509,cases,BC,2020-05-21,2506,23
1510,cases,BC,2020-05-22,2514,8
1511,cases,BC,2020-05-23,2522,8
1512,cases,BC,2020-05-24,2532,10
1513,cases,BC,2020-05-25,2539,7
1514,cases,BC,2020-05-26,2544,5
1515,cases,BC,2020-05-27,2553,9
1516,cases,BC,2020-05-28,2562,9
1517,cases,BC,2020-05-29,2574,12
1518,cases,BC,2020-05-30,2587,13
1519,cases,BC,2020-05-31,2596,9
1520,cases,BC,2020-06-01,2609,13
1521,cases,BC,2020-06-02,2621,12
1522,cases,BC,2020-06-03,2624,3
1523,cases,BC,2020-06-04,2633,9
1524,cases,BC,2020-06-05,2638,5
1525,cases,BC,2020-06-06,2649,11
1526,cases,BC,2020-06-07,2657,8
1527,cases,BC,2020-06-08,2663,6
1528,cases,BC,2020-06-09,2678,15
1529,cases,BC,2020-06-10,2696,18
1530,cases,BC,2020-06-11,2708,12
1531,cases,BC,2020-06-12,2724,16
1532,cases,BC,2020-06-13,2739,15
1533,cases,BC,2020-06-14,2746,7
1534,cases,BC,2020-06-15,2754,8
1535,cases,BC,2020-06-16,2777,23
1536,cases,BC,2020-06-17,2783,6
1537,cases,BC,2020-06-18,2789,6
1538,cases,BC,2020-06-19,2796,7
1539,cases,BC,2020-06-20,2804,8
