,year_week,deaths
0,2020-05,0
1,2020-06,0
2,2020-07,0
3,2020-08,0
4,2020-09,0
5,2020-10,1
6,2020-11,5
7,2020-12,8
8,2020-13,10
9,2020-14,18
10,2020-15,30
11,2020-16,16
12,2020-17,16
13,2020-18,16
14,2020-19,11
15,2020-20,14
16,2020-21,16
17,2020-22,4
18,2020-23,2
19,2020-24,2
20,2020-25,2
21,2020-26,5
22,2020-27,8
23,2020-28,5
24,2020-29,0
25,2020-30,5
26,2020-31,1
27,2020-32,0
28,2020-33,3
29,2020-34,5
30,2020-35,6
31,2020-36,4
32,2020-37,6
33,2020-38,8
34,2020-39,6
35,2020-40,11
36,2020-41,7
37,2020-42,3
38,2020-43,7
39,2020-44,9
40,2020-45,14
41,2020-46,31
42,2020-47,51
43,2020-48,105
44,2020-49,94
45,2020-50,121
46,2020-51,102
47,2020-52,117
48,2020-53,77
49,2021-01,58
50,2021-02,69
51,2021-03,72
52,2021-04,65
53,2021-05,42
54,2021-06,41
55,2021-07,21
56,2021-08,27
57,2021-09,21
58,2021-10,18
59,2021-11,31
60,2021-12,24
61,2021-13,29
62,2021-14,29
63,2021-15,26
64,2021-16,32
65,2021-17,18
66,2021-18,33
67,2021-19,30
68,2021-20,25
69,2021-21,21
70,2021-22,16
71,2021-23,12
72,2021-24,9
73,2021-25,8
74,2021-26,4
75,2021-27,2
76,2021-28,4
77,2021-29,5
78,2021-30,1
79,2021-31,5
80,2021-32,12
81,2021-33,19
82,2021-34,21
83,2021-35,26
84,2021-36,37
85,2021-37,32
86,2021-38,43
87,2021-39,39
88,2021-40,44
89,2021-41,54
90,2021-42,43
91,2021-43,57
92,2021-44,44
93,2021-45,44
94,2021-46,27
95,2021-47,25
96,2021-48,27
97,2021-49,21
98,2021-50,17
99,2021-51,16
100,2021-52,11
101,2022-01,29
102,2022-02,65
103,2022-03,67
104,2022-04,66
105,2022-05,79
106,2022-06,52
107,2022-07,65
108,2022-08,46
109,2022-09,35
110,2022-10,20
111,2022-11,19
112,2022-12,15
113,2022-13,22
114,2022-14,40
115,2022-15,58
116,2022-16,76
117,2022-17,78
118,2022-18,92
119,2022-19,83
120,2022-20,73
121,2022-21,67
122,2022-22,59
123,2022-23,64
124,2022-24,33
125,2022-25,39
126,2022-26,35
127,2022-27,33
128,2022-28,41
129,2022-29,34
130,2022-30,57
131,2022-31,49
132,2022-32,47
133,2022-33,55
134,2022-34,42
135,2022-35,37
136,2022-36,34
137,2022-37,31
138,2022-38,46
139,2022-39,41
140,2022-40,41
141,2022-41,63
142,2022-42,46
143,2022-43,34
144,2022-44,46
145,2022-45,43
146,2022-46,31
147,2022-47,47
148,2022-48,37
149,2022-49,53
150,2022-50,48
151,2022-51,59
152,2022-52,42
153,2023-01,48
154,2023-02,47
155,2023-03,45
156,2023-04,37
157,2023-05,26
158,2023-06,25
159,2023-07,34
160,2023-08,22
161,2023-09,30
162,2023-10,33
163,2023-11,30
164,2023-12,28
165,2023-13,31
166,2023-14,28
167,2023-15,30
168,2023-16,22
169,2023-17,55
170,2023-18,39
171,2023-19,50
172,2023-20,42
173,2023-21,18
174,2023-22,25
175,2023-23,27
176,2023-24,21
177,2023-25,19
178,2023-26,8
179,2023-27,12
180,2023-28,4
181,2023-29,11
182,2023-30,14
183,2023-31,7
184,2023-32,6
185,2023-33,16
186,2023-34,12
187,2023-35,16
188,2023-36,23
189,2023-37,32
190,2023-38,38
191,2023-39,36
192,2023-40,58
193,2023-41,69
194,2023-42,64
195,2023-43,47
196,2023-44,43
197,2023-45,42
198,2023-46,36
199,2023-47,26
200,2023-48,38
201,2023-49,31
202,2023-50,29
203,2023-51,21
204,2023-52,23
