,date,age,total_number,rV
3322,2020/12/27,45057,0,0
3323,2020/12/27,45279,0,0
0,2020/12/27,20-29,42,4.22E-05
1,2020/12/27,30-39,64,5.58E-05
2,2020/12/27,40-49,142,9.43E-05
3,2020/12/27,50-59,234,0.000145547
4,2020/12/27,60-69,201,0.000168115
5,2020/12/27,70-79,23,2.33E-05
6,2020/12/27,80-89,10,1.63E-05
7,2020/12/27,90+,2,2.08E-05
3324,2020/12/28,45057,0,0
3325,2020/12/28,45279,0,0
8,2020/12/28,20-29,7,7.04E-06
9,2020/12/28,30-39,20,1.74E-05
10,2020/12/28,40-49,29,1.93E-05
11,2020/12/28,50-59,38,2.36E-05
12,2020/12/28,60-69,14,1.17E-05
3326,2020/12/28,70-79,0,0
3327,2020/12/28,80-89,0,0
3328,2020/12/28,90+,0,0
3329,2020/12/29,45057,0,0
3330,2020/12/29,45279,0,0
13,2020/12/29,20-29,11,1.11E-05
14,2020/12/29,30-39,31,2.70E-05
15,2020/12/29,40-49,28,1.86E-05
16,2020/12/29,50-59,25,1.55E-05
17,2020/12/29,60-69,12,1.00E-05
3331,2020/12/29,70-79,0,0
3332,2020/12/29,80-89,0,0
3333,2020/12/29,90+,0,0
3334,2020/12/30,45057,0,0
3335,2020/12/30,45279,0,0
18,2020/12/30,20-29,12,1.21E-05
19,2020/12/30,30-39,36,3.14E-05
20,2020/12/30,40-49,26,1.73E-05
21,2020/12/30,50-59,34,2.11E-05
22,2020/12/30,60-69,6,5.02E-06
23,2020/12/30,70-79,1,1.01E-06
3336,2020/12/30,80-89,0,0
3337,2020/12/30,90+,0,0
3338,2020/12/31,45057,0,0
3339,2020/12/31,45279,0,0
24,2020/12/31,20-29,59,5.93E-05
25,2020/12/31,30-39,160,0.000139375
26,2020/12/31,40-49,158,0.000104921
27,2020/12/31,50-59,249,0.000154877
28,2020/12/31,60-69,88,7.36E-05
29,2020/12/31,70-79,1,1.01E-06
3340,2020/12/31,80-89,0,0
3341,2020/12/31,90+,0,0
3342,2021/1/1,45057,0,0
3343,2021/1/1,45279,0,0
30,2021/1/1,20-29,1,1.01E-06
31,2021/1/1,30-39,6,5.23E-06
32,2021/1/1,40-49,6,3.98E-06
33,2021/1/1,50-59,8,4.98E-06
34,2021/1/1,60-69,3,2.51E-06
35,2021/1/1,70-79,1,1.01E-06
3344,2021/1/1,80-89,0,0
3345,2021/1/1,90+,0,0
3346,2021/1/2,45057,0,0
36,2021/1/2,45279,1,1.30E-06
37,2021/1/2,20-29,28,2.81E-05
38,2021/1/2,30-39,42,3.66E-05
39,2021/1/2,40-49,55,3.65E-05
40,2021/1/2,50-59,52,3.23E-05
41,2021/1/2,60-69,23,1.92E-05
42,2021/1/2,70-79,1,1.01E-06
3347,2021/1/2,80-89,0,0
3348,2021/1/2,90+,0,0
3349,2021/1/3,45057,0,0
3350,2021/1/3,45279,0,0
43,2021/1/3,20-29,89,8.95E-05
44,2021/1/3,30-39,159,0.000138504
45,2021/1/3,40-49,180,0.00011953
46,2021/1/3,50-59,280,0.000174159
47,2021/1/3,60-69,133,0.000111241
48,2021/1/3,70-79,10,1.01E-05
49,2021/1/3,80-89,2,3.26E-06
50,2021/1/3,90+,4,4.16E-05
3351,2021/1/4,45057,0,0
3352,2021/1/4,45279,0,0
51,2021/1/4,20-29,499,0.00050157
52,2021/1/4,30-39,1172,0.001020925
53,2021/1/4,40-49,1450,0.000962882
54,2021/1/4,50-59,1976,0.001229066
55,2021/1/4,60-69,824,0.00068919
56,2021/1/4,70-79,62,6.27E-05
57,2021/1/4,80-89,79,0.000128673
58,2021/1/4,90+,71,0.000738184
3353,2021/1/5,45057,0,0
59,2021/1/5,45279,1,1.30E-06
60,2021/1/5,20-29,687,0.000690538
61,2021/1/5,30-39,1549,0.001349329
62,2021/1/5,40-49,1864,0.001237801
63,2021/1/5,50-59,2552,0.001587336
64,2021/1/5,60-69,1013,0.000847268
65,2021/1/5,70-79,52,5.26E-05
66,2021/1/5,80-89,81,0.00013193
67,2021/1/5,90+,76,0.000790169
3354,2021/1/6,45057,0,0
68,2021/1/6,45279,1,1.30E-06
69,2021/1/6,20-29,814,0.000818192
70,2021/1/6,30-39,1536,0.001338005
71,2021/1/6,40-49,1550,0.001029288
72,2021/1/6,50-59,2158,0.001342269
73,2021/1/6,60-69,1011,0.000845596
74,2021/1/6,70-79,73,7.39E-05
75,2021/1/6,80-89,15,2.44E-05
76,2021/1/6,90+,8,8.32E-05
3355,2021/1/7,45057,0,0
77,2021/1/7,45279,3,3.90E-06
78,2021/1/7,20-29,1022,0.001027264
79,2021/1/7,30-39,2095,0.001824948
80,2021/1/7,40-49,2616,0.001737172
81,2021/1/7,50-59,3655,0.002273399
