,C1M_School.closing,Date,datetime
0,0,20200101,2020/1/1
1,0,20200102,2020/1/2
2,0,20200103,2020/1/3
3,0,20200104,2020/1/4
4,0,20200105,2020/1/5
5,0,20200106,2020/1/6
6,0,20200107,2020/1/7
7,0,20200108,2020/1/8
8,0,20200109,2020/1/9
9,0,20200110,2020/1/10
10,0,20200111,2020/1/11
11,0,20200112,2020/1/12
12,0,20200113,2020/1/13
13,0,20200114,2020/1/14
14,0,20200115,2020/1/15
15,0,20200116,2020/1/16
16,0,20200117,2020/1/17
17,0,20200118,2020/1/18
18,0,20200119,2020/1/19
19,0,20200120,2020/1/20
20,0,20200121,2020/1/21
21,0,20200122,2020/1/22
22,0,20200123,2020/1/23
23,0,20200124,2020/1/24
24,0,20200125,2020/1/25
25,0,20200126,2020/1/26
26,0,20200127,2020/1/27
27,0,20200128,2020/1/28
28,0,20200129,2020/1/29
29,0,20200130,2020/1/30
30,0,20200131,2020/1/31
31,0,20200201,2020/2/1
32,0,20200202,2020/2/2
33,0,20200203,2020/2/3
34,0,20200204,2020/2/4
35,0,20200205,2020/2/5
36,0,20200206,2020/2/6
37,0,20200207,2020/2/7
38,0,20200208,2020/2/8
39,0,20200209,2020/2/9
40,0,20200210,2020/2/10
41,0,20200211,2020/2/11
42,0,20200212,2020/2/12
43,0,20200213,2020/2/13
44,0,20200214,2020/2/14
45,0,20200215,2020/2/15
46,0,20200216,2020/2/16
47,0,20200217,2020/2/17
48,0,20200218,2020/2/18
49,0,20200219,2020/2/19
50,0,20200220,2020/2/20
51,0,20200221,2020/2/21
52,0,20200222,2020/2/22
53,3,20200223,2020/2/23
54,3,20200224,2020/2/24
55,3,20200225,2020/2/25
56,3,20200226,2020/2/26
57,3,20200227,2020/2/27
58,3,20200228,2020/2/28
59,3,20200229,2020/2/29
60,3,20200301,2020/3/1
61,3,20200302,2020/3/2
62,3,20200303,2020/3/3
63,3,20200304,2020/3/4
64,3,20200305,2020/3/5
65,3,20200306,2020/3/6
66,3,20200307,2020/3/7
67,3,20200308,2020/3/8
68,3,20200309,2020/3/9
69,3,20200310,2020/3/10
70,3,20200311,2020/3/11
71,3,20200312,2020/3/12
72,3,20200313,2020/3/13
73,3,20200314,2020/3/14
74,3,20200315,2020/3/15
75,3,20200316,2020/3/16
76,3,20200317,2020/3/17
77,3,20200318,2020/3/18
78,3,20200319,2020/3/19
79,3,20200320,2020/3/20
80,3,20200321,2020/3/21
81,3,20200322,2020/3/22
82,3,20200323,2020/3/23
83,3,20200324,2020/3/24
84,3,20200325,2020/3/25
85,3,20200326,2020/3/26
86,3,20200327,2020/3/27
87,3,20200328,2020/3/28
88,3,20200329,2020/3/29
89,3,20200330,2020/3/30
90,3,20200331,2020/3/31
91,3,20200401,2020/4/1
92,3,20200402,2020/4/2
93,3,20200403,2020/4/3
94,3,20200404,2020/4/4
95,3,20200405,2020/4/5
96,3,20200406,2020/4/6
97,3,20200407,2020/4/7
98,3,20200408,2020/4/8
99,3,20200409,2020/4/9
100,3,20200410,2020/4/10
101,3,20200411,2020/4/11
102,3,20200412,2020/4/12
103,3,20200413,2020/4/13
104,3,20200414,2020/4/14
105,3,20200415,2020/4/15
106,3,20200416,2020/4/16
107,3,20200417,2020/4/17
108,3,20200418,2020/4/18
109,3,20200419,2020/4/19
