,year_week,deaths
1,2020-45,127
2,2020-46,124
3,2020-47,200
4,2020-48,226
5,2020-49,201
6,2020-50,246
7,2020-51,332
8,2020-52,588
9,2020-53,956
10,2021-01,1310
11,2021-02,1457
12,2021-03,1356
13,2021-04,963
14,2021-05,722
15,2021-06,480
16,2021-07,379
17,2021-08,224
18,2021-09,172
19,2021-10,96
20,2021-11,75
21,2021-12,54
22,2021-13,36
23,2021-14,34
24,2021-15,25
25,2021-16,14
26,2021-17,17
27,2021-18,14
28,2021-19,9
29,2021-20,11
30,2021-21,15
31,2021-22,10
32,2021-23,17
33,2021-24,13
34,2021-25,11
35,2021-26,20
