year_week,oth_red
2020-07,0.825063971
2020-08,1.006132878
2020-09,0.990257248
2020-10,0.967860189
2020-11,0.800402626
2020-12,0.405880252
2020-13,0.078823845
2020-14,0.053755357
2020-15,0.05446271
2020-16,0.056093487
2020-17,0.071903782
2020-18,0.069138655
2020-19,0.083448739
2020-20,0.098015231
2020-21,0.122480882
2020-22,0.136450525
2020-23,0.141998739
2020-24,0.158609874
2020-25,0.207366176
2020-26,0.221711555
2020-27,0.243971113
2020-28,0.279088761
2020-29,0.305134454
2020-30,0.321683929
2020-31,0.340390231
2020-32,0.355131933
2020-33,0.354395903
2020-34,0.37397584
2020-35,0.412299475
2020-36,0.416233824
2020-37,0.441409454
2020-38,0.441159139
2020-39,0.408405252
2020-40,0.390376576
2020-41,0.408947479
2020-42,0.387560399
2020-43,0.369721008
2020-44,0.376041912
2020-45,0.33043645
2020-46,0.202165966
2020-47,0.208166912
2020-48,0.215802101
2020-49,0.340662605
2020-50,0.372226155
2020-51,0.308617227
2020-52,0.127017227
2020-53,0.105110399
2021-01,0.114420168
2021-02,0.110372269
2021-03,0.113871849
2021-04,0.123522269
2021-05,0.128418908
2021-06,0.130708508
2021-07,0.159676366
2021-08,0.17591229
2021-09,0.172417962
2021-10,0.196434664
2021-11,0.206031723
2021-12,0.21312563
2021-13,0.233779832
2021-14,0.205546534
2021-15,0.372208613
2021-16,0.383092962
2021-17,0.376114811
2021-18,0.350564811
2021-19,0.378719748
2021-20,0.425854517
2021-21,0.479059244
2021-22,0.470655042
2021-23,0.495602521
2021-24,0.460621113
2021-25,0.476902836
2021-26,0.476101155
2021-27,0.508169328
2021-28,0.484980147
2021-29,0.48106208
2021-30,0.478955042
2021-31,0.474131303
2021-32,0.501310609
2021-33,0.48757416
2021-34,0.530180252
2021-35,0.534848634
2021-36,0.57525021
2021-37,0.568029202
2021-38,0.608067122
2021-39,0.581611975
2021-40,0.583407248
2021-41,0.579910504
2021-42,0.584711975
2021-43,0.595315231
2021-44,0.604952941
2021-45,0.599946324
2021-46,0.614195168
2021-47,0.604108824
2021-48,0.601859034
2021-49,0.58443855
2021-50,0.527743067
2021-51,0.361119538
2021-52,0.341805147
