year_week,work_red
2020-07,0.937276923
2020-08,0.822686017
2020-09,1.012875424
2020-10,1.012638136
2020-11,0.910827542
2020-12,0.43006822
2020-13,0.102669915
2020-14,0.077230638
2020-15,0.068854237
2020-16,0.084959149
2020-17,0.102622034
2020-18,0.110697458
2020-19,0.113930085
2020-20,0.141547034
2020-21,0.160441949
2020-22,0.193009322
2020-23,0.211784322
2020-24,0.252444915
2020-25,0.277494068
2020-26,0.27552839
2020-27,0.300510593
2020-28,0.319338559
2020-29,0.328488559
2020-30,0.329616034
2020-31,0.320610169
2020-32,0.322175
2020-33,0.314466809
2020-34,0.320442534
2020-35,0.318324434
2020-36,0.317421622
2020-37,0.371532328
2020-38,0.397586441
2020-39,0.397252542
2020-40,0.40294322
2020-41,0.428113136
2020-42,0.425795339
2020-43,0.414270339
2020-44,0.363506356
2020-45,0.328960593
2020-46,0.286780508
2020-47,0.296379661
2020-48,0.307597458
2020-49,0.414959746
2020-50,0.420662288
2020-51,0.34066822
2020-52,0.151439831
2020-53,0.148901695
2021-01,0.210522034
2021-02,0.200432203
2021-03,0.202546186
2021-04,0.208524153
2021-05,0.214137975
2021-06,0.217274576
2021-07,0.223891949
2021-08,0.254234746
2021-09,0.257373729
2021-10,0.292866949
2021-11,0.301179237
2021-12,0.303436864
2021-13,0.262972881
2021-14,0.253823207
2021-15,0.312175424
2021-16,0.384554237
2021-17,0.388397881
2021-18,0.363898729
2021-19,0.396661017
2021-20,0.431558475
2021-21,0.445123305
2021-22,0.36592839
2021-23,0.479790254
2021-24,0.475183475
2021-25,0.478034746
2021-26,0.471792373
2021-27,0.476115254
2021-28,0.458390717
2021-29,0.424534746
2021-30,0.396803376
2021-31,0.382229237
2021-32,0.388852542
2021-33,0.397155508
2021-34,0.38992766
2021-35,0.407332203
2021-36,0.467439407
2021-37,0.453776695
2021-38,0.475777119
2021-39,0.464172881
2021-40,0.484225
2021-41,0.492013983
2021-42,0.479004237
2021-43,0.421632203
2021-44,0.493708475
2021-45,0.504700424
2021-46,0.510993644
2021-47,0.507127966
2021-48,0.514495359
2021-49,0.528411017
2021-50,0.453195339
2021-51,0.182525847
2021-52,0.078661765
