,date,agegroup,n,rV
0,2021-01-18,1,0,0.0
1,2021-01-18,2,1,1.659930392478922e-07
2,2021-01-18,3,257,3.710428353794108e-05
3,2021-01-18,4,364,4.768750326705251e-05
4,2021-01-18,5,243,3.563177333617214e-05
5,2021-01-18,6,151,2.6919191261923557e-05
6,2021-01-18,7,69,1.6514201495277177e-05
7,2021-01-18,8,21,6.217809880099899e-06
8,2021-01-19,1,0,0.0
9,2021-01-19,2,7,1.1619512747352453e-06
10,2021-01-19,3,1371,0.0001979376370837
11,2021-01-19,4,3198,0.0004189687787033
12,2021-01-19,5,2380,0.0003489860927575
13,2021-01-19,6,1356,0.0002417379029878
14,2021-01-19,7,590,0.0001412083895972
15,2021-01-19,8,135,3.997163494349936e-05
16,2021-01-20,1,2,3.2891609975235906e-07
17,2021-01-20,2,110,1.825923431726814e-05
18,2021-01-20,3,4853,0.0007006501478973
19,2021-01-20,4,9300,0.0012183895065483
20,2021-01-20,5,7439,0.0010908014890855
21,2021-01-20,6,4622,0.0008239768345206
22,2021-01-20,7,1907,0.0004564142355288
23,2021-01-20,8,1024,0.000303192253201
24,2021-01-21,1,3,4.933741496285386e-07
25,2021-01-21,2,380,6.307735491419903e-05
26,2021-01-21,3,15617,0.0022546988171674
27,2021-01-21,4,27556,0.0036101012088651
28,2021-01-21,5,22899,0.0033577447638889
29,2021-01-21,6,12855,0.0022916967130597
30,2021-01-21,7,4672,0.0011181789766077
31,2021-01-21,8,2907,0.0008607225391166
32,2021-01-22,1,13,2.137954648390334e-06
33,2021-01-22,2,656,0.0001088914337466
34,2021-01-22,3,20816,0.0030053025919291
35,2021-01-22,4,37718,0.0049414210116117
36,2021-01-22,5,32110,0.0047083795959855
37,2021-01-22,6,17411,0.0031039075434526
38,2021-01-22,7,7195,0.0017220243443263
39,2021-01-22,8,10413,0.0030831454419752
40,2021-01-23,1,2,3.2891609975235906e-07
41,2021-01-23,2,148,2.456696980868804e-05
42,2021-01-23,3,4925,0.0007110451222737
43,2021-01-23,4,9042,0.0011845890234634
44,2021-01-23,5,7652,0.0011220342780592
45,2021-01-23,6,3724,0.0006638878692675
46,2021-01-23,7,1464,0.0003503882752041
