id,Delta,R0,i0_q,r0_q,start_week_delta,t_alpha_delta
9002,62.0,1.454413910437577,0.0026618776485196685,0.314996720512049,6.0,35.0
9003,41.0,1.3038243599596686,0.004471590795010316,0.26187655542488764,7.0,14.0
9004,40.0,1.3646003991921303,0.0025220399235917406,0.2511840546074485,7.0,19.0
9005,45.0,1.5155637027926616,0.0024105664729782185,0.32481850510388516,7.0,32.0
9006,45.0,1.3077234708576628,0.0028267791517766613,0.24487579272387838,7.0,10.0
9007,41.0,1.200994007822393,0.0032327283010423406,0.16596555344594394,7.0,11.0
9008,41.0,1.3922624139968265,0.0019281287009627526,0.26042968197715255,6.0,13.0
9009,37.0,1.3745726677787766,0.0020093813782071854,0.2544981390858962,7.0,22.0
9010,47.0,1.6064133856627043,0.0033163493868002786,0.3890605763901942,7.0,4.0
9011,46.0,1.3254069749222497,0.0036424620905323394,0.2590013935844735,7.0,3.0
9012,50.0,1.160875167352574,0.002584020256433439,0.13738659059071698,5.0,5.0
9013,58.0,1.3857687162359849,0.00228266836518554,0.25975355800107786,5.0,29.0
9014,62.0,1.0992188277413353,0.003120989643107905,0.1252285083671378,7.0,8.0
9015,60.0,1.1507614151037067,0.004311143435750142,0.17661721541989955,7.0,38.0
9016,60.0,1.4080192253275163,0.0033840917420034674,0.32730735698849034,7.0,5.0
9017,57.0,1.13216635291011,0.0017657326450754537,0.11344973227845369,6.0,5.0
9018,61.0,1.1971476436980912,0.002689939821592487,0.1876542997598104,6.0,27.0
9019,59.0,1.1539188902218904,0.0021421351480854136,0.15174461585923413,6.0,42.0
9020,61.0,1.2037647877256343,0.004713543006930599,0.174344068058492,4.0,8.0
9021,52.0,1.4455481223638529,0.0028616932988186033,0.30700308824949146,5.0,25.0
9022,52.0,1.473170114036205,0.0024226083579413603,0.33189983781129045,7.0,42.0
9023,45.0,1.2169358275074915,0.00425187046705252,0.1950262056538831,6.0,38.0
9024,61.0,1.1766283463965068,0.0050889832537420595,0.17911568575723347,6.0,0.0
9025,61.0,1.197617203463086,0.00482957342682701,0.21031033944807254,6.0,30.0
9026,60.0,1.4122095259690053,0.003085912743672872,0.30606839867493546,6.0,34.0
9027,60.0,1.249030554584857,0.003998774047295736,0.25440942032509084,7.0,1.0
9028,50.0,1.221126102053293,0.003952296196223153,0.18448808070364617,7.0,33.0
9029,51.0,1.6213297146307526,0.0027867450615183358,0.37979742657369286,7.0,31.0
9030,63.0,1.2670994381427696,0.002354380920578922,0.2228394654902508,5.0,40.0
9031,54.0,1.5224314281202076,0.0032949788507720696,0.35227242054370633,4.0,15.0
9032,60.0,1.4659436611158878,0.0038579631877930383,0.34198496737217027,7.0,26.0
9033,50.0,1.3041877972003595,0.003109121187858139,0.21670159790981733,6.0,10.0
9034,48.0,1.4002601186769523,0.002044580168774302,0.2636261677737499,3.0,37.0
9035,52.0,1.31481830067858,0.004785775421422174,0.2698370059220473,7.0,38.0
9036,60.0,1.300949003303026,0.001817981783625727,0.23172178443198221,5.0,4.0
9037,50.0,1.2020346580050034,0.0022653330925898594,0.15608855264924307,7.0,41.0
9038,59.0,1.3223783273499268,0.002188842589248991,0.24746332241471453,6.0,2.0
9039,60.0,1.6094492126616682,0.0021146270091827683,0.361233967143274,7.0,2.0
9040,47.0,1.3616976922932895,0.00234797287053434,0.2600614092027946,6.0,13.0
9041,52.0,1.6171014825372882,0.0022564788773562993,0.3655279027192927,7.0,6.0
9042,50.0,1.2334344611614974,0.004652521135650637,0.23717102222126762,7.0,12.0
9043,60.0,1.6510468435715273,0.003071929699432038,0.373631852376665,5.0,26.0
9044,63.0,1.541051364726683,0.0025436609710325006,0.3458676248470085,6.0,2.0
9045,63.0,1.2020062801730809,0.0019259993731152725,0.16062156304803601,5.0,8.0
9046,50.0,1.3760732541671967,0.0022783162075253713,0.26472274316962,7.0,21.0
9047,61.0,1.6210931941179842,0.002846849979346656,0.3752748171968635,3.0,6.0
9048,50.0,1.2221268771997988,0.003640439329300593,0.18706103534708612,6.0,7.0
9049,59.0,1.3449225127558448,0.005150388509124228,0.28389158441422235,6.0,42.0
9050,59.0,1.2450211600252963,0.004463583814261208,0.2053760938114102,6.0,30.0
9051,63.0,1.1345855451176756,0.003713781622146181,0.14476298258540332,6.0,35.0
9052,45.0,1.3613174717742256,0.00416964168927155,0.29203889725648624,7.0,11.0
9053,11.0,1.4322429714894507,0.0013187116029601555,0.25949373668180564,3.0,11.0
9054,56.0,1.131655693537031,0.0023871174255188513,0.13443862539356208,6.0,3.0
9055,60.0,1.4637218350539731,0.0031988509510284127,0.30422783160571076,6.0,4.0
9056,54.0,1.4542573051057248,0.003393414296413492,0.33914820032103665,6.0,34.0
9057,52.0,1.170023713249964,0.0038385878517877806,0.14510156276919944,5.0,31.0
9058,54.0,1.374418997511349,0.0035730009145991544,0.2973611172613311,5.0,34.0
9059,61.0,1.3034935871140028,0.004679789316249587,0.271069836225987,6.0,7.0
9060,61.0,1.3793983279262894,0.0033688299921883413,0.3102481638941616,6.0,24.0
9061,57.0,1.375241670818886,0.0025749109020858085,0.25939792644961013,4.0,41.0
9062,61.0,1.3697604920985722,0.0017667658464703556,0.2569295060464758,4.0,3.0
9063,44.0,1.142006386246353,0.0030784495383207153,0.1237720162107027,7.0,20.0
9064,41.0,1.6416509470391132,0.0017354174058860068,0.3739479518415708,7.0,14.0
9065,63.0,1.4345025200226391,0.0023039130616959594,0.3112029601227729,7.0,40.0
9066,51.0,1.2847064168529265,0.0023053428262711424,0.20733148928807002,6.0,38.0
9067,48.0,1.1457251470160301,0.003376463947126802,0.13010051831667807,6.0,30.0
9068,60.0,1.439136559927804,0.003171672892250321,0.30663688358127306,3.0,9.0
9069,56.0,1.477836665686876,0.002826149106189182,0.31004929749762156,7.0,32.0
9070,57.0,1.2688209715919432,0.0029184976276270254,0.2282207076264003,5.0,13.0
9071,62.0,1.5634166906698663,0.003321485729715773,0.3415458974773518,4.0,8.0
9072,52.0,1.3162876819798346,0.003717012996362515,0.268480131971787,7.0,2.0
9073,58.0,1.6019169463788214,0.0027191033783953737,0.3737971144048204,5.0,15.0
9074,49.0,1.430116133263685,0.0025019379725968916,0.30173606177338,7.0,7.0
9075,48.0,1.3662621571076272,0.003105845574080666,0.2912152087817145,7.0,30.0
9076,55.0,1.2976999694829745,0.0039012333223709013,0.26214101354876934,5.0,14.0
9077,52.0,1.6991581260069544,0.0027539078480911016,0.386344933857294,6.0,10.0
9078,53.0,1.2851218653894687,0.002691127576871867,0.21090874292064532,7.0,9.0
