id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,58.0,1.4717156655673038,0.277810794707141,0.544370631775517,0.004010303590509154,1.0754928109326454,0.31632019362491237,5.0,21.0
9003,61.0,1.3930985704091525,0.49468963915188047,-8.106213993113295,0.004701155246057501,1.0482975202929734,0.3323436465626667,7.0,11.0
9004,54.0,1.5206721778619325,-2.2155362876111386,-0.7479261685139393,0.003390706626255145,1.1285818030512695,0.3290482296536804,4.0,40.0
9005,48.0,1.257330922478338,-6.555207769887129,-4.825988775529623,0.0017508247389591007,1.0176157606993657,0.19188474484992904,7.0,8.0
9006,62.0,1.244792460521143,-5.787294822841162,-8.895354286281155,0.004337307899642171,1.4044288089924084,0.2333019130361098,6.0,19.0
9007,53.0,1.4765243519202247,-7.930453358478735,-7.539517566867219,0.002978096909240696,1.3072546106927154,0.3373785950013195,7.0,34.0
9008,59.0,1.4758875831082159,-9.197647997337036,-5.203919281567062,0.00303434341336448,1.3380206982531966,0.34190893598960315,5.0,27.0
9009,52.0,1.5575400476282262,-4.485542730950869,1.1229098707711211,0.004329192160381694,1.2646601660076786,0.35147296331172784,6.0,32.0
9010,35.0,1.5396835901301185,-6.364749106888887,-4.389965593588396,0.003240898964353594,1.1729628263384821,0.34943368268712627,6.0,0.0
9011,63.0,1.0699867085158048,-4.534242372896445,-4.995654021008041,0.003945138390523046,1.218352787304865,0.12605238447329323,7.0,27.0
9012,55.0,1.222318682309883,-8.777150989691012,-3.10941233625442,0.003737843975811386,1.4145818907085896,0.1797839264933023,5.0,16.0
9013,46.0,1.3416264771876818,-9.041409408458664,0.07985051221417044,0.002350025824689537,1.4865487236609873,0.2423117863042124,7.0,21.0
9014,59.0,1.306793135689204,-1.6733793677483346,-3.603058209666283,0.00246478149521573,1.1288020000712993,0.27632554483499727,6.0,5.0
9015,55.0,1.346420711801906,-6.6529214000409755,-8.134503371906966,0.00358059585835543,1.4087832524462576,0.24822258223861873,4.0,2.0
9016,41.0,1.2054441671706626,-7.976226882012511,-0.8958336500115966,0.004236770511816799,1.2216251348386722,0.18998913252376903,7.0,38.0
9017,62.0,1.2133699989459306,-3.649173407215915,0.33440043016647386,0.0026454067674103114,1.146319319468809,0.1890151401656428,6.0,29.0
9018,55.0,1.1941685634530061,-2.5317250526037025,0.21711911730891564,0.004063578389443653,1.0427486885229764,0.19522908342001474,6.0,31.0
9019,57.0,1.420699361274043,-5.049062609109317,-7.268707040700736,0.004179030058804519,1.3054036156803503,0.3362888560297514,7.0,14.0
9020,47.0,1.4311551868587118,-4.904683704675827,0.21442496682902196,0.003848848529305889,1.4371582375947987,0.30589245391889797,6.0,6.0
9021,45.0,1.666170631566168,-2.893040398642473,-8.052336123693838,0.001630959227240262,1.0160840737578827,0.3930394954118127,7.0,10.0
9022,61.0,1.6046527456243542,-4.648823865951741,1.3494628834105078,0.003863902619782874,1.4234665391526193,0.3715158648983203,5.0,7.0
9023,54.0,1.3670678532257043,-8.361226088859016,-1.0911497530496619,0.002448484903569532,1.312703224671225,0.2857896774078634,6.0,39.0
9024,54.0,1.4067163905372428,-5.622612676494721,-7.860694636210428,0.0037543156527318406,1.411225432628458,0.3193974841295713,6.0,16.0
9025,61.0,1.2664664749096939,2.0092204578052457,-3.853152323098129,0.0028325045980291076,1.0685512485914122,0.2562398490863644,7.0,20.0
9026,56.0,1.4603663743556639,-7.577328770362931,-8.948161493131025,0.0035949253856477595,1.0901605687898726,0.3205073221144086,7.0,41.0
9027,62.0,1.4908489051626825,-8.547433178132861,-6.422604582573566,0.002380359352601485,1.0624919924192382,0.3363196694908145,6.0,34.0
9028,51.0,1.4264542361480799,-4.496475979574583,-9.122236412180087,0.004634428750166604,1.0673489199397932,0.32103207140219076,6.0,37.0
9029,41.0,1.6436281100386427,-8.596666483749814,-6.138391657521446,0.002521370240984049,1.209324970885476,0.3775280569474324,6.0,39.0
9030,61.0,1.477303330223536,-5.5054277672829794,-0.7486920915001654,0.0031830909274805836,1.490854725105851,0.3283156391203716,5.0,18.0
9031,61.0,1.43477258570423,-7.339409603724864,-2.241410698092702,0.002720741012965917,1.1428121580289368,0.33336620535195066,7.0,29.0
9032,46.0,1.396857721679055,-5.506369691223266,-0.9225225173097475,0.004858191469433556,1.088360297532508,0.30682462558579393,6.0,25.0
9033,61.0,1.1298088270222357,-8.532981698786827,-8.302914256503705,0.003257460107879043,1.097154360661245,0.15894153218395488,6.0,5.0
9034,52.0,1.218500075738704,-7.364235987057697,-5.4716277930343065,0.003141899406552015,1.3584440945550362,0.22184794684601428,7.0,17.0
9035,63.0,1.4125567849812382,-7.741276038643715,-5.793512753390791,0.0023687594836411877,1.2714900784956091,0.28402809283628433,4.0,30.0
9036,59.0,1.5876607689481073,-6.76720675300548,-3.4506620959384033,0.0028427016625836177,1.4842703058824451,0.37859739687697597,7.0,11.0
