id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,47.0,1.1097600001036563,-3.063620802540733,-3.6206854049570603,0.003714050134780391,1.2863869337106677,0.11916992690802146,7.0,2.0
9003,56.0,1.453413434716898,-5.800776470433628,0.29175918324433164,0.0036027542939580906,1.014926256236233,0.3315162281096195,5.0,25.0
9004,53.0,1.3648910439117485,0.5948299476874483,-7.70463637857,0.004649800870549474,1.2114118246124927,0.2744599331311665,6.0,37.0
9005,50.0,1.5076609760402575,-1.3315051080882654,0.007347907865076664,0.0021131339719055427,1.196241231459967,0.32884888667474543,6.0,21.0
9006,44.0,1.3712337140778845,-5.038552405474276,2.0623751180579832,0.00266728310716505,1.2985197654437417,0.2819260870671541,7.0,5.0
9007,53.0,1.2167606416580776,0.3970658229156978,-7.859381180512083,0.002436094792801155,1.2854978226010583,0.2135204937945911,7.0,1.0
9008,60.0,1.4235947873907326,-8.058399239921043,-5.634836090618395,0.0030651610235570875,1.1771594993238765,0.28805196028252733,6.0,33.0
9009,44.0,1.2184601807775886,-2.727465191410428,1.5673273955526026,0.003088697811551569,1.3093325027895693,0.1571142283087426,6.0,36.0
9010,57.0,1.1624574507801961,-6.168936382823338,-3.743116595024159,0.001572195978854954,1.3103479136000697,0.12612415273684555,6.0,33.0
9011,58.0,1.2107455560582758,-8.600063005795917,0.9579272121625731,0.003525591847340102,1.3907189716018475,0.2033237012333846,6.0,12.0
9012,44.0,1.3570707489169516,-4.724111428204669,-7.147423719711542,0.0017093709097725862,1.3886956290992427,0.23293554278883669,7.0,17.0
9013,52.0,1.3756209644413173,1.2165587236888893,-3.7017019128409263,0.0038344873030755834,1.0890764137088567,0.30164107612953767,7.0,42.0
9014,60.0,1.2260438644674196,-5.48283556973555,-4.746053305353808,0.0030382140769263837,1.3894429416560055,0.22305120130956013,7.0,34.0
9015,52.0,1.33780218056509,0.07474863485940986,-1.6210402123786136,0.00256649375276597,1.0775795832086,0.29003654352170466,7.0,16.0
9016,57.0,1.341443357220079,-7.282041482422621,-8.010258973675477,0.0033899268649070597,1.0411156676559534,0.2546627684564454,6.0,27.0
9017,49.0,1.5446224003541043,-7.219810835564859,-8.420410981260044,0.002049745689294685,1.0787831927945044,0.35811308364259004,7.0,4.0
9018,36.0,1.6109193608913999,-8.07712983624542,-1.2627975930387865,0.0032605907619019086,1.0421950385797587,0.3700439145705132,7.0,39.0
9019,46.0,1.4002017548961454,-6.265259775398024,-2.2815599608768036,0.004439259530533463,1.4151550682054848,0.32097493998911225,7.0,38.0
9020,47.0,1.3050607437035264,-2.9901911227770834,0.2605314302126313,0.003886585281274467,1.2898569025686613,0.25580475063261887,7.0,6.0
9021,62.0,1.1666379774960058,-6.729741012131924,-8.331967889647899,0.002242210461789412,1.151694849915585,0.15431907121632446,7.0,16.0
9022,62.0,1.3225946677321139,-0.12364854919092116,-5.681378139897509,0.0031192096647020603,1.408919916378894,0.24685239070219334,5.0,39.0
9023,58.0,1.3995534310211915,-3.6163662041945135,-8.161780171610735,0.0012865053590797946,1.075309172881273,0.2695856778789534,5.0,6.0
9024,59.0,1.2381207063063207,-0.9124682191606301,0.09312575678341817,0.002984635804886969,1.3552351136236012,0.23591140755152726,5.0,8.0
9025,47.0,1.504084294792012,-7.845685959627864,-8.189684292153535,0.001865373855965414,1.0383705237712666,0.33064976416440395,7.0,29.0
9026,56.0,1.1490735089025712,-8.807632025939036,-0.5020558893475707,0.002322284378989768,1.117233355068418,0.12038678573227574,6.0,6.0
9027,61.0,1.289228231137768,-5.778242691360827,-4.534734230852014,0.003421085494060674,1.2915403536365297,0.22601766224708053,5.0,15.0
9028,59.0,1.6194393439614714,-3.395736067956022,-1.906022388854932,0.0026644671275057987,1.2836132268627845,0.37768908772046494,7.0,39.0
9029,58.0,1.1938077176166506,-7.276885436924732,-7.958754493315006,0.00212480769721311,1.3201744132345459,0.16816199943618215,7.0,39.0
9030,61.0,1.5227384663062897,-9.090863657906976,-6.962203004917816,0.003988200578040441,1.2619565540448376,0.3523835339393054,6.0,6.0
9031,60.0,1.2793516075880016,-8.20085404781166,-8.746878489437337,0.004492763180111957,1.2575726649073182,0.23484523318718448,5.0,5.0
9032,58.0,1.1423751561328772,-6.833445924741038,0.5756597272552272,0.002493949090201201,1.1142166493220154,0.13207147482353385,5.0,6.0
9033,61.0,1.22013566028638,-7.653354690532539,-7.89576929281493,0.0032161424746118077,1.0330613342103323,0.20418658306898202,7.0,6.0
9034,61.0,1.0861944737953726,-3.9992352124393893,-1.8561781917298423,0.004333891926301914,1.0793970165001643,0.10737763297902157,4.0,22.0
9035,57.0,1.2358592859481834,0.10259472384929014,-6.1889545373667385,0.0030047169620014257,1.104354492381333,0.19171738745934347,3.0,3.0
9036,49.0,1.216776672956524,-7.212723107080776,-0.3490557814372106,0.002810156680353501,1.2375413740215877,0.18656479432977177,7.0,26.0
9037,60.0,1.4248308943134256,-4.704049216802035,-6.290731378683606,0.0022072915641951157,1.227813365267542,0.2729819137356651,6.0,14.0
9038,57.0,1.426787064021744,-2.329938554391471,-6.398749550878815,0.00431596779624718,1.3521088210528445,0.3300753719442016,6.0,10.0
9039,58.0,1.3921292820637032,-6.446220972115193,-3.196842578673501,0.00275554422767346,1.3638871142723528,0.27611299972066594,6.0,23.0
9040,56.0,1.4872874835630547,-1.1047053227904433,1.3268810289573063,0.0039666797425101,1.2257517136104448,0.33533526603030983,5.0,28.0
9041,48.0,1.4907293093147742,-8.027807576959216,-5.045056296389929,0.0035704752079315505,1.462837942328645,0.3368472169086433,7.0,34.0
9042,54.0,1.4521143002029557,-2.341078881460163,-3.19707504694,0.004537364386833285,1.0989733141421831,0.3242128056646519,5.0,17.0
9043,52.0,1.2729445083924085,0.021411463165882383,-7.934397263299557,0.0023562362102579034,1.159319716509149,0.21185272382738637,6.0,16.0
9044,44.0,1.1980674635434734,-8.808451243623475,-0.8093948188314868,0.0021231021360225144,1.0577249654302612,0.14209624698189005,6.0,15.0
9045,56.0,1.2316398675884193,0.9543087557080947,-5.072436256805453,0.0035767555895543784,1.0105429345412908,0.2116340759830301,5.0,42.0
9046,47.0,1.5212014088226398,-1.1079541094796501,-3.622625745388132,0.0025493070293337392,1.3309697162504617,0.326578975031514,6.0,34.0
9047,56.0,1.6210471878545096,-4.0678237974002975,-1.5598309765455,0.0027842819276236996,1.4127489949488365,0.3716600995735408,7.0,34.0
9048,61.0,1.526337784169492,-6.425685912377037,-6.868190348991085,0.0033461879146468865,1.096475604802955,0.33552306921583785,6.0,37.0
9049,36.0,1.2766700735442782,-6.9037812314126095,-6.214579687281846,0.0023839575970782713,1.2887442533514117,0.20615060968802934,6.0,20.0
9050,48.0,1.244336387432654,-4.6061243875123195,1.2515038525194473,0.004881726615753667,1.2216612017672732,0.25259604984181516,7.0,21.0
9051,58.0,1.2362623387043912,-1.4668265895941515,-1.0971717785076902,0.003005495365075935,1.2914800723158757,0.18063943888398112,5.0,0.0
9052,49.0,1.660692877918718,-1.4046699970770813,-0.48177507416377996,0.004220025180229372,1.2490627570372612,0.39329640621986517,6.0,0.0
9053,56.0,1.2927851950731057,-6.395358232674509,1.9990272717939574,0.0032446816842941987,1.22022670735855,0.26038345048271283,6.0,39.0
9054,56.0,1.385900924634372,-2.756725047868674,-5.784156624795328,0.0019518910076166288,1.26994254425514,0.2657107319085123,4.0,42.0
9055,61.0,1.4529422505580976,0.5803037324867728,-3.978004464092717,0.004669524558681068,1.3290798650220546,0.36091697634935727,6.0,7.0
9056,54.0,1.5812855536185675,-8.142428510298977,0.8209756938202066,0.003975517480209755,1.1282198566844133,0.37752835681401525,5.0,11.0
9057,48.0,1.3785322906309432,-3.5930225816538788,-2.699605562688917,0.002539898125768924,1.2240416646290764,0.29674583073285293,7.0,41.0
9058,55.0,1.1665496904210364,-2.8721489868113808,-7.086879445984027,0.003070169895825524,1.1943257256094164,0.14128860413061506,4.0,35.0
9059,56.0,1.356162513139692,-3.9317364546712645,-2.9581597629339917,0.0018572591764732921,1.31418199927811,0.2568957777787562,7.0,38.0
9060,58.0,1.5555465982101917,-2.2419983568644763,0.6751912770399724,0.004778489058100463,1.3113176632656767,0.3844182722166561,5.0,23.0
9061,60.0,1.1242504280454466,-7.125539897040479,-0.034002825298648565,0.0020563109200132466,1.1611391511939677,0.12242616576340312,7.0,6.0
9062,57.0,1.1547956232707477,-8.349968272359968,-1.8219862640275903,0.0028081500215477737,1.3941905826781527,0.1258533470004945,5.0,33.0
9063,44.0,1.4666577381462753,-5.305271052475251,-5.970568827495383,0.0025858598421128745,1.357211184375116,0.3059694211836119,7.0,20.0
9064,58.0,1.4909895472472996,-7.02101874531442,-0.5664692416253296,0.0028497831624204532,1.2499326120889311,0.3243377596840679,7.0,19.0
