id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,47.0,1.3838510607119374,-6.820837881664155,-2.368295930464553,0.002530899846590889,1.142885155108131,0.27200541454671934,5.0,9.0
9003,48.0,1.2452654918558967,-0.4118655463557912,-3.667134340998648,0.002777165919192443,1.0136290145172555,0.2119128072803041,6.0,37.0
9004,45.0,1.2275963260677403,-3.4107585589101226,-8.317337513095847,0.0047420557113438625,1.3991805592423128,0.19286119941420216,7.0,32.0
9005,49.0,1.4636250220218348,-3.457091562907271,-8.131677714379672,0.004144555048937681,1.4035711063267102,0.31689450477897846,6.0,26.0
9006,49.0,1.3524107422038665,0.3481473394653616,-4.801090108491157,0.0028147466335706767,1.423227306689676,0.26845248226602764,6.0,12.0
9007,54.0,1.1811597944483034,-1.150712399364602,-8.928259055585439,0.0032973868199103187,1.3403149855662295,0.15366956046816155,5.0,0.0
9008,59.0,1.1618916146617742,-4.578556588516079,0.9926738205183478,0.0025568782260263273,1.1965493388023387,0.14720037485777052,4.0,29.0
9009,41.0,1.5857798875854752,-1.7571345107969405,-6.335971392962793,0.002688754987836955,1.0194691076963573,0.3742803515132405,6.0,31.0
9010,62.0,1.5642520861965907,-8.848312817181172,-4.775134948993547,0.001706738163107282,1.013519292900452,0.3400347116504509,3.0,18.0
9011,60.0,1.4651714417367103,-4.309143126466918,-6.631560984428555,0.003850883523941872,1.0393299430893777,0.3110874068609276,6.0,4.0
9012,46.0,1.3683856346449859,-5.196116907841429,1.1854108782014547,0.0025044155954044496,1.0041422989495583,0.2540205814353125,7.0,23.0
9013,57.0,1.1624543141864587,-4.582863172582639,0.03233955194903415,0.003420381517818353,1.0786853409815351,0.1619511726228095,5.0,21.0
9014,60.0,1.5950566447857193,-5.762674346998759,-4.2575982473721865,0.002364507696122018,1.0653753287854972,0.3633236840310165,7.0,38.0
9015,41.0,1.489956350246552,-9.07339850050143,-3.8783968925196297,0.003380131299336922,1.4674793599492237,0.30613929871318446,6.0,30.0
9016,58.0,1.1811757492775043,1.1374457182647943,0.22490654117919817,0.0024540991760297263,1.249147941969061,0.13919982070885045,3.0,16.0
9017,58.0,1.397545959260087,-2.6609359634931122,0.08972388740646187,0.0034126867487217195,1.3411289967073647,0.29884842136291806,6.0,20.0
9018,39.0,1.2428212864923687,-6.350077621080909,-0.3915749192783538,0.003426314948926542,1.0991842660860494,0.20335033230921515,7.0,23.0
9019,61.0,1.386426892663086,-6.5457516833770075,-7.617600501097733,0.003951516712251166,1.0581070741487058,0.30579846961239987,7.0,9.0
9020,59.0,1.4506987784619174,0.5590133979810764,1.8974488803085647,0.0020246677865397443,1.1388425932194568,0.29378252554501166,6.0,37.0
9021,57.0,1.3657694876042232,-5.462287840748757,-2.254227502954649,0.002904925212768688,1.0153444285108846,0.27356549403370545,7.0,21.0
9022,44.0,1.3361631003912138,-2.873773561535513,-4.448188048041634,0.002025539912781356,1.0465207948050297,0.24439678937920287,6.0,36.0
9023,57.0,1.175626221732559,-1.685823937806796,-3.951036851003996,0.0035349192980607827,1.362863874226297,0.1769812262405612,6.0,0.0
9024,53.0,1.190246635326055,-5.667980515024868,-2.0215055620584317,0.0031899272646005103,1.3013508574535035,0.16454498064737344,7.0,21.0
9025,54.0,1.54235362727165,-2.648442327188328,1.112361495877081,0.0037829480620683686,1.469614075652875,0.33927290674641336,6.0,19.0
9026,62.0,1.3123030910431028,-8.53953023823203,-6.505640486692779,0.004001551713772475,1.3197559937491774,0.2531510960983292,6.0,7.0
9027,50.0,1.4305202163275164,-9.049636216577024,-0.07247385607221818,0.002742674568111472,1.1125423186746493,0.30891206740075017,7.0,23.0
9028,47.0,1.1001097857736286,-6.676143117683939,-1.1775987212810082,0.0021987445268487255,1.1756282242694767,0.1172952896407817,7.0,36.0
9029,49.0,1.59787452172166,-6.447100333967844,0.9631637075875584,0.0036089062569079544,1.1052577324807522,0.37864096222113997,6.0,27.0
9030,30.0,1.4819060256983998,-0.720797433444009,-4.5972257114658275,0.0025106064164984584,1.2732157176632253,0.3023588307720482,7.0,14.0
