id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,51.0,1.280555645803377,-1.828483034823046,-6.726937941587077,0.003488731364362002,1.4011132384604537,0.20826604331646364,6.0,22.0
9003,59.0,1.2931729379837928,-0.9142144312586804,-7.545657705634585,0.002735808819684317,1.4108701853311574,0.20499362619816702,5.0,9.0
9004,60.0,1.463187833384724,-7.863314152351768,-8.71056232193598,0.003589745912431071,1.2054210674853572,0.32856295995808316,5.0,6.0
9005,63.0,1.334253445905799,-4.631288631096116,-2.2784787876119696,0.0026161967395231618,1.2128868610071688,0.251548009956385,6.0,22.0
9006,61.0,1.188057320640196,-8.447452546863383,-7.738528701656201,0.0033643790843310185,1.121929084324416,0.16527022099344002,3.0,17.0
9007,61.0,1.2583269639712038,-1.141092096526442,2.1443059036591476,0.004080128941298358,1.20448934564346,0.22274303620771133,5.0,11.0
9008,48.0,1.5230590461934441,-5.310457974127044,1.6465445281458515,0.00225154925569336,1.0385434766721027,0.3351005340305818,7.0,31.0
9009,47.0,1.1384045966845697,-0.7998171515982253,-0.5197445112486119,0.0024394007114292536,1.33774318787029,0.14042582110831864,7.0,24.0
9010,60.0,1.5116499590269143,-6.5035676259036315,-4.04110696673432,0.0031804709717240674,1.414771948864501,0.3681595868896435,7.0,33.0
9011,62.0,1.1265292187199667,-3.0095203911796924,-6.570273976436302,0.0025077974362215302,1.3790299998764244,0.12474247123021337,4.0,8.0
9012,58.0,1.3271015304643088,-2.217029546158454,-2.8943498456433856,0.003634486548533164,1.1521516041387847,0.2545341898076102,6.0,19.0
9013,46.0,1.391676005753235,0.18927241003988415,-8.278844369309956,0.002443666117651883,1.1279482496937685,0.2755247352980475,7.0,25.0
9014,63.0,1.481473144949517,1.411621459777302,-6.606030547698676,0.0028609453324459863,1.1854860075024671,0.3170336485461722,7.0,8.0
9015,59.0,1.1586070325022872,-0.04445957703076442,-1.1952782378891498,0.004126633637408653,1.4049282457415175,0.14728749071571065,4.0,15.0
9016,58.0,1.4687682687678671,-5.423770328327848,-7.212253612258804,0.002273451980916136,1.4308244715308058,0.30234730919874847,6.0,5.0
9017,61.0,1.6067337616344632,-8.062573620978947,-7.775827695928653,0.002970281679292061,1.14670506919284,0.37568869289086415,7.0,10.0
