id,Delta,R0,i0_q,r0_q,start_week_delta,t_alpha_delta
9002,44.0,1.6688144255223278,0.010982904934899054,0.3893078059076599,6.0,40.0
9003,61.0,1.8145379442373526,0.014798181512064995,0.3862118549964557,3.0,22.0
9004,42.0,1.7228816241285005,0.014551974341811876,0.37041079450184755,5.0,39.0
9005,44.0,1.6066394312807548,0.011898631133603873,0.3462319633272896,5.0,36.0
9006,61.0,1.5761305383894182,0.013394883371648007,0.306283991723181,3.0,26.0
9007,60.0,1.6162090692436737,0.014596776871959646,0.35302068742408427,5.0,34.0
9008,39.0,1.4617326952537606,0.015478258167659286,0.3187754751949027,6.0,41.0
9009,49.0,1.7431484671542257,0.013995391838014666,0.3944961853709475,4.0,28.0
9010,59.0,1.646715443446569,0.012737289436448855,0.3619517726489962,5.0,35.0
9011,45.0,1.679754811026317,0.013218676601503093,0.3428817721782012,6.0,38.0
9012,60.0,1.6718643857085678,0.018017036730064866,0.3626438639573756,3.0,25.0
9013,48.0,1.7264917079791353,0.018694453255791894,0.39944823227871706,6.0,37.0
9014,54.0,1.7598480540039076,0.011018798663343049,0.3727919142270161,5.0,40.0
9015,53.0,1.7572705399745063,0.01125283782259915,0.3951224325517745,6.0,38.0
9016,61.0,1.6824406428697298,0.012835701704646962,0.3616167191974525,3.0,33.0
9017,55.0,1.6600787283065834,0.017975408939572547,0.36473166704892857,4.0,39.0
9018,59.0,1.6534721188841617,0.01407246426298913,0.36726579716431584,4.0,39.0
9019,41.0,1.7375038043839255,0.011124429832818354,0.3973678980313815,5.0,36.0
9020,53.0,1.4411485489304108,0.015774840489749874,0.32171172516451296,6.0,38.0
9021,59.0,1.6789840544185979,0.01381681177396884,0.3381136087036961,4.0,42.0
9022,55.0,1.845978513007656,0.011829149324446505,0.3931137043512113,2.0,26.0
9023,39.0,1.7201563371701085,0.014186048973863464,0.35552403924717657,6.0,40.0
9024,60.0,1.7421986160812701,0.013669178746539341,0.38925954215997843,3.0,26.0
9025,63.0,1.674592739158475,0.012361232464345312,0.3629747403986619,3.0,37.0
9026,59.0,1.660093157542336,0.012744357838124528,0.33093830419530507,3.0,27.0
9027,60.0,1.6428724689263963,0.010788049114097649,0.3197714164826945,3.0,42.0
9028,59.0,1.6797386621854917,0.016029642873702944,0.36263705414216807,3.0,31.0
9029,53.0,1.5278574450931366,0.0134766052061774,0.3004532444243012,5.0,34.0
9030,53.0,1.7532869859982307,0.013969408683003158,0.3523248073447104,4.0,42.0
9031,48.0,1.8431298363863953,0.008304539936744718,0.38169062960503325,3.0,41.0
9032,51.0,1.6999286618030651,0.0109029104993545,0.37515502080572777,4.0,26.0
9033,59.0,1.661923214606489,0.013708681051125406,0.3933444993006644,5.0,35.0
9034,61.0,1.7936599208836634,0.011218869470433481,0.3967595586693519,5.0,40.0
9035,44.0,1.7788597288971748,0.014789866430061485,0.36965409730325427,5.0,38.0
9036,61.0,1.6608099343705798,0.01884839451590973,0.36290912824190596,3.0,25.0
9037,55.0,1.771958755740889,0.01438506484168951,0.36829157910904675,4.0,25.0
9038,43.0,1.7797423369024887,0.010293898587153443,0.3668665365007498,3.0,34.0
9039,46.0,1.8286882349425335,0.011683452877610863,0.3661233607601946,4.0,38.0
9040,46.0,1.619086048846356,0.013612018418993073,0.37959106224749645,6.0,42.0
9041,54.0,1.7659823547225835,0.012281154410802072,0.39563390727963565,4.0,36.0
9042,52.0,1.6771696695073344,0.011703393451836087,0.33875257768933636,3.0,40.0
9043,61.0,1.7418553944359347,0.014041910443672815,0.3699872820344373,3.0,30.0
9044,46.0,1.7746553900636446,0.01116286837158181,0.379337982083779,6.0,38.0
9045,59.0,1.5411897248421338,0.014424640442440982,0.3137493294962515,3.0,38.0
9046,47.0,1.6076613813923646,0.013948672128625841,0.3813733292744447,5.0,37.0
9047,47.0,1.7492603791068988,0.013355380740448087,0.3617269330103465,5.0,35.0
9048,57.0,1.556822346830731,0.014202082684847427,0.35964510043575915,4.0,30.0
9049,62.0,1.67931708002022,0.013254556697791962,0.3743919649251627,5.0,31.0
9050,61.0,1.676490371338025,0.011846212516721815,0.3515845147727781,1.0,17.0
