id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,34.0,1.5298186149844968,0.48696493327563306,-4.098649033879556,0.013413373707513066,1.4813953629612615,0.28813756907266685,6.0,17.0
9003,27.0,1.8945554576105375,1.3428283973346533,-4.087298201560776,0.0041387152290270415,1.3440421442575763,0.36521476375753936,2.0,2.0
9004,32.0,1.5140541632831668,0.7145622225767245,-4.406027835363667,0.01701844058425476,1.4803409403700734,0.3073699995324526,7.0,32.0
9005,47.0,1.3785172465128084,-3.2681694878337293,-2.966342877549296,0.008962291334667246,1.300846557493237,0.2085533073658319,5.0,15.0
9006,29.0,1.776860171623329,0.9909270054869486,-6.440361819798911,0.009787987645918544,1.3953058995187546,0.36350143493611087,5.0,5.0
9007,34.0,1.5279012265994814,1.0852992169835478,-1.448003044227968,0.013869197432804715,1.3810051097478622,0.2942379582451598,7.0,23.0
9008,36.0,1.5027689025654623,1.9459640558484501,-3.9209048506972337,0.008834474622076826,1.2478475414004595,0.27536443188661774,7.0,21.0
9009,38.0,1.4937548058113856,-1.706039491383177,-6.173064761559584,0.006022468753269896,1.1665756040961621,0.2505736080443591,5.0,22.0
9010,47.0,1.5103017208329221,0.6096264884208152,-0.7418118432100428,0.008678925252205389,1.3320669400370702,0.2754899220821573,4.0,1.0
9011,36.0,1.6489764910607074,2.088984675935224,-2.3118307458695253,0.007216418124174824,1.2824259213694629,0.33887470676865306,5.0,26.0
9012,40.0,1.6768338934889422,0.28912823122306874,-7.822691870360165,0.012218861574830386,1.299709567785321,0.3276503099860357,6.0,2.0
9013,36.0,1.809646251983942,0.23893352591981465,-3.1866122024322587,0.011983559541131868,1.292843373515347,0.38060167195443595,7.0,17.0
9014,27.0,1.7184293678072056,1.9283966248782254,-1.3053878170210118,0.0101813653379905,1.4949173613740718,0.3519622528570938,5.0,8.0
9015,42.0,1.7459085703318487,0.43565637398083834,-3.2076729094246956,0.010656967539092357,1.3350951498854995,0.3801524250784746,6.0,1.0
9016,46.0,1.4893990269433908,-0.11421183355810016,-5.209537874475886,0.010735484446613451,1.4205769455339508,0.27145084893123306,6.0,34.0
9017,39.0,1.7870712514193459,-0.4590696631728415,-6.601352436271783,0.014468954937548505,1.0575049093941864,0.37593522894198844,5.0,38.0
9018,48.0,1.4396747297452344,-0.12687319815580944,-5.6912348343153525,0.007460772842876521,1.2236598601722675,0.2146571166626022,5.0,14.0
9019,29.0,1.5347821309596306,-2.607092266566227,-7.597363541876052,0.011532974385771208,1.4937288159833213,0.27659917788449045,7.0,29.0
9020,40.0,1.735274398859347,0.2384139350268936,-5.086307515019727,0.008718297642407264,1.3002618886270585,0.3589215408692649,6.0,1.0
9021,39.0,1.5798056968144192,-0.3199285662959789,-1.574167211912066,0.012196372196650252,1.3852761358349492,0.32120981359616135,7.0,19.0
9022,34.0,1.729581524385456,-1.284910387700479,-6.498110868524877,0.011856141857914554,1.4214188504284027,0.3658385187279901,6.0,29.0
9023,45.0,1.332716707643522,1.8340573832532718,-0.3405530136059438,0.011120990207469659,1.3803645963514601,0.1914707786412547,7.0,41.0
9024,41.0,1.4763284840199016,-1.3435837276099822,-3.636067550187466,0.011770269504500334,1.3263640400505823,0.25888284367790126,6.0,32.0
9025,44.0,1.412112763746558,-1.0766751019300123,-6.7566481446361335,0.00930977408866768,1.267045096190713,0.23813945152035784,7.0,12.0
9026,44.0,1.718829184296454,-1.283083462693304,-4.73768039663413,0.013801579966246135,1.3898704845588432,0.3675111792060929,6.0,29.0
9027,39.0,1.5791008504242035,-1.9950450712781806,-5.356387007045349,0.012161877377328665,1.3164600771142743,0.29081376418984006,7.0,20.0
9028,29.0,1.6172878576210206,0.5946010178556427,-3.980373232699502,0.011262412269618905,1.3101262191682501,0.30641412160664167,6.0,9.0
9029,37.0,1.5951285711650094,-0.9178648376887881,-8.139648899301678,0.011004985157129216,1.3830022653745104,0.2737126703296974,5.0,16.0
9030,48.0,1.7536940366211715,-0.7968372647128743,-2.112285909624381,0.010176117252422531,1.4483364392823523,0.3646072268180118,5.0,6.0
9031,42.0,1.606700493127891,-1.0429525438826748,-5.045204135876399,0.012819953522407172,1.3254008735789202,0.3355223221799171,7.0,13.0
9032,46.0,1.8051767666771261,-1.3097408976933111,-3.085925181947064,0.006997235551446391,1.3313893264555836,0.3945717004725668,5.0,1.0
9033,35.0,1.3504349554056385,-0.36382421085625444,-1.1836931551217278,0.008268338825457026,1.421962384136953,0.21619438358777904,6.0,8.0
9034,43.0,1.4907988866640203,0.36814655717449973,-7.291548959191802,0.013469060378743937,1.3290401912593388,0.285701320093766,6.0,18.0
9035,26.0,1.523209281352126,0.2812162166590756,-7.774632067796637,0.010674144649351413,1.3388790752251858,0.28984328817416827,6.0,21.0
9036,45.0,1.7853415324447983,0.8698940994062174,-4.512254465635238,0.004951721198003824,1.2518832714901096,0.3573045211340078,6.0,7.0
9037,33.0,1.821657203351677,-0.8454509499796927,-5.3375425762669,0.0057248528050246016,1.2316808745378967,0.3960194373747769,7.0,5.0
9038,56.0,1.598073353735681,-1.4718627606517216,-5.756596016919239,0.009403963352590826,1.298706885514686,0.2950502659664986,3.0,4.0
9039,34.0,1.7793154437475454,-2.451523584770383,-6.005569125411976,0.01052760440402142,1.4479212764911473,0.34788848276559964,7.0,15.0
9040,44.0,1.8744594297581156,1.141150527722637,-5.410314306024686,0.009104931667254172,1.251478460732372,0.39202166411506867,6.0,3.0
9041,38.0,1.4891494768129183,-1.7754050796487313,-1.7903921021142182,0.00552782178550023,1.43503485473399,0.28646344215346214,7.0,1.0
9042,47.0,1.7728883046872586,0.6337004592758647,-4.748803154873891,0.010859618674307799,1.3608708085025047,0.396129193442249,7.0,42.0
9043,39.0,1.653345403890904,1.7768825572158038,-3.1103228949847535,0.00587200093285612,1.3029752900122835,0.34858330571417917,6.0,11.0
9044,39.0,1.5857212068815072,1.9586684507559136,-2.043824206596571,0.014544354968796119,1.4984143550493154,0.30523411585474586,7.0,36.0
9045,52.0,1.6535835927505855,-1.4015086430887984,2.0295689228713516,0.016808810299914982,1.3718191050140345,0.3647975878973886,5.0,32.0
9046,34.0,1.447922169573798,0.722783007566054,-4.7844644225246755,0.010193494307965833,1.3439489477148796,0.2503053713891768,7.0,38.0
9047,33.0,1.7565393855115472,1.026911268060083,-4.654084343903012,0.006416662387002639,1.3540522503047425,0.3686714523349435,6.0,15.0
9048,40.0,1.8831968011581475,-1.8638626963569715,-6.624036006977027,0.009356290886353402,1.4562557824691915,0.3717621311099801,4.0,10.0
9049,38.0,1.670147857509426,0.33307310348979047,0.04005933527775962,0.008873895193190737,1.4210460832924043,0.34885656153141126,6.0,11.0
9050,42.0,1.4563153072343848,0.6448760691856394,-4.228402790193016,0.006774141418143188,1.261024966142099,0.26870626770833667,6.0,0.0
9051,34.0,1.7465788190785272,0.9249666172153687,-9.173130003030508,0.00873025218886692,1.453057729651224,0.31864421328229847,4.0,10.0
9052,61.0,1.7742530103368561,-5.457815646821212,-1.266165719675445,0.01220216895262753,1.0662112947179183,0.36442560187273343,3.0,38.0
9053,44.0,1.4268192819520968,-0.3880678738539558,-4.890743165986459,0.008867701849887813,1.2850051683852486,0.22931804615501236,7.0,30.0
9054,55.0,1.6826807123275014,1.7834735555480568,-4.897991896384334,0.01061212269804737,1.4286941141010463,0.3270902901092187,5.0,8.0
9055,48.0,1.759303847089239,0.5446989048318396,-6.4192949741976975,0.0064021007747766725,1.355906254166903,0.38665293762846864,5.0,12.0
9056,39.0,1.5960620657358104,-1.0696580697278142,-4.330708627240301,0.01033718938015071,1.3504280712259338,0.30878439739774544,6.0,24.0
9057,38.0,1.5209812522049706,0.23292383120326932,-7.16128063326557,0.008058715685690217,1.3338879201792908,0.262229002953357,3.0,3.0
9058,25.0,1.7577536894871455,1.015538865270921,-8.821782152519187,0.006857453006814777,1.296651539094043,0.36443236853010835,7.0,5.0
9059,32.0,1.7506361748776524,1.0647501260572716,-3.8238890107864965,0.00916901978925911,1.3945661760639827,0.3239578010280225,5.0,25.0
9060,35.0,1.6107278719674383,0.49101538982168413,-6.894060508315136,0.013383803347024404,1.3838258802291037,0.3408857241703996,7.0,34.0
9061,35.0,1.7279424442627966,0.8932821559085983,-4.477339354191509,0.006733284004514385,1.3188171599479515,0.36487621354725225,6.0,8.0
9062,37.0,1.6442309627927874,0.6929018435221466,-3.120907866365462,0.011619823003015943,1.3152124465265231,0.32372334088015525,6.0,10.0
9063,40.0,1.6116742568459586,-0.5815442402011906,-4.8094676405314045,0.013743491809075909,1.3477400132065671,0.33707138982633233,6.0,21.0
9064,55.0,1.4070887914389498,1.4125813055903227,-8.805108681364977,0.01032905079998248,1.291343992898242,0.22978142037323496,5.0,1.0
9065,28.0,1.6482118043801222,-0.9226854838864598,-7.253769947490693,0.009967618053467766,1.3200385093950195,0.34035886346633354,6.0,0.0
9066,39.0,1.6228598293125893,-3.2177025625349973,-5.839390506720962,0.00991561632768662,1.4552566015164223,0.33645077112290855,7.0,34.0
9067,23.0,1.508699021552238,-2.636354535862715,-4.826067836056476,0.014645826464146652,1.4521891121188841,0.2558730740720282,7.0,27.0
9068,51.0,1.7994415497273553,-0.8901381130540522,-7.418462117003604,0.004407500034807444,1.2834832348898493,0.38395491060530595,4.0,6.0
9069,34.0,1.7296117219333236,-2.094761931971127,-6.168817200974223,0.01089691790895491,1.411618170649165,0.3254002149092484,7.0,0.0
