id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,56.0,1.7129617210753447,-3.4315494750446054,-5.343093783454175,0.01521136639380994,1.365399784764898,0.3798244640315847,3.0,24.0
9003,47.0,1.6808930844514516,-2.9355370360499844,-0.8220473004278689,0.010936374965264686,1.2215928875935493,0.36798747848820906,4.0,34.0
9004,37.0,1.6865575965566324,-2.3205016125306672,-7.620814583572134,0.0071368147197350025,1.1043229134324137,0.31454159930816933,0.0,38.0
9005,59.0,1.6691854646058444,-4.241520537567086,-9.0654913121255,0.015819002158050575,1.1095992426693266,0.3597989440840959,3.0,31.0
9006,58.0,1.6632060032370668,-2.4866382772881863,-2.130527628854726,0.015312372579609046,1.129496466495965,0.35512524205619994,5.0,41.0
9007,52.0,1.621210322304313,-5.36216315933219,-7.132261355648889,0.01345375775948655,1.06619770519167,0.3425328366446017,4.0,32.0
9008,51.0,1.7297778703506934,-5.763353707185218,-8.37561676825276,0.015495345165576878,1.1986242227715402,0.37936348887697563,5.0,39.0
9009,50.0,1.5054720877523045,-5.919143648066284,-2.8176428946427063,0.013708664068140437,1.2096745574769818,0.2963034056119305,4.0,35.0
9010,39.0,1.4117403761584952,-1.1476860591483875,1.7165740979384179,0.014975160582813186,1.4287832614851286,0.30743103073811423,6.0,39.0
9011,38.0,1.5364908126074026,-7.036435582547455,-1.6510760399553468,0.015409411531378769,1.4199969582307017,0.3371802074969711,5.0,39.0
9012,51.0,1.7692373360508087,-4.60527021251344,-0.10766302982809056,0.012823600505904203,1.2688777769114041,0.3536556235524734,4.0,41.0
9013,60.0,1.4989223363855002,-3.879921985002184,-1.182621142091631,0.01243186118914908,1.1589258385436567,0.2846167234416459,4.0,40.0
9014,44.0,1.5634858065744068,-2.140309611348389,0.031873834456634054,0.013413435010357928,1.2000255700822642,0.32936558918271663,4.0,35.0
9015,57.0,1.5203424562226884,-1.1933813454212692,-0.219773883763287,0.014424590104006589,1.0848379499024923,0.3411727158291715,5.0,34.0
9016,59.0,1.564235748100267,-6.656121592366183,-7.241943136386224,0.017690049235846186,1.2528292647267614,0.3578114825123687,3.0,21.0
9017,57.0,1.5457642088819545,-8.325605228301614,-5.844456671762744,0.015884949320591892,1.2168765262578476,0.34582214216147134,4.0,37.0
9018,44.0,1.8128650228863703,-6.545661854321547,0.5090366621966735,0.009528208534411694,1.120446132028001,0.3782731673904783,2.0,37.0
9019,42.0,1.5785658860683398,-6.838830750844517,-3.5347098139158604,0.015096076816792866,1.1170605576477475,0.37320187275813044,5.0,31.0
9020,50.0,1.7413164304688855,-8.170077854858636,1.572688004117953,0.013191973857836665,1.2924986383868935,0.3787947081422964,6.0,42.0
9021,39.0,1.7263736047045204,0.7418008565548296,-7.355979970574713,0.014548298226916816,1.1226953353737563,0.376319743395537,5.0,32.0
9022,54.0,1.645439774325863,-6.598326145149384,-4.670677077663259,0.011341221992119255,1.180048211651654,0.3652129889157078,5.0,36.0
9023,40.0,1.7307144266144951,-1.7195599822673835,2.1310458035031488,0.014075864509499223,1.4026170444594213,0.3775138221035079,6.0,36.0
9024,59.0,1.76684264607265,-0.5586974680799486,1.7941383013566752,0.011758074300070592,1.4090769215243792,0.36275546624635935,4.0,30.0
9025,60.0,1.7836377974961888,-2.5181726600401015,-6.887553842397736,0.013990288374788468,1.2545652761324635,0.3911321005208824,4.0,40.0
9026,46.0,1.7008147469547112,-7.783717883548557,-1.7592129219342034,0.014378068810684944,1.458805685323082,0.3504666168286222,5.0,37.0
9027,46.0,1.5996058195249356,-8.915575003160114,-7.774199410806816,0.018517062339761074,1.1922911449867082,0.32311284898349485,5.0,41.0
9028,61.0,1.7058818487777223,1.691478624971066,-5.394655070261874,0.013649744531496543,1.0549225143338736,0.3967586676344548,4.0,33.0
9029,52.0,1.7383736659529307,-8.993148637242736,-3.2009237453562114,0.01537563334009848,1.245425934693846,0.34445895331876825,4.0,39.0
9030,44.0,1.766405704020276,-2.059453255959571,-0.6417325764852055,0.014307272482924956,1.4103281159151928,0.36890638221455463,4.0,34.0
9031,48.0,1.6217996797254217,-6.273635141617854,-1.85144900768455,0.015348856344918187,1.1367754553058085,0.3538090332024208,4.0,36.0
9032,60.0,1.5989079357309997,-2.645962318575852,-8.3017510547231,0.015679406266860662,1.1285070998867457,0.38381443949820787,4.0,30.0
9033,54.0,1.6151521008134533,-8.62542089956222,-3.2989630623424038,0.0132537546567273,1.3982833067553613,0.33614639454103806,2.0,26.0
9034,53.0,1.7335506410728594,-2.750335667787581,-2.7448166138404524,0.018950693272126045,1.4864258728208226,0.3781299643307912,4.0,26.0
9035,59.0,1.7304112738967676,-7.121754783882036,-0.99955024437884,0.012169937779971742,1.4190384576857435,0.3925304534864087,5.0,35.0
9036,61.0,1.7819706855908874,-4.74386171388038,-1.494250244763698,0.011300492509495962,1.2799747193823106,0.3790165739412288,3.0,33.0
9037,57.0,1.6447641601711276,-4.2677594862540245,2.2353516533441637,0.0167575492833471,1.135002511741284,0.35887108855095456,4.0,38.0
9038,59.0,1.5780346460890269,-4.351532128361384,-5.444384520288712,0.013842898083656997,1.4971691014191721,0.3624982851383044,6.0,38.0
9039,59.0,1.7555775050155522,-3.056874640084086,-2.9774677373394254,0.00926373654273319,1.0154967584544554,0.35045586691025915,2.0,38.0
