id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,55.0,1.6753520174258552,-2.4590167918099572,-0.2125194334333893,0.010996388840401302,1.2549257328617809,0.3631044650355481,3.0,25.0
9003,60.0,1.7357243767955328,-8.528236608046114,-4.112743161975754,0.013204765537322619,1.1919910989973115,0.38762287402640966,3.0,30.0
9004,58.0,1.7540654409525689,-7.8945552295276045,-1.533928582071262,0.011436795338673134,1.2615686318250274,0.38726149836605184,4.0,33.0
9005,58.0,1.3979632289189812,-0.9805660122422535,-7.140242584179163,0.01600005805743237,1.0233731777554307,0.26969606874209234,5.0,32.0
9006,53.0,1.8202170123995327,-3.95312849364661,-2.94225023286293,0.016408228512787046,1.219997103371371,0.38604570776944513,4.0,40.0
9007,53.0,1.7596239613787605,-6.483293516065662,-5.405939465258655,0.016635597882154782,1.2054912898286283,0.38546597843869407,5.0,32.0
9008,62.0,1.6200064033089514,-4.523880357087296,-4.544640958259406,0.013893314753592886,1.2824069229992585,0.3676390473006672,4.0,34.0
9009,42.0,1.569633069861437,-7.506420141576827,-2.356681376943952,0.014199324355334896,1.175804457861563,0.33621258975184043,4.0,32.0
9010,37.0,1.6860737236884318,-4.901122589536555,-3.409179763156227,0.013430521239447282,1.1699711805710888,0.3737386867590731,5.0,32.0
9011,50.0,1.6299600618117158,2.1121938037387684,0.5177490273765012,0.013529176799872238,1.1390122745944886,0.33398596059654173,4.0,33.0
9012,46.0,1.6421399922454216,-0.21691747281367163,-1.168872988915631,0.013973760643801196,1.33812232868491,0.36388610783696135,5.0,33.0
9013,57.0,1.7857170584110946,-5.226200752934512,-5.532409848951889,0.013983832888819582,1.2353168660652387,0.39256528898242077,3.0,35.0
9014,58.0,1.7863994030348853,-5.910482299024468,-2.769512552564027,0.009919416107659887,1.4084346102559429,0.36703116692582144,3.0,39.0
9015,37.0,1.6304155088028054,-2.9895672716486614,-5.24662661140989,0.013566826033149683,1.0922747588201096,0.33450363201258004,5.0,42.0
9016,52.0,1.7406322284107552,1.3320201342159872,-9.021114647981605,0.015951891119009767,1.2842676967924151,0.39624663564110535,5.0,37.0
9017,45.0,1.5674749046060665,-4.314527144899091,0.7688263854418539,0.013931567867278859,1.3531548220131335,0.3323501490505754,4.0,32.0
9018,61.0,1.5371671445971995,-5.247808954183031,-1.238509271595729,0.019092411501389798,1.3102272756132298,0.36364352273854333,4.0,23.0
9019,53.0,1.6258481923050667,-4.021527366730127,-7.10634462990531,0.014623860182440118,1.0398808280052156,0.3501512282254427,4.0,35.0
9020,57.0,1.6364394923342258,-4.536518328936975,-1.3930474675862037,0.015220450206523984,1.2050662587481953,0.36194964199595797,4.0,40.0
9021,63.0,1.7587473520830719,1.8266198166219958,-5.894469445399437,0.011811505510647694,1.317010936395337,0.3457108101236535,1.0,26.0
9022,52.0,1.6693365573113619,-7.648036168245276,0.246817937654015,0.017013152092324024,1.0557226781498583,0.36836452513377704,4.0,25.0
9023,48.0,1.7996644973313545,-4.813641131905635,-2.7028987455296725,0.013306650093235124,1.3990547069647783,0.3778611680934125,4.0,35.0
9024,54.0,1.5896543921285664,-5.126492893028807,-4.806155156981296,0.014453610074944551,1.1097503071419201,0.3521953440279872,5.0,39.0
9025,56.0,1.5298807927808606,-3.969825961192237,-1.5593867490274949,0.012146129326838685,1.4390604514991046,0.2933173904691235,3.0,37.0
9026,48.0,1.8087449238152415,-3.8454216454752648,-8.139615352317197,0.01295956361933214,1.0279295329520621,0.365672638436889,4.0,40.0
9027,54.0,1.7321233758761045,0.17301727109196474,1.4857232617960026,0.009633345531976615,1.12610922247155,0.35238417051991694,2.0,42.0
9028,60.0,1.4948582046364212,-3.851510003629828,-3.3511744400235592,0.0166305857231706,1.3241128676323535,0.3091969310923136,5.0,30.0
9029,55.0,1.764257506570028,1.241895959704614,-6.522993708135036,0.015465662342694284,1.0319878647521352,0.3693140338740292,3.0,37.0
9030,59.0,1.7306829317165366,-6.486166095296851,-2.5734687228300643,0.015695151117429022,1.2687363178111326,0.35231473843382727,4.0,34.0
9031,55.0,1.600411117137822,1.2352036938772624,-4.279087319792661,0.019546990180192608,1.0378045687622635,0.37227259313297045,4.0,26.0
9032,62.0,1.6342300086806238,0.24274738442024443,0.10007830498823811,0.01633581037172919,1.1910165426425392,0.3339135011881139,3.0,29.0
9033,46.0,1.6280878251331712,-3.697035858372937,-0.24228280816618747,0.016297892962971718,1.3278204100370707,0.3188757070491298,5.0,35.0
