id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9002,51.0,1.7150240628646358,-4.9426884404190865,1.6354441183241724,0.013027062938770363,1.3288062949861101,0.36185299182247704,3.0,26.0
9003,46.0,1.7622862906583314,-3.844987342210094,-6.1045276993843824,0.013161293542310869,1.0091216653788297,0.3799498000278767,3.0,33.0
9004,59.0,1.818009726766561,-5.854492876309045,1.593368432134121,0.012094545674949577,1.1520069139227311,0.38400203826809515,4.0,38.0
9005,53.0,1.7860071471364671,-6.990745894481808,-8.598935981770255,0.011458585607771764,1.245656335967556,0.37469245239427673,3.0,41.0
9006,58.0,1.7533376622237076,-5.125014825903515,1.2071722741947963,0.014675138137863981,1.4408670783162327,0.3857724318429378,5.0,30.0
9007,47.0,1.6377660229725197,-2.133326688961124,-1.425006747624728,0.014707793516558085,1.1104583816519833,0.3397596034484559,4.0,30.0
9008,61.0,1.7252792283118843,-3.6963503798891795,0.35593642485484217,0.010336278542382471,1.362976731938576,0.3537158672425647,4.0,41.0
9009,40.0,1.6680444944872121,-0.9464905764651416,0.13895656692553948,0.013812110577256906,1.2767134686494495,0.3923429481038119,5.0,36.0
9010,63.0,1.631479339043793,0.5496637753056113,-0.5237366804881081,0.011769168545793598,1.2232329938604158,0.37197010047250967,3.0,18.0
9011,48.0,1.6849951637806106,-4.4925753231869905,-1.9927148156826344,0.009635090507497628,1.4604280837269459,0.3185821294024793,2.0,42.0
9012,61.0,1.511964467490009,-8.101921803397909,1.3273071540732841,0.012431160139485361,1.35826909482414,0.3451480787279914,4.0,26.0
9013,54.0,1.7897928924857889,-0.03862430807316031,-5.573538022521082,0.012929369427836462,1.3000385477750225,0.36730878524167787,4.0,33.0
9014,52.0,1.4376492716448837,-4.500638985523632,-2.138468359672929,0.01578378571075703,1.0763698041660728,0.3185528560714164,6.0,36.0
9015,61.0,1.6363079731625554,-3.2110137955337263,-2.4992252230071164,0.013797501139849587,1.2996890978521505,0.3377364511208064,2.0,30.0
9016,55.0,1.7315424286510912,0.6759018407132565,-7.223147550690529,0.0161936579079651,1.4542948801429965,0.3582566217549071,3.0,31.0
9017,53.0,1.6938103495187131,-1.5591175756747,-2.4709279586526156,0.012557587019904658,1.1407709033215352,0.3613417217986948,5.0,39.0
9018,54.0,1.6055238351510404,-6.733646887350389,-2.3450467315541514,0.01224790012266456,1.474076466002104,0.3473553540027918,4.0,26.0
9019,61.0,1.6797614747550877,-4.100406815472437,-2.0392587506681807,0.01755312284368699,1.3022506673182899,0.3660531431532992,4.0,39.0
9020,54.0,1.6431046886911995,-0.35846551266580273,-2.0090422107564394,0.011551949302441935,1.1211994775341851,0.37722779638315124,5.0,32.0
9021,53.0,1.5665635523015338,-1.1090065812110774,-1.1706100215853328,0.015048551902294123,1.1465850718494592,0.3037434668073731,3.0,31.0
9022,45.0,1.6986522276609497,-4.3752794266860775,-5.92385072763648,0.014576191769958146,1.2934902059677078,0.34515870773624424,4.0,34.0
9023,52.0,1.6523516110676921,-7.696037014286697,-3.2080976081194525,0.01199526878014156,1.4329204135250584,0.36950652909718784,4.0,40.0
9024,59.0,1.5822812886517756,-5.563732398219237,-2.979256658268236,0.0151793865426946,1.1343746556296974,0.3507424773334114,6.0,38.0
9025,47.0,1.6637390213994532,-5.691880556615981,-2.084380728136412,0.016120704806041105,1.4167934183815867,0.3323850280583154,5.0,38.0
9026,59.0,1.545256402670597,-0.4060877927601634,-5.388762793847023,0.015606743286904602,1.153465310227033,0.3317575288884848,3.0,30.0
9027,62.0,1.7285706769768392,-2.4803280130999013,-7.233232566144768,0.012470653779397328,1.0379843544414815,0.3568038995713892,2.0,22.0
9028,52.0,1.559770181396788,-5.779949852748372,-7.82770649545156,0.01356824921225548,1.274698158720657,0.3502588033022842,6.0,37.0
9029,48.0,1.539068197768831,-2.9577912581336485,1.3221379370992676,0.016128347327750092,1.1804063876647581,0.3215492738817645,4.0,36.0
9030,43.0,1.6144989293794816,-5.791494929646854,-3.1888570936188287,0.011659630535713889,1.2336089336066485,0.37306140253937814,6.0,41.0
9031,47.0,1.4039740656341109,-8.711169137251144,-2.2399889350652074,0.01270458889744085,1.1688700967461958,0.28961949397527176,6.0,37.0
9032,60.0,1.7466341364050308,0.02383683604879472,-3.975442330175718,0.010611365491010208,1.4385805618014165,0.3751177472337949,3.0,36.0
9033,41.0,1.464731970761619,-7.605748636143158,1.5808197828500412,0.01780727931444022,1.4113837545210715,0.28018196741884277,6.0,40.0
9034,63.0,1.5519130834292454,-7.582074628651466,1.254196968313256,0.0174948152458514,1.1211448363823333,0.332929216383045,2.0,13.0
9035,58.0,1.691891136530668,-6.162893967548402,1.008314715566275,0.011954610699031783,1.324362643821284,0.36484725903007903,2.0,30.0
9036,44.0,1.7377203550007678,-5.676574566433859,-6.120029917327081,0.01417160395332195,1.1810409474517607,0.3579504599388275,6.0,42.0
9037,59.0,1.576150203916485,-5.3763664182938165,-8.318306561728154,0.01562539185067394,1.4965433138100006,0.333728392686404,4.0,28.0
9038,41.0,1.7940463624622913,-4.74180102596432,1.6470556131563332,0.014791160327965814,1.410932834908556,0.382000207816566,4.0,35.0
9039,60.0,1.6201029482869993,-9.030620249286107,-7.1705002892314464,0.012330098526030637,1.2231195888016495,0.3528446384228271,5.0,35.0
9040,59.0,1.8172486510957275,0.04131299450479031,1.381306806978751,0.012435160547002064,1.2914441252339157,0.37552737586567336,4.0,40.0
9041,43.0,1.6748649735646626,0.16061636723839512,-4.525791575192018,0.010370564000412152,1.4778907098252358,0.3628030551327354,5.0,41.0
9042,62.0,1.7480107813455992,0.9737462990678044,-9.114733168060367,0.01226605399293586,1.3677082198373527,0.3688533725811102,4.0,36.0
9043,40.0,1.8780051374037352,-4.473229418190058,-6.577686201067886,0.007132118159837458,1.2492310781617186,0.3920665376769829,1.0,36.0
9044,56.0,1.6841882997296256,-5.415513720927216,-3.8287050158324156,0.010237610571858022,1.0925130733308965,0.3469348089312345,2.0,31.0
9045,44.0,1.5797152880335024,-1.089817812184055,-5.098632741538484,0.01490611350185263,1.4055820266659191,0.3103528602433094,5.0,42.0
9046,59.0,1.7507746151126768,-0.568454200875607,-1.7427593430223944,0.015050356627529968,1.22096296475524,0.3650082864588608,4.0,34.0
9047,56.0,1.7506760665786556,1.4232173479737125,-5.052574520375405,0.011198133014733939,1.2392039100869476,0.3589874313733161,3.0,29.0
9048,61.0,1.4736020774844154,-4.697808593602168,-2.3188798410887106,0.018195807833637997,1.16879468028033,0.3238254645569292,4.0,31.0
9049,60.0,1.741198412605872,-2.8632104183289826,-1.7956526487122897,0.015135449427707738,1.3155952107790738,0.3488681912182271,4.0,32.0
9050,59.0,1.6522162220315644,-2.524550446730921,-7.39812915988535,0.009366878384049811,1.4337078522011268,0.35937498132092327,4.0,42.0
9051,54.0,1.7114792130276644,-2.656633080492159,-6.771440516923694,0.012050670699853418,1.0306236498868582,0.39140379852104035,5.0,36.0
9052,58.0,1.6112302804373777,-4.293009880765281,1.1234977108376512,0.011249289179752731,1.445399208556005,0.34926882883596333,5.0,38.0
9053,55.0,1.629359967923373,-0.2974637772410875,-4.461720497725449,0.01523767384974932,1.180207488879194,0.37166189810334044,4.0,28.0
9054,57.0,1.6941468718947161,-6.132478081083575,0.8140876523457159,0.013531944717556,1.4752936144274318,0.36508303925419416,3.0,40.0
9055,58.0,1.8345962377132976,-6.512307704148879,-4.903020949348682,0.014416562427116406,1.0890633724196646,0.3975017714076164,4.0,39.0
9056,61.0,1.6431624103729205,-3.5717159470621764,-6.697083932071876,0.01194343626132934,1.3074991193498393,0.37475538982439616,4.0,22.0
9057,45.0,1.6592153805440164,-5.301071114080507,1.3497480454322992,0.012437076716427964,1.1390680920090253,0.3693430534146964,4.0,37.0
9058,60.0,1.4285514007377529,0.1261054503177954,-6.7583539091679565,0.015045883789774561,1.3253284771658864,0.25797946259001425,4.0,33.0
9059,47.0,1.7666532710777656,-1.1579497995206354,-0.1997742517320087,0.009424644159140757,1.2076896205848031,0.37163219176268936,3.0,37.0
9060,42.0,1.5627057614325544,-5.924337924556588,0.5160190860014355,0.0147528629761981,1.1731895204194736,0.320625942754811,4.0,37.0
9061,61.0,1.7565415898277534,-1.5159698318719022,-3.814706752220837,0.01576243027011222,1.0956362655167413,0.37715379531438975,2.0,25.0
9062,56.0,1.6101775243324516,-4.187048208926567,1.803149123879587,0.012695198697775457,1.0137591606257832,0.35157642773438924,4.0,27.0
9063,61.0,1.764098796470484,-7.909171406839429,-2.999198512274499,0.012343565332398635,1.1145678359082924,0.38237842589211424,3.0,35.0
9064,61.0,1.6398450500453787,-1.0076484604804998,-0.5730892760555466,0.01771167212383365,1.3118679923756948,0.36022772135161496,4.0,41.0
9065,54.0,1.807655357341577,-9.159154805187843,0.3256828758169594,0.00949424875390197,1.4271945693443757,0.35556105913113123,2.0,41.0
9066,57.0,1.7493470050310729,-4.888543510699861,-7.503184080778774,0.01333191518558499,1.126478673346501,0.34901108132065556,3.0,35.0
9067,47.0,1.5983388631806756,-2.2452633419057664,1.3074844353071704,0.013102235895788815,1.17039698698257,0.34691024732836745,5.0,42.0
9068,55.0,1.541576878956889,-8.884793389768609,1.3400681456181602,0.016427845908504306,1.2145696938126074,0.3100084537296023,5.0,42.0
9069,55.0,1.6850480884630765,-7.8535981870388065,2.065199271220437,0.010485476896740474,1.2269858840967125,0.35389230544226663,2.0,31.0
9070,60.0,1.7325336312432715,-4.1458012265540996,-2.6073217296886266,0.011900881240940893,1.072025391810027,0.38498615734057945,3.0,36.0
9071,58.0,1.5499454245615103,-8.673779961029727,2.2441544894133045,0.01322311945578564,1.2907490913960218,0.330485027742976,3.0,26.0
9072,60.0,1.7015187012776747,-0.5592598735147926,-2.359397546206909,0.014968892460741656,1.20401126797372,0.3547232225819266,3.0,17.0
9073,56.0,1.7137577142284832,1.3890037868219933,-7.116444767219841,0.01583719822381836,1.3820022736558222,0.3671628733675503,5.0,36.0
9074,47.0,1.6591391003677387,-8.088895527711575,-2.5934129056470843,0.011810848998179064,1.182718632674686,0.36081202312092076,4.0,42.0
9075,43.0,1.5143468221208842,-7.0023186691890515,-2.0729671162972405,0.013176834674626565,1.1610693530789553,0.2914410791444041,5.0,42.0
9076,47.0,1.6879070914971552,-5.321230694441511,-4.868586980231793,0.011527468512657511,1.2335246761837422,0.366180306877363,5.0,38.0
9077,59.0,1.808027046447726,-0.3698758527816717,-4.2655424312708465,0.016499658758196,1.1106682886634294,0.3999693603426068,3.0,30.0
9078,56.0,1.7584547973792943,-7.163726536016899,-7.536760406039806,0.011838166126890377,1.0692903842925832,0.38407598271537735,2.0,34.0
