id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta
6002,32.0,2.141293301398247,-8.181487790010625,-2.3895993552183588,0.007019700723109911,1.2466070417367685,0.27537289174261914,5.0
6003,62.0,1.9843596296262698,-3.861675650225271,0.4577289288545965,0.0034156548576929984,1.479781039102674,0.22696482704542956,0.0
6004,18.0,2.472670491809181,-1.0617548340248806,-0.8844529723044914,0.0020543880812926778,1.246714953377778,0.38788965431441796,5.0
6005,41.0,2.4954427679026545,-5.477928572237793,-0.3597604969869388,0.003343105486034721,1.0893358110332756,0.3211425304745058,3.0
6006,23.0,2.080705771946764,-3.596107112331401,-2.338850185492717,0.001536688413132121,1.3827485865619011,0.22768978035304047,3.0
6007,29.0,2.2534502646841315,-1.9876994134059403,-1.6630163675085008,0.013619384104160949,1.0705117345320172,0.31736762182603145,7.0
6008,29.0,2.1370321361804994,-5.988718407112284,-1.6981836051028485,0.004927080466876744,1.1953307033077425,0.24610568892587706,5.0
6009,61.0,2.730976991004125,0.740297346210714,-0.7122809989235312,0.006792574587191781,1.3581948035857976,0.3870269361954312,2.0
6010,33.0,2.532679037209915,-4.181016920858475,-0.5144395280883354,0.004691152403563195,1.1038830698032012,0.3654096785569018,4.0
6011,43.0,2.537786151571489,-0.9560235099013876,-7.361780212662497,0.004463719806820947,1.0971312294615974,0.37543843920511516,3.0
6012,27.0,1.7915171249310755,-4.951499913200432,-7.869530079970962,0.0033249515704201994,1.1386661638558018,0.16035753425464355,3.0
6013,28.0,2.1869308129387592,-2.7449747204267982,-5.936400474109229,0.010801013168344996,1.1852674392264844,0.29326742718275567,6.0
6014,47.0,2.246076151679697,-8.21838199655507,-6.019749288194575,0.003768480324945142,1.3735297947010572,0.2940243306574364,2.0
6015,23.0,2.0992253257363864,-5.920241114267362,-1.2662147988257768,0.007464391686363526,1.1755055260940972,0.23094756558262208,7.0
6016,32.0,2.214679940369797,-1.3079237057144,-0.5606624410534565,0.0056572183140839415,1.1950809075570883,0.28221780797199975,4.0
6017,46.0,2.132678868324967,-3.294528355957982,-3.6001809008114343,0.005483976425088129,1.1156113240253775,0.2667599244597872,2.0
6018,5.0,1.701041328476291,-9.02656382190273,-4.079692546925931,0.0032806457129269033,1.4596777660632443,0.14067994801241096,7.0
6019,28.0,1.7970146047240156,0.5530130340325532,1.091734342203864,0.0008786532435975888,1.2860567911860508,0.18470174513971077,0.0
6020,37.0,2.0157404088542457,-7.74378871459652,-5.152037287612422,0.008434034929719867,1.2882648049323222,0.24183980815558456,4.0
6021,34.0,2.175490300899896,-3.6629331280895356,-4.515857473732773,0.0020601839420906895,1.025918614444695,0.32035479580767556,2.0
6022,36.0,2.0529316434838187,-8.455488273136448,-4.2102951340905825,0.006494365364386344,1.0695646806550723,0.25904020322325927,4.0
6023,16.0,1.8108887169074759,-3.949831933184446,-0.5542668361754384,0.005175607375614406,1.062492482029725,0.20788913960613808,6.0
6024,29.0,1.9989566256861255,-6.22746381883433,0.7803861603431786,0.002953320315164973,1.2510793652524288,0.23607784997569017,3.0
6025,34.0,2.459945600912476,-5.272920729414395,-6.988012709935708,0.0017204935590505114,1.336276633033399,0.36305432482903754,3.0
6026,39.0,2.1481738182156374,-5.360132642880786,-1.4794785069819523,0.011094586938123315,1.0361287277632394,0.28038532561737356,5.0
6027,20.0,1.7102307771214293,1.001048261354832,-5.547725083626021,0.0039135767296923606,1.0036273476672573,0.1654450130817242,4.0
6028,26.0,2.4535098011263567,-3.4923908082652653,-3.6036173628403505,0.0035203261501865124,1.144709601701326,0.33479118770801514,6.0
6029,39.0,2.7071753421983806,-5.335588042198276,-1.6968021829641946,0.006476959232070635,1.2244422791881067,0.3698350697292701,5.0
6030,11.0,2.207639897208855,-1.4161008550067093,-0.8153714700364151,0.003364496311172187,1.1108279360514914,0.32054912425570314,7.0
6031,21.0,2.189977913691431,0.10636858577242747,1.5653987977383796,0.009286590010224362,1.448707575808009,0.3263849461942014,7.0
6032,38.0,2.2550850363572175,-4.134961676687386,-1.1018012460729874,0.010605432557926198,1.238070556437632,0.30973191305997455,5.0
6033,21.0,2.2893283712943906,-2.497174255945331,1.0666737950619787,0.0015767617197177323,1.268591288705315,0.3323211401859355,4.0
6034,16.0,2.242554400138434,-5.952526523789078,1.3164235885817694,0.00471269468351632,1.4802968797109597,0.2795344966100652,7.0
6035,36.0,2.321537681534962,-0.5603217230174597,-3.835558133071923,0.005651940336907159,1.1135921035736691,0.29454803023267495,4.0
6036,29.0,2.5321349650477734,-8.42026645491619,1.1131368328948503,0.0006994596399870817,1.031711032579684,0.3524739254440615,2.0
6037,32.0,2.0923938952631342,-7.187644800928551,-4.740043703402905,0.016941161135959903,1.1598927390746363,0.2734884601383399,7.0
6038,12.0,2.018952241905915,-0.914711858289218,-5.433642560198639,0.010895570161415525,1.2694121911703613,0.3276865907762415,7.0
6039,39.0,2.2833968544950127,-3.6876857093640543,-4.545496843302053,0.0023120781786766815,1.08921620754192,0.30284116127305194,2.0
6040,39.0,1.8183185387149672,-8.411197078186857,-2.125992236739723,0.005934027617072181,1.0213623062958108,0.13646431833645792,3.0
6041,35.0,2.502805874469181,-7.260978699545001,-5.704497032496828,0.003100502564457365,1.3773905194960432,0.34299693218416244,4.0
6042,13.0,2.2549321000219957,-5.829906999466894,-2.4184460727169084,0.0020256192474539772,1.017160510030983,0.289909257255341,6.0
6043,40.0,2.355284754031294,1.8881021082020408,1.1686223893626697,0.0041614583923429,1.2285750849149066,0.3544277840180908,3.0
6044,14.0,1.9918133638305773,-3.912530075528332,-1.1374852619206657,0.0022235235476221853,1.1301061500303986,0.19661638898795505,6.0
6045,38.0,1.759228629085464,-5.06646702065289,0.4733382134645696,0.0016830506736479297,1.4274575748465546,0.1555438730412812,0.0
6046,44.0,1.7606674223032963,-5.745791471436292,-3.8537675829823206,0.007445954197216037,1.0922377236722602,0.15621155287146557,3.0
6047,39.0,2.4257861176764184,-8.385574940911445,-3.42206785417296,0.0018274421297624424,1.2207139366806068,0.34291180262848686,2.0
6048,20.0,2.507356622740556,-3.545684481971859,-7.918228338150917,0.004074031896755261,1.143198887505484,0.38824860782873477,6.0
6049,6.0,1.8341059958590753,-0.9401175913556958,-3.4443099098508116,0.003156540701869589,1.0893555992302704,0.19690442998953478,7.0
6050,59.0,2.3998216016623597,-6.232429013846285,-2.191465339086099,0.003019371752653615,1.2204825517286984,0.34996686285435497,0.0
6051,51.0,1.8425996011133177,-0.9637041286950814,-5.976369294202216,0.003811220619999688,1.003986613487803,0.17734128160784404,1.0
6052,31.0,2.526593291084975,-7.602927268010028,-5.588226052327039,0.00304528373580672,1.0860216867027879,0.32386077983378836,5.0
6053,28.0,2.0744129366566226,-7.993304766969426,1.5130934509007907,0.001771507215460685,1.2971229437163287,0.20548094527049618,4.0
6054,22.0,2.652941569608626,-5.080114535483694,-3.635876746949784,0.006627078121088752,1.4615158222351003,0.38448856914415863,7.0
6055,51.0,2.325494300271168,-7.4685018629825395,-5.694420718283383,0.0035848207114402,1.4392727948312445,0.35916448518639943,1.0
6056,33.0,2.5123698680678825,-3.719006400841975,-1.7766696033779967,0.007237069586154023,1.043823588995047,0.3559201159463506,5.0
6057,32.0,2.4182825976139486,-3.0931149320372597,-5.123279441809573,0.005616595200943024,1.3882125009294988,0.3743903829710171,4.0
6058,27.0,2.530619530007704,0.09680356806772417,-1.6265694559942137,0.004690680195151951,1.3841433227413007,0.37632363257680806,5.0
6059,56.0,2.0693441382402833,-3.847161438142207,-8.180686755242984,0.007021764056183665,1.1925512468943027,0.26039773704867497,2.0
6060,24.0,1.7628077569697167,-5.283386179674453,-7.817125605209558,0.0030576813793367352,1.0728842913242174,0.14924240948951653,3.0
6061,25.0,2.3446895244096426,-0.33767360901150645,-1.205633987230898,0.0045335920220313936,1.159347656353348,0.33511644948465,5.0
6062,46.0,2.3818660202229163,-2.2094673376184395,0.760773967445828,0.0014199434140193881,1.0101085920221924,0.3327156081973771,1.0
6063,23.0,1.7925643460568845,-4.447858403866651,-2.1046360472458874,0.011513309971757105,1.0889838680682178,0.174039738848,7.0
6064,40.0,2.358137470802778,-2.818890042433708,-2.1565425584679354,0.005655332419884086,1.1598931080994914,0.32497384262044254,3.0
6065,17.0,2.240651363888513,0.8086627090013921,-5.497623134774936,0.006663479234812351,1.191610352840784,0.31975534548331147,6.0
6066,61.0,2.0886149503709492,-3.522759047091375,-5.91681297300167,0.00845662119983196,1.030418917587299,0.2669613801852874,1.0
6067,26.0,2.54556493482222,-0.4313635548847805,-1.215331036200662,0.006593747066235067,1.2320808019442955,0.3887102467346713,6.0
6068,23.0,2.852929886119331,-9.073766054721247,-3.6460155396714495,0.0036153204139986557,1.364681142010671,0.3951225361364905,7.0
6069,31.0,1.7821080908782774,-3.1393628507571965,1.524684603156738,0.010259192930430216,1.4251776851214288,0.15257780510603824,6.0
6070,41.0,2.1788538251376735,-1.2433940248729745,-1.2683238833249273,0.0041026466811721635,1.314826209742805,0.2921669812448859,2.0
6071,41.0,1.7464204082809616,-8.120952659029818,-0.7308726275052981,0.008950144988049056,1.1787682332957627,0.14248568169372505,4.0
6072,29.0,2.425132176179845,-0.30038412117658353,-6.933335936953145,0.0029967757583714114,1.1419875749374224,0.3586457056555027,4.0
6073,27.0,2.342610049550835,0.3590310457876926,-1.0962156848932503,0.0022041944932494496,1.0907127433129227,0.3571030047582096,4.0
6074,60.0,2.2169463008438965,-0.6230727978816093,-4.146453629824789,0.005040632238142268,1.248295018452896,0.2987287457696723,0.0
6075,19.0,2.144027819692242,-4.004042964402229,-6.02780344361706,0.001942426769433426,1.0324317975643866,0.27584426277826113,5.0
6076,38.0,2.434768371369425,-0.9742382488619854,-1.9069602936491035,0.006337001253804327,1.067624358893683,0.32696780474878817,5.0
6077,32.0,2.267594720020245,-8.263973995481063,-5.314707422872665,0.0027291342307685625,1.3316387513138488,0.3215130951568985,3.0
6078,53.0,2.4152072240274256,-2.969112562493387,-4.214715414006378,0.010639417102250007,1.0016406266573163,0.3255451060976212,3.0
6079,17.0,2.0084083992694706,-1.5535096629567677,-0.21883754587782311,0.0010687848591791095,1.2040432043911036,0.1995927337681025,4.0
6080,52.0,2.2403799857278432,0.5288180135262193,-3.986936945718311,0.0030719527322981355,1.0469544908443134,0.3235885971190623,1.0
6081,26.0,2.4892074803743354,-3.652878254436284,-4.766334327195264,0.005243499203502398,1.0697753714620761,0.32367527993789846,6.0
6082,39.0,2.6135123049252247,-4.427882589367717,1.9613226954547816,0.007295903563383339,1.0997077608639179,0.39616776184153285,5.0
6083,31.0,2.500249801434136,-3.1248043091642033,-2.36677377684606,0.00672060138485681,1.1251957617968693,0.36199488925504614,5.0
6084,24.0,2.633546971579161,-6.510484450897817,-7.578070077596991,0.004093752749976182,1.3708683965012505,0.37197601198002855,6.0
6085,61.0,2.636849775135771,-6.312361011507149,-7.872990642615697,0.005587825106244186,1.2500935053100473,0.3832110021427146,1.0
6086,34.0,2.228692555159726,-5.984426544820559,-3.8662575255971285,0.004732991636247105,1.4513786153500154,0.26089056567380436,4.0
6087,53.0,2.5777856238384658,2.270078350644242,1.1958504809559234,0.010528783131458382,1.2023450645201825,0.3804003044507576,3.0
