id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta
6002,29.0,2.238009331387852,-6.515326758797908,-4.641259283935507,0.004666526193475372,1.4218406894385762,0.26456231780930234,5.0
6003,23.0,2.4913163918117784,-6.71244731866826,-3.7108064308306754,0.0021515291536401767,1.058145318940734,0.3136401259787633,6.0
6004,17.0,2.381518234214572,-3.5641807974644544,-6.95415391866962,0.0014168647641824984,1.05298977383465,0.34104027204737464,5.0
6005,34.0,2.247969244494611,1.2468101103182927,-3.2343239487359834,0.0055871765508556746,1.2643615238521742,0.32532642954435914,4.0
6006,32.0,2.14371190323774,0.11433758794785542,-5.169967449985813,0.0106580026797039,1.1521503920669212,0.27937022665411637,6.0
6007,26.0,1.7768120908670049,-6.442234471469325,-0.3783054041763214,0.0043000606417775795,1.3519893230494324,0.1525454365137432,4.0
6008,27.0,2.168310822552919,-0.059068047506294685,-4.460531231698579,0.003306647771520283,1.189764510345516,0.31385807934755733,4.0
6009,22.0,2.429195929950803,-7.759233249356386,-8.906838765430743,0.008194975808265288,1.2832231843796313,0.33961375263230786,7.0
6010,5.0,1.909834358298937,-3.8455035310885055,-6.391763473802424,0.0016179998273781753,1.2086326267397576,0.17895838547533688,6.0
6011,34.0,1.8912587294041934,-8.18979645152069,-7.370206961915913,0.007823172781823023,1.301232086028996,0.18189732117384214,5.0
6012,40.0,1.75039517252849,-6.577250473089224,-2.190272526292198,0.004134386087069364,1.2265577288894742,0.1362843202524329,3.0
6013,33.0,1.9765716059398744,-0.777530976203507,0.6541066501838977,0.008121281811212808,1.355891704079904,0.2134177843266973,5.0
6014,39.0,2.36639472162331,-2.532763631470635,-8.45137892457444,0.005029806755308858,1.2544126066348629,0.3331447266633744,4.0
6015,19.0,2.4457839615199677,-7.061861062037701,-1.1877449725362292,0.005481898814971411,1.0490847852152383,0.3291437422688362,7.0
6016,32.0,1.97339918469454,-5.812837335640756,1.3630017631503062,0.00391587536876017,1.2345905564891742,0.23371868093373938,4.0
6017,38.0,1.7967368202433072,0.11991487322062766,-6.655977513134399,0.005463957961365257,1.262146826347307,0.16053458344605137,3.0
6018,23.0,2.549389004554831,-2.700129677570519,-1.9898556417221247,0.002616550099081131,1.055967472560836,0.33488681914443674,5.0
6019,23.0,2.354381257883099,2.1107128106171786,-3.8803348556197026,0.0005895123655396484,1.1813517556516366,0.32648482788802413,1.0
