id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta
6002,39.0,2.2626657245487554,-8.610947449282268,-8.90849297625813,0.009801686660198228,1.2276411813840329,0.30060287781102385,5.0
6003,30.0,1.9400198298724907,1.0529006120652684,-5.735443513068157,0.0026136621424604394,1.3919788549624332,0.205259717829704,4.0
6004,37.0,2.708831156673505,-5.536717720078905,0.86753114549049,0.003333992246305848,1.2919606704359787,0.36096833840471065,4.0
6005,15.0,1.7126454470030046,-7.886963661323208,-8.039099537634483,0.004392639427458225,1.3177185041116668,0.15365877128815345,6.0
6006,30.0,1.8581685813007254,-1.3994453263111457,-0.07136893968411145,0.004741175783555553,1.3815925606829444,0.20902178020026457,4.0
6007,29.0,1.823580820082623,-4.498012052987028,-8.07485394356149,0.010048683611515844,1.3880173195802972,0.1958590374424531,6.0
6008,31.0,2.45201882337724,-6.6661007629542715,-8.117887217657692,0.005844966794299269,1.357139511764658,0.37123940778537895,5.0
6009,39.0,1.8497301576688363,-6.967417261622604,-3.622504557404055,0.0009644369324858044,1.028934891408382,0.18595727691338604,0.0
6010,36.0,1.8319129305602513,-0.5964263869552058,-2.8884833324670893,0.0016416987138543754,1.2044449508876458,0.16618452922431856,1.0
6011,17.0,2.022715924454507,0.6707099509431851,-0.9363189882808044,0.004905022749236837,1.334756211679813,0.2580976801017789,6.0
6012,24.0,1.8023467230957493,-4.990366473113775,-5.933052889779969,0.0020705891127728434,1.1557103173701149,0.15520017505114325,4.0
6013,16.0,2.3774970704751857,-5.503745567594304,-4.799105778349106,0.002186792036463701,1.3788792323721506,0.309790725108023,6.0
6014,61.0,2.3109938625618476,-6.358710926960024,-6.1863296504700696,0.0037001266167190827,1.1490517995041338,0.3264808426055966,0.0
6015,32.0,2.1251779057007916,-4.394710421529737,-7.683271939495079,0.004865848804273259,1.1912580587219226,0.290039253766189,5.0
6016,26.0,1.7021801782504433,-8.6272423648736,-1.2119841270460656,0.0058176177093445455,1.2446905823035364,0.14753594299212414,4.0
6017,47.0,2.408882390662516,-7.493593393769586,-5.402260528137382,0.004609390040625319,1.0401372555879331,0.31772311658214514,2.0
6018,28.0,2.1481671852677664,-7.292416793986803,-6.4980159566526385,0.004076026899513653,1.3605932450318088,0.25519757960460704,5.0
6019,27.0,2.402924301461633,-7.982392573742868,-0.867960662680854,0.0029923470738963875,1.1951212197878864,0.29277054240800754,5.0
6020,28.0,2.4623881461558965,-6.83283921394027,-2.4128888935073607,0.00268977524609705,1.4763081114846284,0.3036029725162941,5.0
6021,42.0,1.9103911264397135,-3.3955188684842508,-7.169283259776483,0.0035616651884132914,1.2528538486594847,0.22188780604999228,2.0
6022,21.0,1.955477159408196,1.4605346961219454,-0.03966981783802265,0.006545127127648769,1.14337432534773,0.22780560407988218,6.0
6023,17.0,2.105303091758523,-5.275068182339346,-2.428008058782151,0.004953451117626352,1.3286980072555765,0.22869595477185878,7.0
6024,18.0,2.2433587828054047,-2.8213884109216076,0.04092479976524943,0.0038879676017254576,1.0529295546940418,0.26330311305620674,7.0
6025,16.0,2.469831709329093,-1.3555501519423783,-1.7990536548418574,0.004106857502090714,1.1525429009616597,0.3505539796007344,7.0
6026,29.0,2.2289694237518134,-3.0753316975294123,1.6510371710318594,0.0014405601169800324,1.0852582357007723,0.25258528279891546,4.0
6027,48.0,2.3907922788431737,-1.2376909818152992,-0.5990758316239427,0.0025914410862770817,1.0874920819742242,0.3217804371372748,2.0
6028,34.0,2.3814739624363273,-0.44871236764738337,-0.7378027163764714,0.003762782648575526,1.2024347704274734,0.3253659957276299,4.0
6029,33.0,2.403144480296114,1.631102702233452,0.5129501720171485,0.005925697325712528,1.3684015721865426,0.3561689134598034,5.0
6030,40.0,1.962306273856565,0.04089008446700754,0.2618512772203399,0.0031449738884878524,1.3313931258744507,0.2037027433985883,3.0
6031,32.0,1.840189368496481,-6.408838498624864,-3.3558766054586586,0.00398189783677195,1.2622752088282918,0.16030463142323564,4.0
6032,13.0,2.480103348481551,-1.649929996512979,-4.830621395764717,0.004001472900212988,1.2556280786839882,0.3646065613131316,7.0
6033,50.0,2.3053456049234784,-1.5400474578839407,-3.410496977970884,0.003335396630101762,1.0210871374154902,0.30861902642136047,1.0
6034,31.0,2.3471674624394088,-1.2808428882252738,-1.7037614720651744,0.0037582177144077755,1.2461437406544418,0.3261338572184288,4.0
6035,5.0,2.1751899358093634,-8.026652953200825,-7.587073112661315,0.001694066469766834,1.2650924452722243,0.2509588557891365,7.0
6036,34.0,2.031833586233018,-5.295665232536193,-2.7240540958206476,0.001751759585142839,1.1037404114901015,0.23240196057861048,2.0
6037,16.0,2.3790039824314664,1.158887140134522,-6.205983730347203,0.004171785503673434,1.0746944613068719,0.33228612472007124,7.0
6038,39.0,2.1685981532413345,-5.293369017677116,-7.187643441355532,0.005228183470036757,1.0530549855121687,0.2910211587880553,3.0
6039,55.0,2.363285656901514,0.9330444477090255,-2.6196333339879443,0.005038336773408597,1.0544170601508263,0.32045912390221193,2.0
6040,30.0,2.477480307184932,2.1176572141773042,-8.570821180145108,0.006173986393952133,1.3161420043922165,0.34862747152811996,5.0
6041,25.0,2.485168969271485,-3.8105810052038294,-3.6541157609161368,0.0027211742299540734,1.0769442452294666,0.34955695107116497,5.0
6042,49.0,2.4299038050849933,-7.086862102327986,-3.4950352660634243,0.002390341808581226,1.4000579887173048,0.31441079881987805,2.0
6043,43.0,2.2343499692467303,1.4565797041808586,-0.19466751873986288,0.002508213929765077,1.0216881813512215,0.3260435055529807,1.0
6044,34.0,2.3808257363864356,-6.421719217359018,-7.795306613112587,0.0043150864629548456,1.3756043898070913,0.34157063234057566,4.0
6045,30.0,2.2218661775052784,-8.447259549706914,-2.411232645433194,0.00371560036416697,1.057626873704266,0.3329109972880532,4.0
6046,34.0,1.992470719237828,-2.000068637169508,-4.7026729620406265,0.00343088816812856,1.2141666816378842,0.21530885834341706,4.0
6047,24.0,2.4280917144504093,0.34358990462305095,-3.020431649998062,0.002967945938683157,1.1876276658142615,0.2928495678977882,6.0
6048,42.0,2.2232571772601775,-3.733842605513842,-0.043556122732387514,0.004218878514857572,1.0634423444319263,0.3150726932661036,3.0
6049,37.0,2.4149197770265562,-4.717174179701415,-0.5254535934701475,0.0018837768255350541,1.4536886622564689,0.3162764062919972,3.0
6050,34.0,2.0399456522155774,-7.527785342874831,-4.452254499992387,0.013231576822117896,1.3421538040923358,0.24853867220821935,6.0
6051,20.0,1.8876971065830948,1.4921490982990553,-8.365579642845313,0.002389830798691651,1.0159603949508804,0.18189123866414647,4.0
6052,60.0,2.0503188448867498,0.732334243211133,0.6274863474173391,0.0034305610626420057,1.2811242734325665,0.2421187318214047,0.0
6053,45.0,1.984991180056325,-7.016386543531711,-3.649740732961095,0.004591708947545754,1.1638330187003727,0.23723914054914821,2.0
6054,27.0,2.4353110862598726,-6.272312324919659,1.110947872118704,0.0023672700197153334,1.4209069796569207,0.3071852351396947,5.0
6055,30.0,2.2319766986185052,-1.42083122744932,-0.6765673842773917,0.0028649309988048174,1.111803596366454,0.2850523920815394,3.0
6056,21.0,2.2645771868361724,-5.630259967764311,-6.256821477913515,0.004542360449626447,1.2209174763021153,0.26628001515628646,7.0
6057,25.0,2.0128507056157936,-5.4315349765150645,-1.3440951782163215,0.0005784684373554645,1.4060904924870532,0.25904203526149994,0.0
6058,31.0,2.501594625956836,-6.747688622530617,-4.738612520437168,0.011644875584406834,1.2267910762773508,0.3643318589967512,7.0
6059,31.0,1.8627939817192332,-0.8146412174882376,-1.1795264225907527,0.0061306628225574695,1.3037695868999895,0.19765304027785063,4.0
