id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta
6002,35.0,1.9612514082978605,-6.536559183225678,-4.318708847245221,0.0025090797244175875,1.2853983407898695,0.2507066436043712,2.0
6003,16.0,1.7407267903132213,-1.1180867182184415,-6.314074867312339,0.0036315997075074997,1.0997793253687957,0.13736980831877557,5.0
6004,38.0,1.9928586959361883,-4.166946452124353,0.2965875794273021,0.0029392574716255435,1.2321632888648164,0.20885981285891905,3.0
6005,26.0,2.131512632562751,-2.6947949791252457,0.10910860536964684,0.0019582329195667616,1.0497680785442034,0.2922329724071468,3.0
6006,33.0,2.3930734165087055,-5.192699870076132,-5.285064589485946,0.006145896027757927,1.299645496444511,0.3302616217925344,6.0
6007,22.0,1.8189469422805338,-1.5503849599223019,1.1594489433346573,0.00864764455055237,1.461939438381576,0.16614869315753736,7.0
6008,55.0,2.633544747064999,-6.330940612758498,-3.474801189917291,0.0028656189663878347,1.0656491306235716,0.35388995248472815,1.0
6009,61.0,1.7812800609005865,-3.4281812880573206,-4.109937045286764,0.004245430496972872,1.1764810414484368,0.13650614999942873,0.0
6010,44.0,1.8577454308852954,-1.1977121284365162,-4.7933928662217635,0.003905979457958723,1.4420582596004914,0.14927314659843297,2.0
6011,30.0,1.7976637581921837,-6.8903846917235025,1.0329513894624474,0.003508519502457348,1.0068620336292184,0.1896998694501849,3.0
6012,15.0,2.41581105223049,-4.460716659144823,0.9458972525331485,0.0030969419807789587,1.2865896932621876,0.3419232366866341,6.0
6013,24.0,2.1667294155339447,-5.108497196924919,1.2223494313336078,0.007559620317691414,1.2967563717895727,0.246250026609627,7.0
6014,32.0,2.003800606634257,-6.947569690776147,-4.390356694261931,0.005395159916891241,1.105749936359294,0.21648225895800474,5.0
6015,6.0,2.1986191527323173,-8.085077499132266,-8.706903293253822,0.0015254695275934674,1.200167987922198,0.2669964187285107,6.0
6016,30.0,2.411271896228037,-6.183560483194618,-0.5492568479725424,0.0065542587555836715,1.4181472267280628,0.34637906269253615,6.0
6017,34.0,1.8414812710785977,-2.5746531102525894,-8.054625078984952,0.002185446315010849,1.1686677374048848,0.15186482813281357,3.0
6018,41.0,2.514515198283071,-1.5568183452825777,-6.956344948202817,0.0022519149160642846,1.1824641782251109,0.3601649592370314,2.0
6019,63.0,2.6769559067661395,-4.976554177353638,-1.3141815952249747,0.008944616371903124,1.2950080574198846,0.3838078546334264,2.0
6020,32.0,2.297293978358172,-5.120848505598275,-6.872767049869147,0.01292287433628204,1.3053385072699635,0.34581259554070937,7.0
6021,16.0,2.164473912967656,-3.0678379574164936,-1.9633873522148202,0.003102249168203939,1.257495245800136,0.26534896327615093,6.0
6022,32.0,2.046190039405931,0.6959888121348727,-0.6544498411607488,0.004012733948801732,1.366061223582444,0.28363269090656223,4.0
6023,24.0,1.8605909070101712,-8.376588630369211,-1.3356477496322474,0.006087586801752194,1.1137300090596072,0.15172983974179358,6.0
6024,15.0,1.7926571379853842,0.9226070882244755,-5.136531842158593,0.0022717986886036786,1.4003286030684956,0.15259678642296903,4.0
6025,40.0,2.5222726107667586,0.8689287029862529,-5.2582803480797455,0.0035168652266956146,1.3948357489971652,0.39591056152218745,3.0
6026,20.0,2.2476135880091945,-5.872835348119738,-5.962232665070563,0.006975849086862894,1.4166785626954488,0.29786584197232024,7.0
6027,19.0,2.0909161518279324,-6.620967116404476,-6.453197865634632,0.0010749947988674753,1.3130377574005676,0.21603139216850353,4.0
6028,24.0,2.6099242842980073,-6.467153449046827,-4.97490820582427,0.0025335424934386378,1.3673966534737982,0.3530728418382236,5.0
6029,57.0,2.593393723030634,-1.7246135388798334,-2.284518914404707,0.005613005154482684,1.2741888656011862,0.37279739583703825,2.0
6030,44.0,2.5990813686030734,-3.185093999052688,-5.5929726224019936,0.0027512688906022563,1.307333855893342,0.39390415333502554,2.0
6031,18.0,2.4183165488045795,1.3239460399635385,-3.8667472241354677,0.0010395281484854497,1.1837725672611386,0.31787592952875815,5.0
6032,47.0,2.3048474625077913,-3.7031397705264792,1.8402655287492684,0.0051184328520468055,1.204254785022894,0.32319650525181104,3.0
6033,37.0,2.4385670991375035,-4.879527499900303,-2.844957220073777,0.007057636504114094,1.3620856023928707,0.33705564463094406,5.0
6034,22.0,1.9204778448862203,-2.69929172204378,-0.9125894813774124,0.001619076517732919,1.2571505935041891,0.18207928399769563,4.0
6035,24.0,1.9824987715876157,1.269897931074007,0.18337234615849196,0.004272408465020696,1.1580827970059906,0.20564949066578825,6.0
6036,26.0,2.58490225200198,-3.3922981281734663,-5.917612386633585,0.006818590186946153,1.2131366693098193,0.3546457859478916,7.0
6037,34.0,2.07821374134243,-7.364177136713815,-5.019262958925084,0.00633222575255138,1.1449046123639128,0.2492053327291958,4.0
6038,25.0,2.158694427705541,-0.8770076566015614,2.181526159201406,0.0007256135857422964,1.0135656445405141,0.27944104247344936,1.0
6039,27.0,2.2851251598392945,-7.6143870066058605,-2.6071620391846784,0.004736548167069078,1.0082503652214136,0.32022217942147846,6.0
6040,28.0,2.4968852095351566,-8.193226149879989,-3.1416257178471763,0.004917894552673421,1.087958760116374,0.3624481487113735,6.0
6041,28.0,1.9956357534440023,-8.144207561992044,0.44523088245105313,0.008598465298274585,1.2090295354152205,0.20410255432316873,6.0
6042,32.0,2.3025929058505974,-2.497708941157323,-7.607975897139813,0.0010811156520723415,1.2075741114797542,0.26726134328734735,3.0
6043,51.0,2.115668617230319,1.1306674872448785,-1.8649637829639052,0.003106131706209057,1.1959526460186314,0.22997521637687812,1.0
6044,29.0,2.166781764303313,-1.9626172294947646,-4.491585545432173,0.0058315574778517835,1.4120299062992472,0.2557787813624129,6.0
6045,29.0,2.5446383357553297,-6.229877479611476,-8.386191765870112,0.004688224291617007,1.1196378860408294,0.36555656684560717,6.0
6046,20.0,2.3112932896005445,-4.658934802001826,-5.484791628572625,0.0037806995665626395,1.269679911497593,0.30449903282494256,6.0
6047,20.0,2.560702342704392,1.2310339996994415,-7.300935660874154,0.003653806971038448,1.025007884954504,0.3365554529282145,7.0
6048,16.0,2.307766268826354,-5.908645641104767,-5.579657637735244,0.004925972254807779,1.103153046340391,0.3305921920229165,7.0
6049,54.0,2.301387474519043,-1.9515134514084256,1.1620511921966004,0.004281420091347183,1.4837378539204644,0.29257731176860413,2.0
6050,37.0,2.263743292562944,-8.778669317983807,-8.146993813747354,0.0028209468293855086,1.103045800064276,0.30047303488180804,2.0
6051,39.0,2.0204129606589163,-4.299747588992106,-3.568649091567435,0.002499843366416795,1.2764180967842185,0.24478804271097976,2.0
6052,31.0,2.3307206498056225,-4.228449087738515,-4.2566696812313225,0.0030487666130599093,1.4727030790515507,0.3381105091754064,4.0
6053,18.0,2.100827779848702,-3.5849939383252405,-2.6463818311980076,0.006700369237743936,1.279516002709496,0.28977733065832756,7.0
6054,23.0,1.969173338813924,0.3477725277459325,0.8456298221904665,0.0033322567431221125,1.35582916659944,0.21183086024075204,4.0
6055,39.0,2.7170063495820482,-4.7478722892481295,0.08749303914818254,0.012866935389312445,1.4699684030233215,0.38382068856572654,6.0
6056,28.0,2.1991355179053573,-0.9414762334394431,-3.214189230728012,0.003580994904042608,1.3922476150672094,0.2958417927196849,5.0
6057,41.0,1.9481854781697443,0.17410914697689395,1.4712584392940486,0.009840521553536843,1.0685699703902523,0.221956530428703,4.0
6058,13.0,2.1231037944229967,-0.01724106017025895,-3.04151813153654,0.002560785672677277,1.1878983190059227,0.22829553964282356,6.0
6059,45.0,1.875310931943838,-1.9339983870937187,-4.295875350343982,0.002431986359366439,1.0738340586579131,0.1544023503561127,1.0
6060,16.0,1.8359085275155427,-2.0862496223611524,1.1855842184338594,0.0007155963631225216,1.0817772182869996,0.16642578058509708,3.0
6061,45.0,1.929330900136804,-6.044055643331143,-6.815117965777057,0.006409403423404902,1.0343980020594832,0.20398788201338225,3.0
6062,39.0,2.0937407602387643,-3.7091802931320688,1.8397452750699648,0.010141263970537863,1.2935644456047344,0.25789942948910716,5.0
6063,31.0,1.960661576115138,-3.885623745398588,0.6606969424046469,0.0031227138424925094,1.3657604793334859,0.21467838027510414,4.0
6064,31.0,2.290220144304432,1.8161211880901957,-8.925067768457922,0.0063566768653110055,1.3064756130464859,0.3096747949952284,5.0
6065,27.0,2.6304076136907106,-6.132224773570945,-1.9317466607360996,0.005127354582961278,1.0319188143299232,0.38413755818501644,6.0
6066,45.0,2.23311300034042,-2.2933132954552278,-1.5414256820247996,0.008694521063193877,1.1641625176982762,0.3031591001602974,4.0
6067,28.0,2.4353360565595565,-0.5987237895562141,-1.2508135063075918,0.007411840583183191,1.4539834771719828,0.363663844771995,6.0
6068,16.0,2.3089472259987733,-2.335048207475908,0.4964442161594902,0.0026035746005256353,1.0170232579032763,0.324216522055801,6.0
6069,25.0,2.02008818337932,-2.4397418693189508,-0.3702327249853088,0.003210939746503371,1.0125517414223941,0.23322020444038552,5.0
6070,23.0,1.6918868615550366,-8.294547154133493,-8.991777985965461,0.004472597792066136,1.4421762927574364,0.11367599421406438,5.0
6071,44.0,1.7884975495072413,0.12139797932900631,-6.098274511676923,0.004761080548257515,1.1923069755178715,0.18913936131725648,2.0
6072,39.0,1.9063056724693228,-6.547071915327214,-3.30187065152469,0.0021352271472934083,1.2815556113722169,0.1868254774268418,2.0
6073,41.0,1.9071673757990588,-3.8997587691423963,0.45349114606667185,0.0011998351559850465,1.1520817909333114,0.16129109328071883,1.0
